"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","113,70","113,64","115,50","113,00","649,77K","0,71%"
"31.08.2023","112,90","113,08","114,26","112,12","379,44K","-0,16%"
"30.08.2023","113,08","111,10","114,38","111,02","498,83K","1,91%"
"29.08.2023","110,96","110,58","112,46","110,50","449,21K","0,43%"
"28.08.2023","110,48","111,16","112,00","109,16","438,32K","-0,52%"
"25.08.2023","111,06","111,54","112,00","109,34","422,79K","-0,43%"
"24.08.2023","111,54","112,80","112,80","110,50","230,88K","-1,12%"
"23.08.2023","112,80","113,68","115,66","111,04","749,93K","-0,76%"
"22.08.2023","113,66","113,50","114,90","112,86","331,39K","0,14%"
"21.08.2023","113,50","110,90","114,78","109,44","795,38K","2,71%"
"17.08.2023","110,50","110,58","111,68","108,56","378,26K","0,02%"
"16.08.2023","110,48","113,20","113,58","107,56","1,10M","-2,39%"
"15.08.2023","113,18","112,96","115,00","107,76","1,13M","-0,21%"
"14.08.2023","113,42","118,70","120,00","113,20","1,34M","-3,49%"
"11.08.2023","117,52","115,44","119,60","115,00","1,18M","2,44%"
"10.08.2023","114,72","118,00","118,46","113,20","702,58K","-2,08%"
"09.08.2023","117,16","125,00","126,00","115,22","4,51M","-1,55%"
"08.08.2023","119,00","110,50","119,00","107,00","1,66M","7,34%"
"07.08.2023","110,86","109,64","113,42","109,50","437,55K","1,24%"
"04.08.2023","109,50","114,10","115,56","106,82","1,35M","-3,63%"
"03.08.2023","113,62","113,80","114,50","112,38","529,70K","-0,16%"
"02.08.2023","113,80","114,00","116,40","113,20","1,97M","0,25%"
"01.08.2023","113,52","114,60","114,60","112,16","796,14K","-0,49%"
"31.07.2023","114,08","113,38","114,60","113,36","427,13K","0,64%"
"28.07.2023","113,36","115,00","115,78","113,00","671,11K","0,32%"
"27.07.2023","113,00","110,38","116,32","110,28","2,51M","2,54%"
"26.07.2023","110,20","111,50","111,86","109,12","354,34K","-0,83%"
"25.07.2023","111,12","111,28","111,78","110,28","564,12K","0,05%"
"24.07.2023","111,06","111,00","111,44","109,72","313,23K","1,24%"
"21.07.2023","109,70","109,16","111,00","108,70","389,06K","0,46%"
"20.07.2023","109,20","111,16","113,84","108,50","855,47K","-1,36%"
"19.07.2023","110,70","112,00","112,64","109,62","1,00M","-0,86%"
"18.07.2023","111,66","110,48","112,88","108,22","2,25M","2,12%"
"17.07.2023","109,34","106,92","109,96","106,12","1,23M","2,36%"
"14.07.2023","106,82","107,56","108,96","106,00","605,01K","-0,19%"
"13.07.2023","107,02","108,92","109,78","106,40","991,94K","-1,18%"
"12.07.2023","108,30","106,20","111,94","106,02","3,64M","2,65%"
"11.07.2023","105,50","104,82","109,50","104,60","1,73M","0,96%"
"10.07.2023","104,50","103,22","105,30","103,22","409,43K","1,26%"
"07.07.2023","103,20","103,26","104,28","103,00","387,06K","0,00%"
"06.07.2023","103,20","104,38","104,44","103,00","290,57K","-0,58%"
"05.07.2023","103,80","103,90","105,20","103,48","482,87K","0,33%"
"04.07.2023","103,46","105,70","105,70","101,50","595,49K","-1,56%"
"03.07.2023","105,10","104,42","107,18","104,02","780,59K","1,04%"
"30.06.2023","104,02","105,22","105,88","104,02","330,99K","-0,97%"
"29.06.2023","105,04","104,46","106,24","104,00","419,14K","0,88%"
"28.06.2023","104,12","103,86","104,72","103,18","281,42K","0,60%"
"27.06.2023","103,50","103,00","104,50","102,84","159,26K","0,43%"
"26.06.2023","103,06","104,02","105,08","100,90","374,25K","-0,98%"
"23.06.2023","104,08","105,80","105,80","103,22","334,24K","-2,05%"
"22.06.2023","106,26","106,80","106,80","105,56","309,44K","0,19%"
"21.06.2023","106,06","104,12","107,26","104,00","609,60K","1,88%"
"20.06.2023","104,10","105,60","105,90","100,00","523,46K","-1,36%"
"19.06.2023","105,54","105,70","106,60","104,56","325,04K","-0,15%"
