"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","140,08","139,18","140,98","138,54","718,37K","0,69%"
"31.08.2023","139,12","140,00","141,98","139,08","26,88K","-0,63%"
"30.08.2023","140,00","139,40","140,00","138,60","43,15K","0,44%"
"29.08.2023","139,38","138,84","139,60","138,22","18,75K","0,39%"
"28.08.2023","138,84","136,22","138,90","136,22","17,59K","1,45%"
"25.08.2023","136,86","136,78","137,48","136,32","17,37K","0,07%"
"24.08.2023","136,76","135,00","136,94","134,92","39,53K","1,38%"
"23.08.2023","134,90","133,88","135,56","133,20","33,03K","0,94%"
"22.08.2023","133,64","131,40","133,94","131,40","24,05K","1,70%"
"21.08.2023","131,40","132,28","133,54","131,32","28,94K","-0,48%"
"18.08.2023","132,04","133,78","133,78","129,16","263,85K","0,58%"
"17.08.2023","131,28","134,02","135,20","130,06","289,75K","-1,99%"
"16.08.2023","133,94","137,20","138,94","132,40","529,95K","-2,38%"
"15.08.2023","137,20","136,58","139,88","132,60","56,73K","-0,25%"
"14.08.2023","137,54","141,10","145,20","137,20","154,66K","-2,51%"
"11.08.2023","141,08","139,98","142,14","138,64","52,36K","0,79%"
"10.08.2023","139,98","136,32","140,00","136,32","24,67K","1,14%"
"09.08.2023","138,40","138,76","139,84","138,40","108,12K","-0,26%"
"08.08.2023","138,76","136,50","138,78","136,38","46,15K","1,70%"
"07.08.2023","136,44","136,38","139,04","135,00","134,36K","0,04%"
"04.08.2023","136,38","135,24","136,78","134,02","60,89K","0,87%"
"03.08.2023","135,20","134,72","137,18","132,28","364,21K","0,36%"
"02.08.2023","134,72","133,30","134,86","133,00","169,63K","1,07%"
"01.08.2023","133,30","132,46","133,56","131,94","19,35K","0,63%"
"31.07.2023","132,46","131,38","133,56","131,36","59,46K","0,85%"
"28.07.2023","131,34","129,92","132,50","129,92","33,52K","1,11%"
"27.07.2023","129,90","130,48","131,34","129,54","90,33K","-0,44%"
"26.07.2023","130,48","130,00","130,88","129,86","15,72K","0,37%"
"25.07.2023","130,00","130,16","130,28","129,64","13,99K","-0,12%"
"24.07.2023","130,16","131,44","131,48","130,16","211,43K","-1,00%"
"21.07.2023","131,48","130,92","131,50","130,00","40,74K","0,43%"
"20.07.2023","130,92","132,50","133,26","129,12","72,76K","-0,64%"
"19.07.2023","131,76","130,72","132,62","130,70","115,54K","0,80%"
"18.07.2023","130,72","129,06","131,10","128,20","34,97K","1,29%"
"17.07.2023","129,06","128,54","129,48","127,80","37,01K","0,40%"
"14.07.2023","128,54","128,76","129,40","125,42","46,71K","0,39%"
"13.07.2023","128,04","129,78","129,80","127,24","97,25K","-1,05%"
"12.07.2023","129,40","127,56","129,80","127,02","34,49K","1,47%"
"11.07.2023","127,52","127,66","128,26","126,68","40,27K","0,20%"
"10.07.2023","127,26","129,52","131,00","126,66","50,71K","-1,74%"
"07.07.2023","129,52","127,66","129,62","127,66","38,39K","1,46%"
"06.07.2023","127,66","127,62","130,00","127,12","249,65K","0,06%"
"05.07.2023","127,58","126,14","128,00","125,78","185,21K","1,14%"
"04.07.2023","126,14","126,54","128,00","125,68","289,25K","-0,32%"
"03.07.2023","126,54","125,30","128,50","123,94","79,93K","0,88%"
"30.06.2023","125,44","123,16","126,00","122,62","61,46K","1,83%"
"29.06.2023","123,18","121,76","123,18","121,16","19,76K","1,07%"
"28.06.2023","121,88","121,44","122,24","120,76","388,07K","0,36%"
"27.06.2023","121,44","121,48","122,62","121,02","314,49K","-0,05%"
"26.06.2023","121,50","120,84","122,24","120,34","108,99K","0,86%"
"23.06.2023","120,46","119,84","121,60","119,10","280,05K","0,50%"
"22.06.2023","119,86","120,84","120,86","119,46","74,57K","-0,84%"
"21.06.2023","120,88","121,50","122,34","120,40","136,05K","-0,89%"
"20.06.2023","121,96","121,62","122,48","120,62","15,19K","0,46%"
"19.06.2023","121,40","121,80","122,30","121,24","25,33K","-0,33%"
"16.06.2023","121,80","121,00","122,14","120,20","17,37K","0,50%"
"15.06.2023","121,20","122,68","122,80","120,06","113,17K","-1,21%"
"14.06.2023","122,68","121,84","123,06","121,84","11,47K","0,69%"
"13.06.2023","121,84","120,60","123,76","120,10","153,82K","1,03%"
"09.06.2023","120,60","120,92","122,00","119,42","12,92K","-0,26%"
"08.06.2023","120,92","119,68","120,98","118,60","47,16K","1,05%"
