"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","148,7","148,5","153,1","148,0","122,45K","0,12%"
"31.08.2023","148,5","148,2","148,9","147,5","88,24K","0,22%"
"30.08.2023","148,2","148,1","149,5","147,2","69,31K","0,14%"
"29.08.2023","148,0","147,4","149,0","147,4","126,79K","0,38%"
"28.08.2023","147,4","145,7","148,1","145,7","128,80K","1,45%"
"25.08.2023","145,3","144,8","146,1","144,4","142,20K","0,39%"
"24.08.2023","144,8","145,2","145,2","143,2","62,31K","-0,30%"
"23.08.2023","145,2","146,1","147,3","142,8","96,89K","-0,62%"
"22.08.2023","146,1","144,8","146,4","143,5","98,14K","0,88%"
"21.08.2023","144,8","141,6","145,4","141,6","113,32K","2,27%"
"18.08.2023","141,6","142,3","145,1","140,0","56,55K","1,14%"
"17.08.2023","140,0","139,0","141,2","137,2","81,26K","1,08%"
"16.08.2023","138,5","142,7","142,9","136,0","158,59K","-3,26%"
"15.08.2023","143,2","142,1","145,0","138,0","204,89K","0,38%"
"14.08.2023","142,6","144,2","147,5","140,6","365,26K","-0,97%"
"11.08.2023","144,0","143,2","144,9","143,0","82,33K","0,66%"
"10.08.2023","143,1","141,6","143,1","140,3","92,02K","2,16%"
"09.08.2023","140,1","138,9","141,9","138,9","170,32K","0,97%"
"08.08.2023","138,7","140,3","143,0","135,1","228,56K","-1,13%"
"07.08.2023","140,3","138,9","143,0","138,2","94,47K","1,05%"
"04.08.2023","138,8","143,5","144,9","136,3","300,91K","-2,70%"
"03.08.2023","142,7","140,0","142,7","138,8","94,61K","1,90%"
"02.08.2023","140,0","139,6","143,1","138,4","125,54K","0,60%"
"01.08.2023","139,2","137,1","143,7","136,7","135,43K","1,52%"
"31.07.2023","137,1","136,1","140,0","135,5","271,33K","0,76%"
"28.07.2023","136,1","134,1","137,7","133,0","230,16K","1,46%"
"27.07.2023","134,1","133,3","134,2","132,4","89,76K","0,80%"
"26.07.2023","133,1","131,8","134,0","131,0","272,68K","1,12%"
"25.07.2023","131,6","130,4","132,7","130,0","182,66K","0,95%"
"24.07.2023","130,3","129,2","130,9","128,1","143,24K","0,91%"
"21.07.2023","129,2","129,2","129,5","127,5","28,69K","-0,05%"
"20.07.2023","129,2","129,6","133,0","127,5","52,19K","-0,48%"
"19.07.2023","129,8","130,0","130,4","128,4","59,24K","0,57%"
"18.07.2023","129,1","127,5","130,1","127,2","497,25K","1,29%"
"17.07.2023","127,5","127,6","128,8","126,4","360,52K","-0,13%"
"14.07.2023","127,6","125,3","127,6","124,6","68,08K","2,11%"
"13.07.2023","125,0","126,2","127,7","124,6","160,60K","-0,94%"
"12.07.2023","126,2","125,0","126,8","124,9","34,53K","1,02%"
"11.07.2023","124,9","124,3","125,2","124,3","27,62K","0,50%"
"10.07.2023","124,3","122,2","124,3","122,2","105,61K","1,74%"
"07.07.2023","122,1","121,6","122,3","120,1","19,65K","0,48%"
"06.07.2023","121,6","121,7","123,1","121,0","60,33K","0,00%"
"05.07.2023","121,5","120,9","122,0","120,7","27,62K","0,60%"
"04.07.2023","120,8","120,7","122,3","118,8","26,83K","0,07%"
"03.07.2023","120,7","120,6","124,3","119,6","108,90K","0,15%"
"30.06.2023","120,5","119,1","120,7","118,7","165,86K","1,26%"
"29.06.2023","119,0","117,9","119,7","116,8","32,65K","0,92%"
"28.06.2023","118,0","119,6","120,0","117,0","55,08K","-1,21%"
"27.06.2023","119,4","118,2","119,7","117,1","221,43K","1,02%"
"26.06.2023","118,2","118,9","119,9","115,0","96,34K","-0,49%"
"23.06.2023","118,8","120,5","120,9","118,0","36,01K","-1,30%"
"22.06.2023","120,3","120,3","121,0","119,3","107,02K","0,05%"
"21.06.2023","120,3","119,4","120,3","118,5","961,05K","0,86%"
"20.06.2023","119,3","119,0","119,8","117,7","29,68K","0,20%"
