"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","58,4","58,6","58,7","57,0","0,55K","-0,34%"
"31.08.2023","58,6","55,9","59,0","55,3","2,10K","4,83%"
"30.08.2023","55,9","56,5","56,6","54,0","1,44K","-1,15%"
"29.08.2023","56,5","56,5","56,6","55,5","0,13K","0,00%"
"28.08.2023","56,6","56,5","58,3","55,0","0,49K","0,18%"
"25.08.2023","56,5","57,5","58,3","56,3","0,64K","0,36%"
"24.08.2023","56,3","56,9","59,8","54,5","1,39K","0,45%"
"23.08.2023","56,0","57,4","58,0","56,0","1,52K","-2,01%"
"22.08.2023","57,2","57,6","60,0","56,0","0,48K","-0,69%"
"21.08.2023","57,6","60,0","62,0","57,5","0,81K","-4,00%"
"18.08.2023","60,0","56,1","70,0","56,0","1,20K","7,05%"
"17.08.2023","56,0","60,5","70,1","56,0","2,78K","-7,36%"
"16.08.2023","60,5","59,8","63,5","57,7","1,46K","1,26%"
"15.08.2023","59,8","57,0","62,5","56,9","41,86K","5,01%"
"14.08.2023","56,9","59,2","70,0","50,3","33,12K","2,15%"
"11.08.2023","55,7","55,2","58,0","50,0","4,39K","-0,89%"
"10.08.2023","56,2","59,7","67,0","50,0","4,35K","-4,91%"
"21.07.2023","59,1","61,1","61,2","58,9","1,11K","0,34%"
"20.07.2023","58,9","59,5","60,3","58,2","5,86K","-1,17%"
"19.07.2023","59,6","60,2","62,3","58,5","1,60K","-1,00%"
"18.07.2023","60,2","59,9","61,2","58,6","0,37K","0,33%"
"17.07.2023","60,0","58,9","60,0","58,8","3,59K","1,87%"
"14.07.2023","58,9","59,2","61,7","58,9","0,85K","-0,59%"
"13.07.2023","59,3","60,5","68,0","58,5","2,44K","-2,07%"
"12.07.2023","60,5","60,3","63,0","60,2","0,41K","0,50%"
"11.07.2023","60,2","60,0","60,5","59,6","0,53K","0,33%"
"10.07.2023","60,0","62,5","62,5","59,3","1,50K","-0,58%"
"07.07.2023","60,3","59,4","61,3","59,4","2,00K","1,77%"
"06.07.2023","59,3","58,3","60,2","58,0","1,29K","2,33%"
"05.07.2023","58,0","58,7","58,7","56,3","8,42K","-1,61%"
"04.07.2023","58,9","60,2","60,3","57,8","11,02K","1,46%"
"03.07.2023","58,0","59,0","60,2","58,0","3,21K","-1,61%"
"30.06.2023","59,0","58,8","60,3","57,8","2,64K","2,25%"
"29.06.2023","57,7","58,5","58,5","55,3","1,44K","3,59%"
"28.06.2023","55,7","55,2","58,8","53,0","1,67K","0,91%"
"27.06.2023","55,2","55,1","56,0","53,0","0,63K","1,10%"
"26.06.2023","54,6","54,6","55,1","53,8","0,72K","0,00%"
