"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","86,60","80,50","90,72","79,50","8,95M","7,68%"
"31.08.2023","80,42","77,16","81,90","77,16","3,27M","4,55%"
"30.08.2023","76,92","77,30","78,24","76,11","498,00K","-0,31%"
"29.08.2023","77,16","79,45","81,50","76,00","1,75M","-2,12%"
"28.08.2023","78,83","75,01","78,97","75,01","1,72M","5,23%"
"25.08.2023","74,91","76,00","76,26","74,70","269,90K","-1,32%"
"24.08.2023","75,91","75,00","76,85","73,50","356,50K","0,78%"
"23.08.2023","75,32","77,17","77,34","75,00","508,30K","-2,25%"
"22.08.2023","77,05","78,96","78,99","75,50","529,70K","-0,93%"
"21.08.2023","77,77","75,11","78,52","74,52","1,40M","4,22%"
"18.08.2023","74,62","75,21","75,99","73,81","253,60K","-0,78%"
"17.08.2023","75,21","74,41","76,50","73,50","651,40K","2,59%"
"16.08.2023","73,31","76,84","77,60","70,50","1,01M","-4,59%"
"15.08.2023","76,84","76,56","78,29","70,02","1,31M","-0,93%"
"14.08.2023","77,56","80,10","81,00","75,46","1,90M","-2,44%"
"11.08.2023","79,50","78,26","79,88","77,11","1,28M","2,07%"
"10.08.2023","77,89","77,00","78,96","76,61","1,05M","1,71%"
"09.08.2023","76,58","75,94","77,84","74,55","1,20M","2,03%"
"08.08.2023","75,06","76,66","76,84","73,05","857,70K","-2,33%"
"07.08.2023","76,85","78,60","79,84","75,20","1,33M","-0,63%"
"04.08.2023","77,34","75,71","84,63","72,14","6,86M","2,97%"
"03.08.2023","75,11","74,03","75,76","73,58","1,44M","2,11%"
"02.08.2023","73,56","73,80","74,32","72,61","897,90K","0,04%"
"01.08.2023","73,53","72,73","74,77","72,51","1,32M","1,41%"
"31.07.2023","72,51","72,33","73,27","72,10","856,30K","0,71%"
"28.07.2023","72,00","72,94","72,94","71,00","600,60K","-0,97%"
"27.07.2023","72,71","72,63","73,98","70,82","1,04M","0,54%"
"26.07.2023","72,32","73,82","75,79","72,20","2,02M","-1,51%"
"25.07.2023","73,42","72,80","73,99","72,21","1,26M","1,39%"
"24.07.2023","72,41","72,01","73,70","71,61","1,11M","1,31%"
"21.07.2023","71,47","70,00","74,54","70,00","1,36M","1,68%"
"20.07.2023","70,29","72,33","78,86","70,01","7,95M","-2,80%"
"19.07.2023","72,32","70,00","72,50","69,10","2,11M","3,80%"
"18.07.2023","69,68","69,56","70,26","68,50","705,80K","0,47%"
"17.07.2023","69,35","68,32","72,75","68,28","2,91M","1,53%"
"14.07.2023","68,31","68,00","68,50","68,00","282,30K","0,36%"
"13.07.2023","68,06","68,06","68,50","67,76","340,10K","0,26%"
"12.07.2023","67,89","67,96","68,00","67,79","210,30K","0,07%"
"11.07.2023","67,84","67,79","68,11","67,75","222,60K","0,07%"
"10.07.2023","67,79","67,66","68,74","67,00","456,90K","0,20%"
"07.07.2023","67,66","67,87","68,14","67,00","251,60K","-0,31%"
"06.07.2023","67,87","67,77","70,00","67,51","297,60K","0,13%"
"05.07.2023","67,79","67,65","68,01","67,65","154,30K","0,19%"
"04.07.2023","67,65","68,71","69,10","67,30","240,00K","-1,23%"
"03.07.2023","68,50","67,89","69,10","67,86","449,00K","0,97%"
"30.06.2023","67,85","68,21","68,29","67,71","256,30K","-0,45%"
"29.06.2023","68,15","68,48","69,32","68,00","238,10K","-0,51%"
"28.06.2023","68,50","69,69","70,30","67,50","229,10K","-1,74%"
"27.06.2023","69,71","67,64","71,00","67,60","945,00K","3,20%"
"26.06.2023","67,55","68,70","68,85","66,96","323,20K","-0,84%"
"23.06.2023","68,12","70,18","70,30","66,60","475,20K","-2,94%"
"22.06.2023","70,18","70,38","71,70","69,60","910,20K","-0,27%"
"21.06.2023","70,38","70,21","74,00","69,80","1,13M","0,24%"
"20.06.2023","70,21","71,20","71,39","67,50","662,70K","-1,26%"
"19.06.2023","71,10","72,00","73,46","70,20","706,00K","-0,96%"
"16.06.2023","71,79","70,80","74,50","70,73","981,90K","1,51%"
"15.06.2023","70,72","72,85","72,86","70,15","665,40K","-2,72%"
"14.06.2023","72,70","68,90","75,50","68,81","3,76M","5,52%"
"13.06.2023","68,90","67,94","70,49","67,21","867,40K","2,35%"
"09.06.2023","67,32","67,00","70,94","66,70","1,20M","0,73%"
"08.06.2023","66,83","68,00","68,00","66,20","237,70K","-0,36%"
"07.06.2023","67,07","66,68","67,67","64,76","350,30K","0,16%"
"06.06.2023","66,97","68,45","68,45","63,21","746,20K","-1,85%"
"05.06.2023","68,24","70,00","70,00","67,65","322,80K","0,32%"
"02.06.2023","68,02","70,00","70,00","66,69","410,50K","-0,25%"
"01.06.2023","68,19","68,54","69,29","66,85","289,90K","0,28%"
"31.05.2023","68,00","67,89","68,46","66,00","619,50K","-0,29%"
"30.05.2023","68,20","70,50","71,85","67,50","949,90K","-2,84%"
"29.05.2023","70,19","71,50","75,80","68,03","2,32M","-0,78%"
"26.05.2023","70,75","59,19","78,65","59,19","15,03M","19,51%"
"25.05.2023","59,19","63,60","63,71","57,01","1,54M","-6,79%"
"24.05.2023","63,51","67,11","67,11","63,51","805,20K","-5,19%"
"23.05.2023","66,98","71,12","71,53","64,11","2,60M","-6,36%"
"22.05.2023","71,53","75,78","75,94","71,00","927,80K","-5,94%"
"19.05.2023","76,04","78,10","78,31","75,02","515,60K","-2,82%"
"18.05.2023","78,25","78,90","79,25","78,01","213,80K","-0,95%"
"17.05.2023","79,00","79,85","80,15","78,00","402,40K","-0,87%"
"16.05.2023","79,69","79,19","82,45","77,20","1,95M","1,84%"
"15.05.2023","78,25","79,00","79,50","76,07","761,40K","0,00%"
"12.05.2023","78,25","80,71","80,85","77,63","463,70K","-3,05%"
"11.05.2023","80,71","78,99","82,00","76,52","1,13M","2,84%"
"10.05.2023","78,48","81,39","81,39","75,65","1,22M","5,19%"
"08.05.2023","74,61","77,00","77,85","73,00","205,90K","-2,48%"
"05.05.2023","76,51","81,43","81,43","75,50","557,20K","-1,73%"
"04.05.2023","77,86","75,70","81,50","75,00","1,15M","1,09%"
"03.05.2023","77,01","78,50","82,05","71,60","2,38M","-1,31%"
"02.05.2023","78,04","85,07","85,57","70,30","2,20M","-7,79%"
"28.04.2023","84,63","88,94","89,57","81,50","1,59M","-4,82%"
"27.04.2023","88,92","91,60","91,78","88,70","632,10K","-2,82%"
"26.04.2023","91,50","91,70","95,37","88,50","2,51M","-0,49%"
"25.04.2023","91,95","95,04","95,32","90,35","1,19M","-3,15%"
"24.04.2023","94,94","95,85","95,92","94,02","389,60K","-0,94%"
"21.04.2023","95,85","96,99","96,99","95,50","328,10K","-0,90%"
"20.04.2023","96,72","97,50","98,00","95,07","460,20K","-0,71%"
"19.04.2023","97,42","98,90","98,96","96,18","559,30K","-1,29%"
"18.04.2023","98,69","99,00","99,90","97,80","594,30K","0,10%"
"17.04.2023","98,59","98,29","98,78","97,79","315,60K","0,84%"
"14.04.2023","97,77","98,30","98,35","94,01","475,10K","-0,61%"
"13.04.2023","98,37","100,03","100,71","97,44","514,60K","-1,43%"
"12.04.2023","99,80","98,00","101,50","98,00","1,37M","2,04%"
"11.04.2023","97,80","100,60","102,56","93,00","1,38M","-2,30%"
"10.04.2023","100,10","98,54","103,64","98,54","3,32M","2,34%"
"07.04.2023","97,82","98,39","103,39","96,58","2,21M","-0,59%"
"06.04.2023","98,39","99,80","99,80","96,06","607,80K","-0,06%"
"05.04.2023","98,46","100,20","100,20","90,00","1,44M","-1,54%"
"04.04.2023","100,00","100,90","101,00","99,80","1,01M","-0,72%"
"03.04.2023","100,73","101,99","102,90","99,54","1,49M","0,38%"
"31.03.2023","100,35","103,60","103,60","99,77","1,30M","-1,82%"
"30.03.2023","102,21","97,54","107,00","97,34","10,25M","5,27%"
"29.03.2023","97,09","97,00","98,21","95,63","2,55M","1,56%"
"28.03.2023","95,60","97,00","97,86","94,11","1,34M","0,10%"
"27.03.2023","95,50","94,31","99,39","94,00","2,84M","1,71%"
"24.03.2023","93,90","94,01","98,43","92,01","1,56M","-0,11%"
"23.03.2023","94,00","104,50","108,40","90,84","8,26M","-7,09%"
"22.03.2023","101,18","85,00","107,00","84,90","27,07M","19,87%"
"21.03.2023","84,40","61,00","86,12","60,08","31,60M","37,15%"
"20.03.2023","61,54","55,20","62,30","55,00","8,81M","11,89%"
"17.03.2023","55,00","53,65","55,45","52,62","2,47M","1,95%"
"16.03.2023","53,95","54,49","54,49","51,36","3,34M","-0,19%"
"15.03.2023","54,05","49,80","54,58","49,67","8,56M","9,17%"
"14.03.2023","49,51","50,28","51,39","49,01","1,21M","-1,47%"
"13.03.2023","50,25","48,36","51,00","48,17","1,99M","3,99%"
"10.03.2023","48,32","48,27","49,60","47,72","2,00M","0,10%"
"09.03.2023","48,27","48,37","48,87","48,00","662,80K","-0,26%"
"07.03.2023","48,40","48,68","48,95","48,10","341,30K","-0,26%"
"06.03.2023","48,52","48,82","49,19","48,00","720,20K","-0,47%"
"03.03.2023","48,75","48,70","50,83","47,53","2,34M","0,06%"
"02.03.2023","48,72","47,15","51,40","47,05","11,97M","3,66%"
"01.03.2023","47,00","47,19","47,45","46,44","1,13M","0,92%"
"28.02.2023","46,57","46,17","47,30","46,10","1,53M","0,93%"
"27.02.2023","46,14","46,20","46,79","46,00","906,80K","-0,15%"
"24.02.2023","46,21","46,01","47,69","45,11","892,90K","0,63%"
"22.02.2023","45,92","46,58","46,99","45,14","426,10K","-0,71%"
"21.02.2023","46,25","43,63","47,90","43,63","1,79M","1,17%"
"20.02.2023","45,72","47,40","48,20","41,35","4,61M","-3,57%"
"17.02.2023","47,40","46,78","48,19","46,78","2,00M","1,39%"
"16.02.2023","46,76","47,24","49,17","46,14","2,70M","-1,04%"
"15.02.2023","47,24","47,92","52,26","42,05","15,70M","1,57%"
"14.02.2023","46,51","48,00","49,94","45,60","4,08M","-4,58%"
"13.02.2023","48,75","43,21","49,74","43,14","19,30M","12,85%"
"10.02.2023","43,20","47,00","48,40","42,13","14,50M","-10,92%"
