"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","104,6","108,2","108,2","104,5","0,54K","-0,38%"
"31.08.2023","105,0","105,0","105,1","103,2","0,80K","-0,10%"
"30.08.2023","105,1","104,9","105,1","104,6","0,43K","0,29%"
"29.08.2023","104,8","104,1","105,1","104,1","0,73K","-0,29%"
"28.08.2023","105,1","103,8","105,4","103,8","0,70K","-0,19%"
"25.08.2023","105,3","105,3","105,4","104,7","0,26K","-0,09%"
"24.08.2023","105,4","104,3","105,6","104,3","0,48K","-0,28%"
"23.08.2023","105,7","105,7","105,8","105,1","0,54K","-0,09%"
"22.08.2023","105,8","105,0","106,5","105,0","0,51K","-0,56%"
"21.08.2023","106,4","108,5","108,5","105,3","1,59K","0,19%"
"18.08.2023","106,2","108,5","108,5","105,2","0,30K","0,76%"
"17.08.2023","105,4","104,9","105,4","104,7","0,51K","0,86%"
"16.08.2023","104,5","103,2","105,4","103,2","0,61K","-0,19%"
"15.08.2023","104,7","105,5","105,5","104,0","0,99K","-0,66%"
"14.08.2023","105,4","108,9","108,9","104,8","1,12K","0,09%"
"11.08.2023","105,3","108,0","108,0","105,3","1,45K","-0,66%"
"10.08.2023","106,0","106,3","106,3","105,5","0,66K","-0,28%"
"09.08.2023","106,3","106,5","106,5","105,8","5,63K","-0,19%"
"08.08.2023","106,5","109,8","109,8","105,9","5,50K","-0,19%"
"07.08.2023","106,7","109,8","109,8","106,2","0,92K","0,28%"
"04.08.2023","106,4","106,4","106,8","106,3","0,95K","-0,28%"
"03.08.2023","106,7","106,8","106,8","106,4","0,98K","0,38%"
"02.08.2023","106,3","106,2","106,7","106,2","0,91K","-0,19%"
"01.08.2023","106,5","106,9","107,0","106,5","2,19K","-0,19%"
"31.07.2023","106,7","108,3","108,3","106,6","0,69K","0,09%"
"28.07.2023","106,6","106,7","106,9","106,3","1,59K","-0,09%"
"27.07.2023","106,7","105,0","107,2","105,0","1,23K","-0,19%"
"26.07.2023","106,9","108,6","108,6","106,6","0,80K","-0,09%"
"25.07.2023","107,0","108,1","108,1","106,8","0,49K","0,38%"
"24.07.2023","106,6","108,4","108,4","106,2","0,62K","-0,19%"
"21.07.2023","106,8","106,8","106,8","106,4","0,41K","0,09%"
"20.07.2023","106,7","106,9","106,9","106,5","0,58K","-0,09%"
"19.07.2023","106,8","106,6","106,8","106,4","0,27K","0,19%"
"18.07.2023","106,6","107,9","107,9","106,2","0,52K","-0,19%"
"17.07.2023","106,8","106,7","107,3","106,5","0,64K","-0,37%"
"14.07.2023","107,2","106,9","107,3","106,7","0,49K","0,19%"
"13.07.2023","107,0","107,2","107,3","106,7","0,65K","-0,09%"
"12.07.2023","107,1","106,9","107,1","106,9","0,29K","0,00%"
"11.07.2023","107,1","107,3","107,4","107,0","0,21K","-0,09%"
"10.07.2023","107,2","109,0","109,0","106,9","0,49K","-0,28%"
"07.07.2023","107,5","107,1","107,5","106,9","0,81K","0,19%"
"06.07.2023","107,3","107,2","107,6","107,2","0,34K","-0,28%"
"05.07.2023","107,6","107,1","107,6","107,1","0,54K","0,37%"
"04.07.2023","107,2","107,1","107,7","107,0","1,14K","-0,09%"
"03.07.2023","107,3","110,0","110,0","107,0","1,12K","-0,19%"
"30.06.2023","107,5","109,1","109,1","107,2","0,62K","0,00%"
"29.06.2023","107,5","108,7","108,7","107,1","0,55K","-0,19%"
"28.06.2023","107,7","107,6","107,7","107,5","0,31K","0,19%"
"27.06.2023","107,5","107,8","107,8","107,3","0,28K","-0,09%"
"26.06.2023","107,6","108,8","108,8","107,4","0,82K","0,00%"
"23.06.2023","107,6","107,4","107,9","107,3","0,68K","0,09%"
"22.06.2023","107,5","107,5","107,9","107,2","0,83K","0,00%"
"21.06.2023","107,5","107,4","107,8","107,3","0,94K","-0,28%"
"20.06.2023","107,8","108,7","108,7","107,6","0,90K","0,00%"
"19.06.2023","107,8","107,0","108,0","107,0","1,41K","0,00%"
"16.06.2023","107,8","107,9","108,0","107,6","0,95K","0,00%"
"15.06.2023","107,8","111,0","111,0","107,4","0,40K","0,00%"
"14.06.2023","107,8","107,8","108,0","107,5","0,77K","0,09%"
"13.06.2023","107,7","105,3","108,2","105,3","1,89K","-0,28%"
"09.06.2023","108,0","107,9","108,0","107,4","0,51K","0,09%"
"08.06.2023","107,9","107,6","107,9","107,5","0,29K","0,00%"
"07.06.2023","107,9","107,5","107,9","107,5","0,21K","0,28%"
"06.06.2023","107,6","107,9","108,1","107,2","2,25K","-0,37%"
"05.06.2023","108,0","108,0","108,1","107,3","0,72K","0,00%"
"02.06.2023","108,0","106,5","108,1","106,5","0,32K","0,47%"
"01.06.2023","107,5","111,2","111,2","107,4","2,65K","-0,46%"
"31.05.2023","108,0","106,8","108,1","106,8","0,31K","0,00%"
"30.05.2023","108,0","107,3","108,2","107,2","0,61K","-0,09%"
"29.05.2023","108,1","111,0","111,0","107,5","0,31K","0,19%"
"26.05.2023","107,9","107,1","108,0","107,1","0,40K","0,00%"
"25.05.2023","107,9","105,8","108,0","105,8","0,76K","0,00%"
"24.05.2023","107,9","105,7","107,9","105,7","0,60K","0,09%"
"23.05.2023","107,8","111,0","111,0","107,3","0,40K","0,09%"
"22.05.2023","107,7","105,6","108,0","105,6","1,13K","0,28%"
"19.05.2023","107,4","107,5","107,8","106,8","0,99K","-0,37%"
"18.05.2023","107,8","107,9","107,9","107,1","1,27K","0,28%"
"17.05.2023","107,5","107,2","107,7","107,0","0,35K","-0,09%"
"16.05.2023","107,6","107,5","107,7","106,7","0,37K","-0,19%"
"15.05.2023","107,8","106,0","107,8","106,0","0,54K","0,09%"
"12.05.2023","107,7","107,9","107,9","106,8","1,10K","0,56%"
"11.05.2023","107,1","107,9","107,9","107,1","0,57K","-0,37%"
"10.05.2023","107,5","106,9","107,7","106,7","1,05K","0,09%"
"08.05.2023","107,4","106,9","107,4","106,9","0,09K","0,56%"
