"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","17,71","17,40","18,10","17,09","21,23M","3,11%"
"31.08.2023","17,18","17,31","17,54","16,90","5,74M","-0,31%"
"30.08.2023","17,23","17,36","17,60","16,81","14,57M","-0,49%"
"29.08.2023","17,31","17,30","18,54","17,10","37,06M","1,48%"
"28.08.2023","17,06","16,75","17,17","16,25","4,03M","1,94%"
"25.08.2023","16,74","16,88","16,90","16,71","1,11M","-0,46%"
"24.08.2023","16,82","16,89","16,95","16,52","2,67M","-0,77%"
"23.08.2023","16,95","17,25","17,25","16,75","3,17M","-0,55%"
"22.08.2023","17,04","17,06","17,34","17,00","3,68M","-0,07%"
"21.08.2023","17,05","17,30","17,45","16,82","3,83M","-0,34%"
"18.08.2023","17,11","17,60","17,63","16,70","9,09M","-0,87%"
"17.08.2023","17,26","15,63","17,32","15,63","22,47M","10,95%"
"16.08.2023","15,56","16,05","16,34","15,41","3,58M","-3,03%"
"15.08.2023","16,04","16,20","16,75","15,00","4,65M","-1,23%"
"14.08.2023","16,24","16,93","17,25","16,11","7,72M","-3,70%"
"11.08.2023","16,87","17,10","17,21","16,72","3,35M","-1,38%"
"10.08.2023","17,10","16,92","17,29","16,50","6,05M","1,69%"
"09.08.2023","16,82","16,00","17,10","15,76","9,23M","5,84%"
"08.08.2023","15,89","16,18","16,47","15,70","6,39M","-2,02%"
"07.08.2023","16,22","16,38","16,70","16,05","5,54M","0,73%"
"04.08.2023","16,10","17,35","17,46","16,10","7,11M","-6,90%"
"03.08.2023","17,29","17,00","17,37","16,80","8,79M","2,21%"
"02.08.2023","16,92","16,98","17,15","16,51","4,14M","-0,33%"
"01.08.2023","16,98","17,32","17,35","16,90","3,65M","-1,87%"
"31.07.2023","17,30","17,46","17,80","16,80","8,14M","-0,45%"
"28.07.2023","17,38","18,00","18,39","17,13","8,58M","-3,46%"
"27.07.2023","18,00","17,96","18,98","17,08","25,43M","2,56%"
"26.07.2023","17,55","15,03","17,95","14,92","40,76M","17,96%"
"25.07.2023","14,88","14,91","15,46","14,61","5,90M","0,27%"
"24.07.2023","14,84","14,24","14,98","14,20","3,93M","4,23%"
"21.07.2023","14,24","14,26","14,29","13,90","1,85M","-0,18%"
"20.07.2023","14,26","14,46","14,94","14,10","4,23M","-0,96%"
"19.07.2023","14,40","14,86","14,99","14,20","5,80M","-1,37%"
"18.07.2023","14,60","14,05","15,77","13,89","21,52M","4,51%"
"17.07.2023","13,97","13,79","14,09","13,74","3,61M","1,13%"
"14.07.2023","13,81","13,80","14,05","13,66","1,53M","0,57%"
"13.07.2023","13,74","13,86","13,86","13,57","878,18K","0,25%"
"12.07.2023","13,70","13,63","14,00","13,59","4,67M","0,76%"
"11.07.2023","13,60","13,43","13,60","13,36","926,27K","1,33%"
"10.07.2023","13,42","13,39","13,77","13,30","930,29K","0,48%"
