"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","1.005,50","1.013,50","1.015,00","972,00","305,44K","1,06%"
"31.08.2023","995,00","1.058,00","1.066,00","980,00","992,03K","-5,24%"
"30.08.2023","1.050,00","918,00","1.099,00","891,50","3,74M","14,63%"
"29.08.2023","916,00","830,00","930,00","825,50","1,06M","10,49%"
"28.08.2023","829,00","809,00","830,00","805,50","225,72K","3,11%"
"25.08.2023","804,00","801,00","805,00","800,00","50,48K","0,44%"
"24.08.2023","800,50","789,00","806,00","780,00","87,45K","0,31%"
"23.08.2023","798,00","801,00","805,00","782,00","67,86K","-0,25%"
"22.08.2023","800,00","802,00","806,00","798,50","50,82K","-0,06%"
"21.08.2023","800,50","800,00","810,00","794,50","85,72K","0,44%"
"18.08.2023","797,00","798,00","804,50","784,50","64,26K","0,19%"
"17.08.2023","795,50","786,50","809,50","780,50","167,17K","1,92%"
"16.08.2023","780,50","795,50","801,00","750,00","258,43K","-1,82%"
"15.08.2023","795,00","795,00","809,00","770,00","198,15K","-0,81%"
"14.08.2023","801,50","819,50","819,50","786,00","296,06K","-1,96%"
"11.08.2023","817,50","804,50","818,00","794,50","219,03K","1,68%"
"10.08.2023","804,00","784,00","810,00","782,00","232,62K","2,03%"
"09.08.2023","788,00","793,00","804,50","784,00","188,10K","-0,06%"
"08.08.2023","788,50","779,00","810,00","745,00","678,93K","1,09%"
"07.08.2023","780,00","770,00","800,00","755,00","571,95K","2,36%"
"04.08.2023","762,00","765,00","783,50","660,00","640,56K","-0,26%"
"03.08.2023","764,00","760,00","768,00","752,50","239,21K","1,73%"
"02.08.2023","751,00","730,00","769,00","727,00","597,21K","3,66%"
"01.08.2023","724,50","732,00","734,00","715,00","197,48K","-1,09%"
"31.07.2023","732,50","737,00","750,00","730,50","138,37K","-0,54%"
"28.07.2023","736,50","744,00","748,00","728,00","200,52K","-0,81%"
"27.07.2023","742,50","755,00","765,00","740,50","396,87K","0,07%"
"26.07.2023","742,00","715,50","774,50","711,50","2,06M","4,51%"
"25.07.2023","710,00","662,50","714,50","660,00","1,19M","8,23%"
"24.07.2023","656,00","637,00","657,50","635,00","323,21K","3,31%"
"21.07.2023","635,00","631,50","639,00","625,00","143,02K","0,63%"
"20.07.2023","631,00","650,50","655,00","629,00","289,75K","-2,32%"
"19.07.2023","646,00","639,00","653,00","633,00","246,88K","1,49%"
"18.07.2023","636,50","628,50","643,00","628,50","265,64K","1,35%"
"17.07.2023","628,00","622,00","635,00","622,00","68,37K","0,08%"
"14.07.2023","627,50","629,00","632,50","625,00","72,54K","0,08%"
"13.07.2023","627,00","640,00","640,00","620,00","81,21K","-1,10%"
"12.07.2023","634,00","634,50","638,50","630,00","97,89K","0,16%"
"11.07.2023","633,00","644,50","644,50","628,50","121,27K","-1,25%"
"10.07.2023","641,00","620,50","641,00","620,50","138,59K","3,22%"
"07.07.2023","621,00","625,00","628,00","620,00","80,96K","-0,72%"
"06.07.2023","625,50","634,50","636,00","610,00","191,60K","-1,42%"
"05.07.2023","634,50","636,00","637,00","632,00","61,45K","0,24%"
"04.07.2023","633,00","640,50","640,50","622,50","80,27K","-0,78%"
"03.07.2023","638,00","638,50","660,00","630,00","245,00K","0,55%"
"30.06.2023","634,50","622,50","648,00","622,50","480,99K","2,09%"
"29.06.2023","621,50","627,00","628,00","620,50","61,93K","-0,32%"
"28.06.2023","623,50","639,00","639,00","620,00","167,14K","-1,34%"
"27.06.2023","632,00","611,50","653,50","611,00","1,11M","3,61%"
"26.06.2023","610,00","610,50","618,00","592,50","186,73K","-1,13%"
"23.06.2023","617,00","604,00","621,50","597,00","431,94K","2,24%"
"22.06.2023","603,50","606,00","609,00","603,00","35,25K","0,00%"
"21.06.2023","603,50","591,00","607,00","590,50","156,01K","2,12%"
"20.06.2023","591,00","594,50","594,50","590,00","31,72K","-0,34%"
"19.06.2023","593,00","592,50","595,00","589,00","25,33K","0,08%"
"16.06.2023","592,50","591,50","600,00","589,00","41,88K","0,17%"
"15.06.2023","591,50","593,50","594,00","588,50","34,65K","0,00%"
"14.06.2023","591,50","593,50","595,50","590,00","37,38K","-0,08%"
"13.06.2023","592,00","590,00","599,50","590,00","47,99K","0,25%"
"09.06.2023","590,50","597,00","597,00","588,50","24,23K","-0,25%"
"08.06.2023","592,00","586,00","597,00","583,50","62,47K","1,54%"
"07.06.2023","583,00","583,00","589,00","582,00","63,59K","0,43%"
"06.06.2023","580,50","600,00","600,00","555,00","260,99K","-3,73%"
"05.06.2023","603,00","609,50","611,00","600,00","136,33K","0,08%"
"02.06.2023","602,50","598,00","604,00","598,00","35,59K","0,75%"
"01.06.2023","598,00","600,50","606,50","594,50","68,74K","-0,58%"
"31.05.2023","601,50","608,00","609,50","593,00","108,25K","-0,82%"
"30.05.2023","606,50","607,00","613,00","602,50","135,42K","-0,74%"
"29.05.2023","611,00","603,00","612,50","600,00","176,19K","1,41%"
"26.05.2023","602,50","606,50","608,50","600,50","48,06K","-0,25%"
"25.05.2023","604,00","602,00","609,00","592,50","157,02K","0,33%"
"24.05.2023","602,00","590,50","604,00","589,50","99,40K","1,95%"
"23.05.2023","590,50","594,00","597,50","588,00","23,76K","-0,42%"
"22.05.2023","593,00","594,00","604,50","590,00","59,89K","0,17%"
"19.05.2023","592,00","588,00","600,00","581,50","82,90K","1,11%"
