"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","12,17","12,23","12,52","12,00","570,90K","-0,16%"
"31.08.2023","12,19","12,30","12,45","12,09","285,70K","-0,73%"
"30.08.2023","12,28","12,51","12,57","12,07","423,40K","-1,76%"
"29.08.2023","12,50","12,99","12,99","12,21","883,30K","-1,34%"
"28.08.2023","12,67","12,54","12,69","12,06","597,30K","1,77%"
"25.08.2023","12,45","12,12","13,45","12,01","1,43M","2,81%"
"24.08.2023","12,11","12,56","12,60","12,00","626,20K","-3,20%"
"23.08.2023","12,51","11,49","12,99","11,16","2,29M","8,88%"
"22.08.2023","11,49","11,69","11,69","11,29","277,80K","0,52%"
"21.08.2023","11,43","11,59","12,59","10,90","1,92M","1,78%"
"18.08.2023","11,23","12,09","12,09","10,84","1,68M","-3,36%"
"17.08.2023","11,62","10,29","13,77","10,06","9,77M","14,03%"
"16.08.2023","10,19","9,94","10,95","9,21","1,36M","2,83%"
"15.08.2023","9,91","9,97","10,18","9,80","293,30K","-2,17%"
"14.08.2023","10,13","9,80","10,72","9,78","1,02M","3,68%"
"11.08.2023","9,77","9,89","10,00","9,68","276,90K","-0,20%"
"10.08.2023","9,79","9,64","9,90","9,51","389,60K","2,73%"
"09.08.2023","9,53","9,60","10,04","9,49","524,40K","-0,52%"
"08.08.2023","9,58","9,67","9,67","9,41","202,80K","0,84%"
"07.08.2023","9,50","9,40","9,70","9,34","431,40K","1,06%"
"04.08.2023","9,40","9,68","9,76","9,12","792,40K","-1,98%"
"03.08.2023","9,59","9,71","10,40","9,50","1,13M","0,31%"
"02.08.2023","9,56","9,53","10,24","9,44","729,50K","0,84%"
"01.08.2023","9,48","9,22","9,60","9,21","515,10K","2,82%"
"31.07.2023","9,22","9,23","9,30","9,01","292,50K","0,33%"
"28.07.2023","9,19","9,30","9,39","9,01","199,60K","-0,97%"
"27.07.2023","9,28","9,21","9,40","9,07","323,40K","1,98%"
"26.07.2023","9,10","9,38","9,57","9,03","471,10K","-2,99%"
"25.07.2023","9,38","9,51","9,62","9,03","652,50K","-0,32%"
"24.07.2023","9,41","9,67","10,03","9,04","1,61M","-1,36%"
"21.07.2023","9,54","8,46","10,78","8,29","6,80M","16,48%"
"20.07.2023","8,19","8,28","8,35","7,99","318,10K","-1,09%"
"19.07.2023","8,28","8,39","8,60","8,18","131,30K","-0,72%"
"18.07.2023","8,34","8,23","8,91","8,13","491,20K","1,46%"
"17.07.2023","8,22","7,86","8,50","7,86","488,60K","4,58%"
"14.07.2023","7,86","7,80","8,07","7,79","294,40K","0,77%"
"13.07.2023","7,80","7,82","7,85","7,72","103,30K","0,00%"
"12.07.2023","7,80","7,76","7,88","7,71","191,50K","1,17%"
"11.07.2023","7,71","7,80","8,28","7,50","760,50K","-0,13%"
"10.07.2023","7,72","7,70","7,89","7,60","112,20K","-1,28%"
"07.07.2023","7,82","7,59","7,98","7,21","2,07M","4,41%"
"06.07.2023","7,49","7,68","7,68","7,21","440,30K","-2,35%"
"05.07.2023","7,67","7,17","7,79","7,10","1,59M","8,49%"
"04.07.2023","7,07","7,15","7,16","6,99","101,90K","-0,98%"
"03.07.2023","7,14","7,14","7,27","7,04","129,20K","-0,28%"
"30.06.2023","7,16","7,13","7,19","7,11","50,30K","-0,69%"
"29.06.2023","7,21","7,29","7,29","7,12","73,30K","-0,83%"
"28.06.2023","7,27","7,21","7,27","7,15","24,40K","0,83%"
"27.06.2023","7,21","7,08","7,30","7,00","86,10K","1,26%"
"26.06.2023","7,12","7,21","7,38","7,00","245,10K","-3,78%"
"23.06.2023","7,40","7,63","7,63","7,12","374,90K","-2,50%"
"22.06.2023","7,59","7,77","7,77","7,59","101,70K","-2,06%"
"21.06.2023","7,75","7,63","7,75","7,40","206,50K","2,51%"
"20.06.2023","7,56","7,50","7,65","7,50","177,30K","1,48%"
"19.06.2023","7,45","7,61","7,67","7,40","220,20K","-2,23%"
"16.06.2023","7,62","7,66","7,70","7,52","116,00K","-0,52%"
"15.06.2023","7,66","7,42","8,20","7,07","2,18M","4,93%"
"14.06.2023","7,30","7,33","8,38","7,20","2,25M","0,14%"
"13.06.2023","7,29","6,90","7,44","6,87","668,30K","5,81%"
"09.06.2023","6,89","6,85","6,94","6,84","70,60K","0,58%"
