"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","1.228,6","1.224,2","1.235,0","1.220,6","2,44K","0,51%"
"31.08.2023","1.222,4","1.213,8","1.227,0","1.213,8","4,04K","0,87%"
"30.08.2023","1.211,8","1.198,8","1.215,0","1.169,6","1,46K","0,48%"
"29.08.2023","1.206,0","1.209,8","1.209,8","1.200,2","1,59K","-0,30%"
"28.08.2023","1.209,6","1.195,0","1.212,4","1.194,0","1,41K","1,66%"
"25.08.2023","1.189,8","1.197,2","1.204,6","1.184,8","1,98K","0,05%"
"24.08.2023","1.189,2","1.181,2","1.194,6","1.180,0","1,80K","0,85%"
"23.08.2023","1.179,2","1.206,2","1.206,8","1.172,2","2,39K","-1,73%"
"22.08.2023","1.200,0","1.190,0","1.212,6","1.185,6","7,20K","0,98%"
"21.08.2023","1.188,4","1.169,2","1.197,8","1.169,0","3,78K","0,71%"
"18.08.2023","1.180,0","1.171,2","1.183,6","1.161,4","0,93K","0,94%"
"17.08.2023","1.169,0","1.153,0","1.173,8","1.104,2","9,01K","1,23%"
"16.08.2023","1.154,8","1.179,4","1.184,4","1.135,2","6,84K","-2,09%"
"15.08.2023","1.179,4","1.204,8","1.204,8","1.160,8","2,42K","-0,27%"
"14.08.2023","1.182,6","1.200,0","1.219,0","1.168,2","4,12K","-0,95%"
"11.08.2023","1.194,0","1.190,6","1.197,0","1.186,8","3,24K","0,35%"
"10.08.2023","1.189,8","1.178,2","1.197,0","1.178,2","1,74K","0,97%"
"09.08.2023","1.178,4","1.174,2","1.186,6","1.174,2","2,83K","0,36%"
"08.08.2023","1.174,2","1.178,8","1.178,8","1.154,4","4,26K","-0,37%"
"07.08.2023","1.178,6","1.169,8","1.201,4","1.160,0","6,11K","0,75%"
"04.08.2023","1.169,8","1.180,8","1.206,6","1.148,4","7,17K","-1,03%"
"03.08.2023","1.182,0","1.155,0","1.183,4","1.155,0","3,18K","2,52%"
"02.08.2023","1.153,0","1.144,2","1.164,8","1.141,4","3,74K","0,65%"
"01.08.2023","1.145,6","1.132,0","1.146,6","1.132,0","3,15K","1,18%"
"31.07.2023","1.132,2","1.125,0","1.141,2","1.122,4","11,35K","0,89%"
"28.07.2023","1.122,2","1.124,2","1.126,8","1.115,6","2,30K","0,50%"
"27.07.2023","1.116,6","1.117,8","1.122,8","1.113,0","2,44K","-0,13%"
"26.07.2023","1.118,0","1.110,4","1.119,4","1.107,6","1,86K","0,72%"
