"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,7820","0,7558","0,7900","0,7500","730,51M","3,44%"
"31.08.2023","0,7560","0,7514","0,7730","0,7324","408,88M","1,37%"
"30.08.2023","0,7458","0,7550","0,7746","0,7350","482,56M","0,00%"
"29.08.2023","0,7458","0,7198","0,7550","0,7090","1,06B","4,78%"
"28.08.2023","0,7118","0,7042","0,7170","0,6960","362,42M","2,42%"
"25.08.2023","0,6950","0,6740","0,7018","0,6730","399,20M","3,18%"
"24.08.2023","0,6736","0,6788","0,6830","0,6702","96,35M","-0,97%"
"23.08.2023","0,6802","0,6900","0,7000","0,6704","226,65M","-2,49%"
"22.08.2023","0,6976","0,6778","0,7000","0,6714","261,49M","3,84%"
"21.08.2023","0,6718","0,6698","0,6866","0,6636","214,91M","1,73%"
"18.08.2023","0,6604","0,6430","0,6642","0,6430","107,83M","0,09%"
"17.08.2023","0,6598","0,6448","0,6670","0,6412","262,86M","3,71%"
"16.08.2023","0,6362","0,6726","0,6744","0,6262","290,99M","-5,04%"
"15.08.2023","0,6700","0,6600","0,7094","0,6330","346,81M","0,30%"
"14.08.2023","0,6680","0,6946","0,7090","0,6654","280,10M","-3,75%"
"11.08.2023","0,6940","0,6890","0,6998","0,6842","171,29M","0,73%"
"10.08.2023","0,6890","0,7050","0,7206","0,6688","314,79M","-1,57%"
"09.08.2023","0,7000","0,6956","0,7140","0,6750","330,94M","-0,79%"
"08.08.2023","0,7056","0,6744","0,7390","0,6500","2,22B","5,53%"
"07.08.2023","0,6686","0,6400","0,6796","0,6340","621,69M","5,46%"
"04.08.2023","0,6340","0,6390","0,6848","0,6236","971,76M","0,00%"
"03.08.2023","0,6340","0,6214","0,6450","0,6172","208,96M","2,16%"
"02.08.2023","0,6206","0,6250","0,6272","0,6100","152,19M","-0,70%"
"01.08.2023","0,6250","0,6380","0,6430","0,6204","219,38M","-1,36%"
"31.07.2023","0,6336","0,6188","0,6490","0,6084","841,93M","4,73%"
"28.07.2023","0,6050","0,5860","0,6100","0,5830","385,35M","2,89%"
"27.07.2023","0,5880","0,5886","0,5954","0,5854","258,87M","0,51%"
"26.07.2023","0,5850","0,5900","0,5930","0,5786","143,60M","-0,54%"
"25.07.2023","0,5882","0,5898","0,5980","0,5824","352,90M","0,03%"
"24.07.2023","0,5880","0,5800","0,5932","0,5776","230,88M","1,55%"
"21.07.2023","0,5790","0,5774","0,5810","0,5750","64,51M","0,17%"
"20.07.2023","0,5780","0,5938","0,5940","0,5750","106,16M","-2,20%"
"19.07.2023","0,5910","0,5900","0,5958","0,5854","140,72M","0,34%"
"18.07.2023","0,5890","0,5906","0,5978","0,5842","154,04M","-0,17%"
"17.07.2023","0,5900","0,5752","0,5992","0,5752","217,05M","1,94%"
"14.07.2023","0,5788","0,5800","0,5818","0,5752","19,31M","0,24%"
"13.07.2023","0,5774","0,5828","0,5840","0,5732","34,53M","-0,79%"
"12.07.2023","0,5820","0,5802","0,5860","0,5790","40,85M","0,10%"
"11.07.2023","0,5814","0,5860","0,5898","0,5776","35,69M","-0,17%"
"10.07.2023","0,5824","0,5752","0,5876","0,5730","65,41M","1,46%"
"07.07.2023","0,5740","0,5712","0,5750","0,5670","22,51M","0,49%"
"06.07.2023","0,5712","0,5788","0,5840","0,5686","31,02M","-0,83%"
"05.07.2023","0,5760","0,5670","0,5890","0,5654","123,08M","1,95%"
"04.07.2023","0,5650","0,5690","0,5738","0,5610","49,86M","-0,49%"
"03.07.2023","0,5678","0,5682","0,5732","0,5620","35,95M","0,21%"
"30.06.2023","0,5666","0,5718","0,5730","0,5630","28,72M","-1,01%"
"29.06.2023","0,5724","0,5764","0,5798","0,5698","28,72M","-0,21%"
"28.06.2023","0,5736","0,5720","0,5834","0,5720","27,42M","-0,24%"
"27.06.2023","0,5750","0,5718","0,5758","0,5670","28,34M","0,63%"
"26.06.2023","0,5714","0,5782","0,5896","0,5600","83,36M","-1,18%"
"23.06.2023","0,5782","0,5850","0,5924","0,5694","62,61M","-2,66%"
"22.06.2023","0,5940","0,5980","0,6020","0,5882","83,07M","0,51%"
"21.06.2023","0,5910","0,5796","0,6000","0,5724","246,30M","2,75%"
"20.06.2023","0,5752","0,5758","0,5980","0,5692","279,97M","0,07%"
"19.06.2023","0,5748","0,5750","0,5790","0,5712","25,30M","0,00%"
"16.06.2023","0,5748","0,5728","0,5798","0,5688","46,27M","0,67%"
"15.06.2023","0,5710","0,5752","0,5752","0,5660","19,54M","-0,35%"
"14.06.2023","0,5730","0,5730","0,5760","0,5710","21,94M","0,00%"
"13.06.2023","0,5730","0,5650","0,5734","0,5650","26,40M","1,17%"
"09.06.2023","0,5664","0,5684","0,5700","0,5662","16,90M","-0,25%"
