"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","140,9","140,9","141,4","140,6","169,98K","0,00%"
"31.08.2023","140,9","140,4","141,1","140,0","332,19K","0,43%"
"30.08.2023","140,3","140,1","140,8","139,6","326,85K","0,14%"
"29.08.2023","140,1","139,6","140,4","139,4","318,23K","0,39%"
"28.08.2023","139,5","137,6","139,6","137,6","282,74K","1,45%"
"25.08.2023","137,5","137,7","137,7","136,6","219,78K","0,26%"
"24.08.2023","137,1","135,8","137,5","135,5","150,27K","1,33%"
"23.08.2023","135,4","138,5","138,9","135,0","318,21K","-2,27%"
"22.08.2023","138,5","136,8","138,5","136,4","407,15K","1,13%"
"21.08.2023","136,9","137,6","137,8","136,2","384,42K","0,26%"
"18.08.2023","136,6","134,6","136,6","133,4","375,87K","1,45%"
"17.08.2023","134,6","133,8","134,7","132,7","185,25K","1,32%"
"16.08.2023","132,9","135,9","137,2","126,0","1,25M","-2,17%"
"15.08.2023","135,9","135,6","138,3","133,1","882,12K","0,11%"
"14.08.2023","135,7","138,9","141,0","135,1","896,73K","-1,95%"
"11.08.2023","138,4","137,8","139,0","136,9","586,73K","0,22%"
"10.08.2023","138,1","136,5","138,1","136,1","375,62K","1,69%"
"09.08.2023","135,8","135,8","136,4","134,8","203,77K","0,22%"
"08.08.2023","135,5","134,8","135,5","132,2","477,65K","0,78%"
"07.08.2023","134,4","136,5","137,9","133,5","1,34M","-0,74%"
"04.08.2023","135,4","138,4","139,6","133,5","947,75K","-1,60%"
"03.08.2023","137,6","135,8","137,9","135,0","624,04K","1,36%"
"02.08.2023","135,8","134,9","136,4","134,1","464,02K","0,37%"
"01.08.2023","135,3","134,6","136,1","133,4","698,16K","0,56%"
"31.07.2023","134,6","132,0","134,6","131,6","431,66K","2,16%"
"28.07.2023","131,7","130,0","131,7","130,0","255,34K","0,73%"
"27.07.2023","130,8","130,4","131,2","130,4","310,46K","0,31%"
"26.07.2023","130,4","130,4","130,9","129,4","326,62K","-0,08%"
"25.07.2023","130,4","129,1","130,5","128,9","249,60K","1,05%"
"24.07.2023","129,1","128,1","129,3","128,0","287,46K","0,78%"
"21.07.2023","128,1","127,3","128,3","126,6","281,01K","1,10%"
"20.07.2023","126,7","128,9","129,4","126,6","313,93K","-1,93%"
