"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","930,00","969,60","969,60","921,00","119,83K","-2,75%"
"31.08.2023","956,30","925,40","984,00","872,80","591,58K","3,87%"
"30.08.2023","920,70","909,90","934,20","901,50","134,50K","1,34%"
"29.08.2023","908,50","907,00","947,00","883,50","256,86K","0,18%"
"28.08.2023","906,90","854,70","909,00","854,70","138,35K","6,49%"
"25.08.2023","851,60","858,40","860,00","850,00","29,57K","0,72%"
"24.08.2023","845,50","850,00","873,80","835,10","108,46K","-2,77%"
"23.08.2023","869,60","850,00","885,00","848,70","245,76K","2,55%"
"22.08.2023","848,00","845,50","852,40","814,00","121,25K","0,59%"
"21.08.2023","843,00","803,00","869,70","798,30","240,55K","4,81%"
"18.08.2023","804,30","810,00","820,00","793,50","35,28K","-0,67%"
"17.08.2023","809,70","795,60","818,50","768,40","76,04K","5,55%"
"16.08.2023","767,10","793,40","803,00","745,20","65,29K","-3,52%"
"15.08.2023","795,10","781,20","808,50","726,50","73,72K","0,98%"
"14.08.2023","787,40","825,00","830,00","783,10","108,67K","-3,43%"
"11.08.2023","815,40","803,00","835,00","793,80","293,64K","2,95%"
"10.08.2023","792,00","800,60","808,00","780,00","49,93K","-0,50%"
"09.08.2023","796,00","785,00","800,00","775,50","123,08K","1,71%"
"08.08.2023","782,60","789,60","789,60","751,00","65,36K","-0,27%"
"07.08.2023","784,70","790,00","808,50","781,50","74,43K","1,25%"
"04.08.2023","775,00","817,00","820,10","770,00","134,41K","-3,97%"
"03.08.2023","807,00","828,00","836,00","802,20","110,74K","-1,42%"
"02.08.2023","818,60","849,90","851,90","815,10","151,26K","-2,41%"
"01.08.2023","838,80","885,60","885,60","830,70","250,33K","-2,51%"
"31.07.2023","860,40","735,00","959,90","732,50","1,51M","17,78%"
"28.07.2023","730,50","750,00","771,90","718,30","113,31K","-2,60%"
"27.07.2023","750,00","700,00","822,40","676,60","734,29K","7,96%"
"26.07.2023","694,70","677,70","695,00","662,60","67,70K","2,80%"
"25.07.2023","675,80","685,00","686,60","670,40","36,34K","-0,79%"
"24.07.2023","681,20","659,00","697,30","655,40","92,23K","3,07%"
"21.07.2023","660,90","657,00","672,10","643,80","53,88K","1,52%"
"20.07.2023","651,00","676,80","687,50","641,00","56,85K","-3,13%"
"19.07.2023","672,00","678,70","678,70","671,00","22,40K","-0,65%"
"18.07.2023","676,40","677,30","680,40","671,00","28,54K","0,46%"
"17.07.2023","673,30","671,90","687,50","665,10","80,69K","0,21%"
"14.07.2023","671,90","683,50","683,60","662,70","60,67K","-1,52%"
"13.07.2023","682,30","667,00","700,00","667,00","188,15K","2,52%"
"12.07.2023","665,50","640,00","665,50","640,00","106,52K","4,82%"
"11.07.2023","634,90","633,40","640,00","633,00","23,12K","0,40%"
"10.07.2023","632,40","626,50","658,00","614,60","27,20K","1,49%"
"07.07.2023","623,10","631,00","638,00","616,50","22,62K","-1,17%"
"06.07.2023","630,50","635,00","636,30","630,00","16,84K","-0,08%"
"05.07.2023","631,00","636,00","644,20","624,00","28,06K","-0,79%"
"04.07.2023","636,00","643,00","653,00","630,00","52,57K","-2,74%"
"03.07.2023","653,90","650,00","674,90","627,80","148,19K","1,79%"
"30.06.2023","642,40","622,30","658,00","620,80","102,16K","4,00%"
"29.06.2023","617,70","640,50","642,90","608,90","29,53K","-2,14%"
"28.06.2023","631,20","628,20","650,00","625,60","33,33K","0,19%"
"27.06.2023","630,00","619,10","655,30","616,00","109,62K","1,78%"
"26.06.2023","619,00","622,90","630,00","586,70","55,63K","-0,63%"
"23.06.2023","622,90","634,00","646,50","614,00","40,31K","-2,58%"
"22.06.2023","639,40","625,50","652,00","617,40","70,67K","2,17%"
"21.06.2023","625,80","615,00","634,00","615,00","32,27K","1,89%"
"20.06.2023","614,20","623,20","626,90","610,00","29,06K","-1,44%"
"19.06.2023","623,20","628,80","640,50","612,10","35,79K","-0,83%"
"16.06.2023","628,40","641,40","642,00","621,00","39,99K","-2,03%"
"15.06.2023","641,40","657,80","657,80","631,00","45,98K","-0,70%"
"14.06.2023","645,90","638,40","661,00","632,90","140,45K","2,56%"
"13.06.2023","629,80","611,00","674,90","610,90","279,27K","3,13%"
"09.06.2023","610,70","622,70","623,50","593,40","45,28K","-1,90%"
"08.06.2023","622,50","624,50","639,00","605,00","88,88K","-2,58%"
"07.06.2023","639,00","602,50","667,00","602,50","385,15K","6,66%"
"06.06.2023","599,10","628,30","655,00","561,50","169,17K","-4,65%"
"05.06.2023","628,30","542,10","729,60","532,30","851,45K","18,55%"
"02.06.2023","530,00","510,00","572,00","510,00","195,87K","4,02%"
"01.06.2023","509,50","525,70","537,20","501,00","79,98K","-2,26%"
"31.05.2023","521,30","481,30","550,00","472,80","339,43K","9,93%"
"30.05.2023","474,20","455,00","484,00","437,60","68,34K","2,93%"
"29.05.2023","460,70","455,20","469,00","455,00","25,48K","1,21%"
"26.05.2023","455,20","454,00","458,00","447,00","12,59K","0,98%"
"25.05.2023","450,80","458,20","458,70","445,30","19,03K","-0,57%"
"24.05.2023","453,40","450,00","463,90","448,60","60,15K","1,39%"
"23.05.2023","447,20","450,00","450,00","430,10","49,59K","-0,69%"
"22.05.2023","450,30","445,00","458,50","442,40","84,67K","0,96%"
"19.05.2023","446,00","439,00","450,00","431,30","23,66K","1,69%"
"18.05.2023","438,60","439,80","444,00","430,40","21,86K","0,07%"
"17.05.2023","438,30","433,10","439,30","431,10","10,85K","1,22%"
"16.05.2023","433,00","444,00","444,00","430,50","11,40K","0,60%"
"15.05.2023","430,40","425,00","434,00","425,00","16,92K","1,27%"
"12.05.2023","425,00","435,10","440,00","417,10","36,13K","-2,88%"
"11.05.2023","437,60","409,50","446,70","406,10","94,51K","7,81%"
"10.05.2023","405,90","397,70","409,90","390,50","16,06K","3,60%"
"08.05.2023","391,80","398,00","399,90","390,90","5,25K","-1,56%"
"05.05.2023","398,00","389,80","402,20","388,40","15,05K","0,89%"
"04.05.2023","394,50","408,40","409,00","394,20","14,23K","-1,94%"
"03.05.2023","402,30","399,40","423,80","388,10","41,20K","1,59%"
"02.05.2023","396,00","431,40","432,00","380,00","73,76K","-8,67%"
"28.04.2023","433,60","439,00","440,40","428,00","16,50K","-1,23%"
"27.04.2023","439,00","446,00","451,00","432,20","16,37K","-1,46%"
"26.04.2023","445,50","445,80","453,90","440,30","36,67K","0,09%"
"25.04.2023","445,10","442,00","450,00","434,60","27,59K","1,53%"
"24.04.2023","438,40","440,00","444,00","432,50","22,42K","-0,27%"
"21.04.2023","439,60","431,80","444,00","430,30","36,11K","1,48%"
"20.04.2023","433,20","430,00","442,00","425,40","59,46K","1,45%"
"19.04.2023","427,00","437,80","437,80","425,00","29,48K","-2,09%"
"18.04.2023","436,10","437,20","444,90","433,20","21,84K","-0,21%"
"17.04.2023","437,00","435,70","438,80","434,50","14,47K","1,16%"
"14.04.2023","432,00","441,50","447,60","423,70","28,28K","-2,15%"
"13.04.2023","441,50","440,70","453,80","440,00","31,91K","0,18%"
"12.04.2023","440,70","446,00","453,80","425,00","37,55K","-0,32%"
