"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","878,5","875,0","878,5","872,0","0,44K","0,23%"
"31.08.2023","876,5","870,0","876,5","864,0","0,55K","1,04%"
"30.08.2023","867,5","880,0","880,0","857,5","0,43K","0,46%"
"29.08.2023","863,5","863,0","864,0","855,0","0,53K","0,52%"
"28.08.2023","859,0","850,0","865,5","850,0","0,15K","0,76%"
"25.08.2023","852,5","852,0","852,5","844,5","0,44K","0,47%"
"24.08.2023","848,5","844,5","849,5","836,0","0,24K","2,23%"
"23.08.2023","830,0","853,0","853,0","830,0","0,62K","-2,64%"
"22.08.2023","852,5","848,0","853,0","845,0","0,33K","0,65%"
"21.08.2023","847,0","843,5","860,5","840,0","1,15K","0,36%"
"18.08.2023","844,0","851,5","851,5","827,0","0,25K","1,63%"
"17.08.2023","830,5","811,5","832,0","798,5","20,50K","1,40%"
"16.08.2023","819,0","832,0","836,5","800,5","1,90K","-1,21%"
"15.08.2023","829,0","840,0","844,5","816,5","0,48K","0,48%"
"14.08.2023","825,0","867,5","867,5","822,5","2,42K","-2,08%"
"11.08.2023","842,5","869,5","869,5","838,0","1,35K","0,24%"
"10.08.2023","840,5","861,0","861,0","833,5","0,67K","0,12%"
"09.08.2023","839,5","834,0","844,0","834,0","0,13K","0,18%"
"08.08.2023","838,0","837,0","840,5","823,0","0,24K","0,12%"
"07.08.2023","837,0","857,0","857,0","835,5","1,14K","0,24%"
"04.08.2023","835,0","831,0","862,5","824,5","1,40K","-1,12%"
"03.08.2023","844,5","829,5","850,0","829,5","0,59K","1,69%"
"02.08.2023","830,5","833,0","838,0","825,5","0,60K","0,00%"
"01.08.2023","830,5","829,5","831,0","822,0","0,53K","0,85%"
"31.07.2023","823,5","808,0","823,5","808,0","0,47K","2,04%"
"28.07.2023","807,0","818,0","818,0","806,5","0,22K","-0,37%"
"27.07.2023","810,0","800,5","812,5","799,5","0,59K","0,37%"
"26.07.2023","807,0","811,0","811,5","800,5","1,47K","-0,43%"
"25.07.2023","810,5","800,0","811,0","800,0","0,15K","1,31%"
"24.07.2023","800,0","813,5","820,0","795,0","1,76K","0,50%"
