"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","122,10","122,42","122,88","122,04","7,55K","-0,03%"
"31.08.2023","122,14","121,94","122,38","121,68","1,37K","0,16%"
"30.08.2023","121,94","121,66","122,18","121,66","1,98K","0,25%"
"29.08.2023","121,64","122,10","122,34","120,50","6,09K","-0,49%"
"28.08.2023","122,24","122,62","122,70","121,76","4,24K","-0,37%"
"25.08.2023","122,70","123,22","123,22","122,30","17,21K","-0,44%"
"24.08.2023","123,24","123,88","123,88","123,10","1,57K","-0,29%"
"23.08.2023","123,60","124,92","124,92","123,52","2,76K","-0,03%"
"22.08.2023","123,64","123,70","123,76","123,54","2,09K","-0,02%"
"21.08.2023","123,66","123,76","124,08","123,46","2,49K","-0,03%"
"18.08.2023","123,70","123,88","124,26","123,70","4,43K","0,00%"
"17.08.2023","123,70","123,64","123,74","123,50","11,14K","0,16%"
"16.08.2023","123,50","123,54","123,54","122,80","5,67K","-0,13%"
"15.08.2023","123,66","124,92","124,92","123,50","5,51K","-0,69%"
"14.08.2023","124,52","124,90","124,90","124,30","11,08K","0,18%"
"11.08.2023","124,30","124,92","124,92","124,04","1,79K","0,11%"
"10.08.2023","124,16","124,42","124,42","123,88","13,50K","0,03%"
"09.08.2023","124,12","124,12","124,16","123,66","4,54K","-0,02%"
"08.08.2023","124,14","124,12","124,24","124,10","5,10K","-0,10%"
"07.08.2023","124,26","124,02","124,38","123,96","11,80K","0,21%"
"04.08.2023","124,00","124,00","124,12","123,86","2,28K","-0,06%"
"03.08.2023","124,08","123,70","124,14","123,68","2,30K","0,00%"
"02.08.2023","124,08","124,20","124,22","123,68","4,43K","0,03%"
"01.08.2023","124,04","124,90","124,90","123,96","4,58K","0,11%"
"31.07.2023","123,90","124,90","124,90","123,46","1,15K","0,21%"
"28.07.2023","123,64","123,62","123,66","123,42","3,69K","0,03%"
"27.07.2023","123,60","123,56","123,60","123,50","2,40K","0,08%"
"26.07.2023","123,50","123,34","123,50","123,34","2,25K","0,03%"
"25.07.2023","123,46","123,10","123,66","123,10","2,68K","-0,05%"
"24.07.2023","123,52","123,60","123,72","120,50","69,12K","0,11%"
"21.07.2023","123,38","123,14","123,54","122,94","1,34K","0,06%"
"20.07.2023","123,30","123,52","123,52","122,86","4,04K","0,00%"
"19.07.2023","123,30","122,94","123,30","122,76","1,90K","0,11%"
"18.07.2023","123,16","122,96","123,16","122,90","1,06K","0,26%"
"17.07.2023","122,84","124,42","124,42","122,82","2,81K","-0,16%"
"14.07.2023","123,04","123,02","123,12","122,54","4,90K","0,10%"
"13.07.2023","122,92","123,06","123,14","122,66","2,34K","-0,05%"
"12.07.2023","122,98","122,82","123,04","122,54","3,74K","0,08%"
"11.07.2023","122,88","122,96","123,04","122,80","17,17K","-0,11%"
"10.07.2023","123,02","124,50","124,50","122,86","3,41K","0,07%"
"07.07.2023","122,94","124,42","124,42","122,52","1,26K","0,20%"
"06.07.2023","122,70","122,72","122,78","122,32","2,24K","-0,02%"
"05.07.2023","122,72","122,80","123,10","122,46","2,63K","-0,02%"
"04.07.2023","122,74","122,74","122,86","122,34","0,73K","0,03%"
"03.07.2023","122,70","123,12","123,14","122,24","0,87K","-0,02%"
"30.06.2023","122,72","123,08","123,08","122,26","37,88K","0,00%"
"29.06.2023","122,72","122,68","122,74","122,18","7,59K","0,08%"
"28.06.2023","122,62","122,50","122,76","122,38","9,27K","0,00%"
"27.06.2023","122,62","122,62","122,76","122,58","0,96K","0,02%"
"26.06.2023","122,60","124,68","124,68","122,36","2,02K","-0,05%"
"23.06.2023","122,66","122,76","122,76","122,42","4,44K","0,10%"
"22.06.2023","122,54","122,56","122,56","122,36","8,08K","-0,05%"
"21.06.2023","122,60","122,34","122,72","122,34","4,94K","0,10%"
"20.06.2023","122,48","123,16","123,16","122,46","10,47K","-0,08%"
"19.06.2023","122,58","122,52","122,58","122,28","0,51K","0,23%"
"16.06.2023","122,30","122,42","122,56","122,08","1,63K","-0,10%"
"15.06.2023","122,42","123,78","123,78","121,90","10,67K","0,02%"
"14.06.2023","122,40","124,28","127,94","122,10","4,57K","0,21%"
"13.06.2023","122,14","124,72","124,72","121,74","12,23K","-0,03%"
"09.06.2023","122,18","122,00","122,18","121,98","4,99K","0,23%"
"08.06.2023","121,90","122,06","122,12","121,56","3,91K","0,02%"
"07.06.2023","121,88","122,10","122,18","121,88","8,16K","-0,02%"
"06.06.2023","121,90","121,56","122,22","121,10","2,56K","0,02%"
