"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","249,90","248,20","252,90","246,10","657,22K","1,09%"
"31.08.2023","247,20","249,50","253,00","246,20","417,06K","-0,92%"
"30.08.2023","249,50","246,90","252,00","245,50","1,26M","1,26%"
"29.08.2023","246,40","244,10","247,50","244,10","412,02K","-0,52%"
"28.08.2023","247,70","240,00","249,00","240,00","482,53K","1,02%"
"25.08.2023","245,20","248,90","249,00","243,00","526,72K","-0,37%"
"24.08.2023","246,10","246,20","248,80","242,20","368,14K","-0,08%"
"23.08.2023","246,30","250,90","253,70","240,60","1,23M","-0,97%"
"22.08.2023","248,70","244,10","257,90","241,00","5,68M","1,97%"
"21.08.2023","243,90","237,40","244,80","233,30","1,33M","2,95%"
"18.08.2023","236,90","234,10","239,70","231,30","925,70K","2,69%"
"17.08.2023","230,70","231,60","234,40","227,50","261,70K","-0,13%"
"16.08.2023","231,00","237,70","242,80","225,10","1,24M","-3,02%"
"15.08.2023","238,20","230,90","239,60","218,80","1,25M","2,45%"
"14.08.2023","232,50","240,80","242,80","230,20","820,25K","-2,64%"
"11.08.2023","238,80","238,00","241,60","236,00","728,27K","0,55%"
"10.08.2023","237,50","236,90","238,50","235,80","283,30K","0,55%"
"09.08.2023","236,20","235,30","239,80","234,50","624,66K","0,85%"
"08.08.2023","234,20","237,90","239,50","228,10","730,56K","-1,60%"
"07.08.2023","238,00","232,30","239,90","232,30","651,14K","2,63%"
"04.08.2023","231,90","242,80","244,70","215,00","1,79M","-4,37%"
"03.08.2023","242,50","242,00","245,50","241,10","690,65K","0,21%"
"02.08.2023","242,00","243,80","247,00","235,50","1,25M","-0,62%"
"01.08.2023","243,50","234,60","246,60","230,70","2,24M","4,73%"
"31.07.2023","232,50","230,00","234,40","228,50","1,01M","2,11%"
"28.07.2023","227,70","230,00","232,00","226,20","752,35K","-0,13%"
"27.07.2023","228,00","225,40","230,00","224,60","1,17M","1,69%"
"26.07.2023","224,20","225,90","227,00","222,00","988,14K","-0,31%"
"25.07.2023","224,90","223,30","226,70","221,00","752,25K","0,99%"
"24.07.2023","222,70","222,50","225,00","219,70","733,01K","1,41%"
"21.07.2023","219,60","215,00","224,90","213,70","1,76M","3,05%"
"20.07.2023","213,10","221,00","230,00","212,30","2,50M","-3,57%"
"19.07.2023","221,00","219,80","225,30","218,30","2,10M","0,96%"
"18.07.2023","218,90","211,30","219,00","211,10","1,81M","3,40%"
"17.07.2023","211,70","210,20","213,40","210,10","584,70K","0,38%"
"14.07.2023","210,90","212,90","213,10","209,60","246,51K","-0,24%"
"13.07.2023","211,40","214,60","214,90","208,10","423,17K","-0,56%"
"12.07.2023","212,60","207,50","214,90","206,30","1,69M","3,35%"
"11.07.2023","205,70","206,00","207,80","205,10","313,41K","0,29%"
"10.07.2023","205,10","204,00","207,00","203,20","432,22K","0,05%"
"07.07.2023","205,00","203,10","206,90","200,70","544,41K","0,94%"
"06.07.2023","203,10","203,60","209,10","202,60","577,94K","0,30%"
"05.07.2023","202,50","206,00","206,40","200,60","525,80K","-1,17%"
"04.07.2023","204,90","210,00","211,00","202,80","464,87K","-2,20%"
"03.07.2023","209,50","206,50","214,00","206,40","610,32K","1,26%"
