"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","782,50","784,00","791,00","776,50","15,38K","-0,13%"
"31.08.2023","783,50","795,00","798,00","778,50","33,38K","-0,19%"
"30.08.2023","785,00","787,50","796,50","780,00","26,49K","-0,13%"
"29.08.2023","786,00","794,00","802,00","785,00","45,06K","-0,88%"
"28.08.2023","793,00","790,00","805,50","787,50","83,93K","0,70%"
"25.08.2023","787,50","777,00","792,50","775,50","43,10K","1,42%"
"24.08.2023","776,50","779,00","783,00","773,00","18,96K","-0,38%"
"23.08.2023","779,50","786,50","793,50","771,00","21,71K","-0,89%"
"22.08.2023","786,50","796,00","796,00","783,50","26,19K","0,32%"
"21.08.2023","784,00","785,00","797,00","782,50","25,55K","0,38%"
"18.08.2023","781,00","780,00","794,00","769,00","32,94K","0,13%"
"17.08.2023","780,00","766,00","782,50","757,00","41,96K","2,30%"
"16.08.2023","762,50","788,50","791,00","747,50","47,11K","-3,24%"
"15.08.2023","788,00","788,00","798,00","769,00","36,21K","-0,38%"
"14.08.2023","791,00","800,00","811,50","785,00","50,29K","-1,31%"
"11.08.2023","801,50","797,00","805,00","792,50","24,21K","0,56%"
"10.08.2023","797,00","786,00","800,00","785,00","29,38K","1,53%"
"09.08.2023","785,00","793,00","818,00","783,00","67,24K","0,13%"
"08.08.2023","784,00","796,00","820,00","769,00","68,35K","-1,51%"
"07.08.2023","796,00","791,50","811,50","788,00","63,73K","0,95%"
"04.08.2023","788,50","813,50","838,00","777,00","170,24K","-3,01%"
"03.08.2023","813,00","814,50","823,00","803,50","35,63K","-0,18%"
"02.08.2023","814,50","814,00","820,00","801,50","66,27K","0,31%"
"01.08.2023","812,00","820,00","824,50","808,00","39,53K","-0,73%"
"31.07.2023","818,00","817,00","827,50","816,00","39,57K","-0,06%"
"28.07.2023","818,50","832,50","834,50","807,00","110,50K","-1,33%"
"27.07.2023","829,50","845,00","849,00","821,00","102,12K","1,22%"
"26.07.2023","819,50","824,00","834,50","810,00","47,09K","-0,55%"
"25.07.2023","824,00","820,50","836,00","803,00","121,85K","0,49%"
"24.07.2023","820,00","799,00","828,00","798,00","141,82K","3,21%"
"21.07.2023","794,50","779,50","797,50","761,00","81,14K","1,92%"
"20.07.2023","779,50","801,50","815,00","776,50","97,04K","-2,74%"
"19.07.2023","801,50","793,00","808,00","773,50","77,27K","1,71%"
"18.07.2023","788,00","801,50","802,00","786,00","70,06K","-0,76%"
"17.07.2023","794,00","783,00","801,50","761,50","142,52K","1,53%"
"14.07.2023","782,00","788,50","794,00","778,00","29,32K","-0,82%"
"13.07.2023","788,50","785,00","808,00","776,00","148,53K","0,57%"
"12.07.2023","784,00","762,00","786,00","753,00","133,72K","3,98%"
"11.07.2023","754,00","756,50","758,00","752,00","19,74K","0,27%"
"10.07.2023","752,00","743,50","755,50","743,50","20,21K","1,14%"
"07.07.2023","743,50","751,00","754,00","740,50","21,20K","-0,73%"
"06.07.2023","749,00","762,00","770,00","741,50","31,73K","-1,58%"
"05.07.2023","761,00","755,50","761,00","751,00","28,61K","0,73%"
"04.07.2023","755,50","768,00","768,00","750,00","18,76K","-0,40%"
"03.07.2023","758,50","754,00","768,00","751,00","27,66K","0,60%"
"30.06.2023","754,00","754,50","764,50","745,50","14,16K","-0,85%"
"29.06.2023","760,50","747,50","774,00","741,50","79,34K","2,77%"
"28.06.2023","740,00","745,00","747,50","739,50","12,00K","-0,67%"
"27.06.2023","745,00","743,00","749,00","718,00","31,95K","0,34%"
"26.06.2023","742,50","755,50","755,50","737,50","24,93K","-1,39%"
"23.06.2023","753,00","760,00","764,50","751,00","26,44K","-2,21%"
"22.06.2023","770,00","755,50","776,00","754,00","54,84K","1,92%"
"21.06.2023","755,50","759,00","765,00","737,00","38,27K","-0,40%"
"20.06.2023","758,50","777,00","777,00","755,00","23,36K","-1,49%"
"19.06.2023","770,00","763,00","780,00","760,50","41,65K","0,92%"
"16.06.2023","763,00","771,00","778,00","754,50","47,47K","-0,91%"
"15.06.2023","770,00","750,00","777,00","741,50","153,65K","4,19%"
"14.06.2023","739,00","742,50","751,00","731,00","35,86K","-0,47%"
"13.06.2023","742,50","730,00","748,00","726,00","66,69K","1,71%"
"09.06.2023","730,00","722,00","732,50","719,00","46,82K","1,11%"
"08.06.2023","722,00","727,00","731,00","719,00","12,58K","-0,69%"
"07.06.2023","727,00","714,50","727,00","714,50","27,43K","1,75%"
"06.06.2023","714,50","720,00","725,50","713,00","19,41K","-0,76%"
"05.06.2023","720,00","728,00","731,00","720,00","21,72K","-0,28%"
"02.06.2023","722,00","724,00","733,00","720,50","22,28K","-0,55%"
"01.06.2023","726,00","736,00","736,00","718,00","56,58K","-0,07%"
"31.05.2023","726,50","724,00","735,50","723,50","34,08K","-0,62%"
"30.05.2023","731,00","719,50","749,50","716,00","135,25K","2,09%"
"29.05.2023","716,00","713,50","718,00","710,00","26,73K","0,42%"
"26.05.2023","713,00","715,00","719,50","704,50","26,87K","-0,14%"
"25.05.2023","714,00","720,00","728,00","714,00","19,08K","-0,83%"
"24.05.2023","720,00","727,00","732,00","718,00","12,96K","-0,07%"
"23.05.2023","720,50","720,00","726,00","715,00","11,20K","-0,28%"
"22.05.2023","722,50","729,50","738,00","714,50","25,36K","-0,89%"
"19.05.2023","729,00","730,00","732,00","720,00","18,18K","-0,41%"
"18.05.2023","732,00","736,50","738,50","732,00","8,99K","-0,61%"
"17.05.2023","736,50","735,50","739,50","732,50","10,75K","0,14%"
"16.05.2023","735,50","737,00","748,50","728,50","27,77K","0,55%"
"15.05.2023","731,50","738,50","738,50","725,50","7,01K","0,21%"
"12.05.2023","730,00","737,50","739,50","723,50","6,43K","-0,88%"
"11.05.2023","736,50","719,50","751,50","719,50","37,34K","1,45%"
"10.05.2023","726,00","716,50","731,50","713,50","15,66K","1,33%"
"08.05.2023","716,50","725,50","725,50","713,00","5,31K","-0,83%"
"05.05.2023","722,50","722,00","736,00","721,00","18,04K","0,07%"
"04.05.2023","722,00","730,00","735,50","710,50","29,48K","-1,10%"
