"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","907,00","946,00","949,90","895,00","280,03K","-4,02%"
"31.08.2023","945,00","852,00","972,40","849,20","1,97M","11,44%"
"30.08.2023","848,00","843,50","862,90","831,00","190,49K","0,68%"
"29.08.2023","842,30","830,00","843,90","800,00","242,35K","2,84%"
"28.08.2023","819,00","783,70","819,00","783,30","183,75K","5,23%"
"25.08.2023","778,30","777,10","782,60","773,30","34,57K","0,17%"
"24.08.2023","777,00","781,00","784,00","765,30","41,75K","-0,51%"
"23.08.2023","781,00","774,80","788,00","761,10","116,29K","1,42%"
"22.08.2023","770,10","770,00","780,20","754,90","71,59K","0,40%"
"21.08.2023","767,00","747,00","770,00","745,70","84,58K","2,88%"
"18.08.2023","745,50","754,60","754,60","734,40","37,61K","-0,51%"
"17.08.2023","749,30","736,50","754,50","721,40","76,61K","1,81%"
"16.08.2023","736,00","750,00","762,80","674,90","129,59K","-1,21%"
"15.08.2023","745,00","745,50","764,60","718,80","77,63K","-0,25%"
"14.08.2023","746,90","783,80","783,80","735,40","106,49K","-2,77%"
"11.08.2023","768,20","770,00","786,80","761,80","95,01K","-0,43%"
"10.08.2023","771,50","753,20","795,00","740,00","432,61K","2,46%"
"09.08.2023","753,00","715,00","762,50","706,30","762,57K","6,66%"
"08.08.2023","706,00","695,00","749,90","681,90","252,49K","0,71%"
"07.08.2023","701,00","690,00","717,70","689,10","80,04K","0,86%"
"04.08.2023","695,00","722,00","725,00","630,00","110,48K","-3,50%"
"03.08.2023","720,20","724,50","727,40","714,50","55,75K","-0,55%"
"02.08.2023","724,20","724,00","743,70","715,20","176,52K","0,06%"
"01.08.2023","723,80","713,40","734,60","701,00","215,09K","2,52%"
"31.07.2023","706,00","687,30","725,00","686,50","566,41K","3,46%"
"28.07.2023","682,40","691,00","694,00","677,00","55,86K","-1,19%"
"27.07.2023","690,60","695,00","730,00","681,50","437,83K","-0,46%"
"26.07.2023","693,80","685,00","701,00","675,10","266,46K","1,73%"
"25.07.2023","682,00","678,70","682,40","671,50","34,84K","1,16%"
"24.07.2023","674,20","669,50","683,40","668,40","113,88K","1,23%"
"21.07.2023","666,00","653,10","666,60","652,20","44,19K","1,56%"
"20.07.2023","655,80","658,90","665,10","651,00","43,07K","-0,09%"
"19.07.2023","656,40","662,70","663,70","649,30","25,48K","-0,53%"
"18.07.2023","659,90","661,00","667,90","657,00","50,17K","0,29%"
"17.07.2023","658,00","647,00","667,70","638,80","150,43K","1,67%"
"14.07.2023","647,20","654,30","656,20","619,30","61,87K","-0,74%"
"13.07.2023","652,00","661,00","665,90","650,10","28,44K","-1,21%"
"12.07.2023","660,00","670,00","670,40","653,70","69,24K","-0,92%"
"11.07.2023","666,10","642,30","674,00","639,40","50,78K","3,71%"
"10.07.2023","642,30","641,00","644,90","640,10","20,25K","0,33%"
"07.07.2023","640,20","638,00","642,80","631,50","21,17K","0,22%"
"06.07.2023","638,80","640,70","653,10","638,00","33,59K","-0,30%"
"05.07.2023","640,70","641,70","647,40","638,00","17,29K","0,44%"
"04.07.2023","637,90","646,70","647,50","633,80","21,30K","-0,82%"
"03.07.2023","643,20","636,20","648,70","634,00","48,73K","1,50%"
"30.06.2023","633,70","638,20","643,70","630,80","50,00K","-0,91%"
"29.06.2023","639,50","651,90","654,60","638,10","40,43K","-1,90%"
"28.06.2023","651,90","663,40","663,40","648,70","21,44K","-1,21%"
"27.06.2023","659,90","660,60","670,00","652,10","34,11K","-0,11%"
"26.06.2023","660,60","650,00","680,50","638,00","217,24K","0,70%"
"23.06.2023","656,00","671,40","673,00","648,00","102,74K","-3,04%"
"22.06.2023","676,60","644,70","685,00","644,70","352,12K","4,75%"
