"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","170,42","172,00","172,90","167,57","14,56M","-1,06%"
"31.08.2023","172,25","170,00","173,13","168,20","17,14M","1,48%"
"30.08.2023","169,74","162,51","169,87","162,50","19,02M","4,49%"
"29.08.2023","162,45","161,20","162,65","160,10","10,67M","1,12%"
"28.08.2023","160,65","155,95","162,50","155,70","18,57M","3,51%"
"25.08.2023","155,20","154,00","155,97","152,23","7,86M","0,84%"
"24.08.2023","153,91","151,53","155,08","150,60","9,17M","2,04%"
"23.08.2023","150,83","157,10","158,02","150,57","20,91M","-3,60%"
"22.08.2023","156,46","152,96","156,85","151,53","13,12M","2,16%"
"21.08.2023","153,15","154,50","155,40","151,23","16,59M","-0,43%"
"18.08.2023","153,81","145,80","154,30","145,30","36,52M","5,44%"
"17.08.2023","145,87","139,97","146,74","138,08","20,42M","4,42%"
"16.08.2023","139,70","140,21","142,02","137,37","15,82M","-0,36%"
"15.08.2023","140,20","133,40","143,12","131,69","24,45M","4,60%"
"14.08.2023","134,04","136,00","137,50","132,50","9,48M","-1,05%"
"11.08.2023","135,46","136,05","136,68","134,20","5,19M","-0,40%"
"10.08.2023","136,00","132,00","136,85","131,42","11,27M","3,03%"
"09.08.2023","132,00","132,09","132,89","130,68","2,42M","-0,01%"
"08.08.2023","132,01","130,47","132,57","128,11","5,25M","1,18%"
"07.08.2023","130,47","132,00","132,99","127,00","9,32M","-0,82%"
"04.08.2023","131,55","134,50","135,65","125,37","15,74M","-2,03%"
"03.08.2023","134,28","134,50","135,08","133,30","7,33M","-0,39%"
"02.08.2023","134,80","135,80","136,00","134,10","5,16M","-0,55%"
"01.08.2023","135,55","134,48","135,84","133,00","7,11M","1,16%"
"31.07.2023","134,00","131,69","135,08","131,30","7,64M","2,17%"
"28.07.2023","131,16","131,20","132,29","130,10","5,51M","0,01%"
"27.07.2023","131,15","132,31","133,23","130,52","4,39M","-0,42%"
"26.07.2023","131,70","130,66","134,40","129,40","10,38M","1,14%"
"25.07.2023","130,22","125,95","130,88","125,80","10,05M","3,44%"
"24.07.2023","125,89","125,98","126,70","125,12","2,33M","-0,18%"
"21.07.2023","126,12","124,58","126,40","124,14","2,99M","1,14%"
"20.07.2023","124,70","127,00","127,15","124,50","4,11M","-1,85%"
"19.07.2023","127,05","128,49","128,83","125,75","4,36M","-1,04%"
"18.07.2023","128,39","126,60","128,60","126,52","4,17M","1,35%"
"17.07.2023","126,68","125,38","127,05","125,10","3,62M","0,78%"
"14.07.2023","125,70","125,18","126,35","124,36","2,37M","0,41%"
"13.07.2023","125,19","126,50","126,98","124,00","4,51M","-0,41%"
"12.07.2023","125,71","124,40","126,40","124,40","5,51M","1,17%"
"11.07.2023","124,26","124,50","124,50","123,52","2,53M","0,05%"
"10.07.2023","124,20","123,35","124,40","122,35","3,82M","1,19%"
"07.07.2023","122,74","123,49","123,49","122,20","2,17M","-0,35%"
"06.07.2023","123,17","122,38","124,30","122,31","3,30M","0,66%"
"05.07.2023","122,36","121,58","122,49","121,34","1,68M","1,07%"
"04.07.2023","121,07","122,56","122,56","120,50","3,17M","-0,92%"
"03.07.2023","122,19","123,33","124,15","121,80","3,74M","-0,71%"
"30.06.2023","123,06","124,42","124,54","122,15","2,98M","-1,07%"
"29.06.2023","124,39","123,85","124,79","123,52","2,81M","0,72%"
"28.06.2023","123,50","122,71","123,80","121,68","3,13M","0,67%"
"27.06.2023","122,68","120,46","122,95","120,08","3,44M","1,48%"
"26.06.2023","120,89","122,00","123,00","118,15","5,37M","0,14%"
"23.06.2023","120,72","122,66","123,05","119,10","5,84M","-1,93%"
"22.06.2023","123,10","124,55","124,89","122,75","2,97M","-1,09%"
"21.06.2023","124,46","123,89","124,98","123,17","4,87M","0,57%"
"20.06.2023","123,76","123,34","124,12","122,70","3,63M","0,19%"
"19.06.2023","123,53","124,00","124,30","121,65","5,69M","-0,43%"
"16.06.2023","124,06","124,10","124,50","123,63","3,94M","-0,16%"
"15.06.2023","124,26","124,28","124,87","123,32","17,23M","-3,15%"
"14.06.2023","128,30","126,57","128,65","126,53","10,29M","1,12%"
"13.06.2023","126,88","127,00","127,84","125,51","8,97M","0,54%"
"09.06.2023","126,20","122,55","126,93","122,55","12,74M","2,60%"
"08.06.2023","123,00","122,45","123,70","121,80","3,10M","0,45%"
"07.06.2023","122,45","121,51","123,99","120,56","6,64M","0,76%"
"06.06.2023","121,53","119,89","121,87","118,14","5,80M","1,29%"
"05.06.2023","119,98","121,79","123,49","119,00","11,64M","-0,74%"
"02.06.2023","120,88","115,85","121,70","115,66","15,38M","4,58%"
"01.06.2023","115,59","116,76","117,31","115,02","3,99M","-0,63%"
"31.05.2023","116,32","114,16","117,19","113,26","6,16M","1,67%"
"30.05.2023","114,41","114,99","115,70","113,72","5,96M","-1,04%"
"29.05.2023","115,61","114,99","115,91","114,30","4,86M","1,15%"
"26.05.2023","114,30","113,30","114,85","113,30","2,76M","0,68%"
"25.05.2023","113,53","113,71","114,75","112,70","2,57M","0,20%"
"24.05.2023","113,30","114,25","114,25","112,64","3,35M","-0,63%"
"23.05.2023","114,02","115,20","115,28","112,40","6,16M","-1,00%"
"22.05.2023","115,17","114,40","116,15","114,04","11,41M","1,19%"
"19.05.2023","113,82","112,30","113,82","111,30","5,08M","1,23%"
"18.05.2023","112,44","112,75","113,10","111,53","4,26M","-0,07%"
"17.05.2023","112,52","111,99","112,77","111,78","4,10M","0,47%"
"16.05.2023","111,99","110,96","112,35","110,60","5,39M","1,23%"
"15.05.2023","110,63","109,50","110,80","109,41","2,11M","1,34%"
"12.05.2023","109,17","109,84","110,50","108,50","2,96M","-0,35%"
"11.05.2023","109,55","110,12","111,50","108,32","5,43M","-1,01%"
"10.05.2023","110,67","107,82","110,97","107,76","4,20M","2,47%"
"08.05.2023","108,00","109,35","109,74","107,75","2,01M","-1,50%"
"05.05.2023","109,65","109,30","110,49","108,72","4,34M","0,39%"
"04.05.2023","109,22","107,00","109,38","106,82","3,81M","2,34%"
"03.05.2023","106,72","108,40","109,47","106,21","5,71M","-1,52%"
"02.05.2023","108,37","109,88","110,27","108,00","4,03M","-1,52%"
"28.04.2023","110,04","110,53","110,67","108,00","5,88M","-0,58%"
"27.04.2023","110,68","111,25","111,25","110,57","2,79M","-0,37%"
"26.04.2023","111,09","110,90","111,53","110,60","2,40M","0,32%"
"25.04.2023","110,74","110,99","111,05","110,57","2,62M","-0,06%"
"24.04.2023","110,81","111,11","111,80","110,74","3,68M","-0,14%"
"21.04.2023","110,97","111,20","111,36","110,56","2,67M","0,10%"
"20.04.2023","110,86","110,90","112,68","109,81","7,99M","-0,04%"
"19.04.2023","110,90","112,19","112,20","110,20","5,24M","-1,13%"
"18.04.2023","112,17","112,05","112,99","111,31","5,49M","0,12%"
"17.04.2023","112,04","112,09","112,94","111,81","3,99M","0,21%"
"14.04.2023","111,81","110,62","112,00","110,36","4,15M","1,05%"
"13.04.2023","110,65","110,83","110,90","110,05","3,40M","-0,14%"
"12.04.2023","110,80","111,28","111,50","110,20","4,72M","-0,28%"
"11.04.2023","111,11","112,28","112,34","111,02","7,46M","-0,92%"
"10.04.2023","112,14","112,50","112,50","111,81","5,03M","-0,12%"
"07.04.2023","112,27","111,90","112,92","111,17","4,85M","0,18%"
"06.04.2023","112,07","112,70","112,98","111,81","4,05M","-0,45%"
"05.04.2023","112,58","112,62","113,04","111,51","4,15M","-0,17%"
"04.04.2023","112,77","114,20","114,95","112,50","7,95M","-0,96%"
"03.04.2023","113,86","112,86","114,32","112,10","6,48M","1,16%"
"31.03.2023","112,55","112,45","113,45","111,23","8,53M","0,12%"
"30.03.2023","112,41","112,70","112,70","112,11","3,33M","-0,08%"
"29.03.2023","112,50","112,52","112,80","111,80","4,60M","0,03%"
"28.03.2023","112,47","113,14","113,16","112,02","3,21M","-0,37%"
"27.03.2023","112,89","113,05","113,22","112,42","5,21M","0,19%"
"24.03.2023","112,68","112,49","113,40","112,10","4,94M","0,37%"
"23.03.2023","112,26","113,00","113,40","112,21","3,63M","-0,69%"
"22.03.2023","113,04","112,34","113,63","112,21","2,87M","0,28%"
"21.03.2023","112,72","114,00","114,45","112,22","6,38M","-1,02%"
"20.03.2023","113,88","113,00","114,15","111,79","10,07M","0,88%"
"17.03.2023","112,89","112,89","113,89","112,01","14,82M","1,06%"
"16.03.2023","111,71","111,48","112,11","109,34","13,89M","0,30%"
"15.03.2023","111,38","114,31","114,31","111,01","11,11M","-2,09%"
"14.03.2023","113,76","113,80","114,70","112,54","10,83M","-0,12%"
"13.03.2023","113,90","117,00","117,39","112,35","32,45M","-2,65%"
"10.03.2023","117,00","123,29","123,89","116,26","43,66M","-5,06%"
"09.03.2023","123,24","123,25","124,62","121,70","8,20M","0,01%"
"07.03.2023","123,23","124,00","124,92","122,41","10,79M","-0,52%"
"06.03.2023","123,87","119,00","123,99","118,58","16,96M","5,02%"
"03.03.2023","117,95","115,50","117,99","115,50","4,79M","2,14%"
"02.03.2023","115,48","117,10","117,96","114,82","11,36M","-1,38%"
"01.03.2023","117,10","115,49","117,50","115,47","7,52M","1,53%"
"28.02.2023","115,33","115,50","116,34","114,30","7,39M","-0,07%"
"27.02.2023","115,41","109,85","116,00","109,51","12,83M","4,45%"
"24.02.2023","110,49","108,50","110,88","108,26","3,71M","1,74%"
"22.02.2023","108,60","109,25","109,25","107,66","2,71M","-0,61%"
"21.02.2023","109,27","106,67","110,54","106,67","7,03M","2,50%"
"20.02.2023","106,60","106,56","107,80","104,52","4,92M","-0,49%"
"17.02.2023","107,12","103,62","107,20","103,00","5,87M","2,78%"
"16.02.2023","104,22","103,15","105,36","102,84","3,19M","1,30%"
"15.02.2023","102,88","106,36","106,49","101,57","5,75M","-3,61%"
"14.02.2023","106,73","108,29","108,68","106,35","3,23M","-1,62%"
"13.02.2023","108,49","107,97","108,86","107,40","1,38M","0,27%"
"10.02.2023","108,20","107,47","108,24","107,22","1,51M","0,09%"
"09.02.2023","108,10","108,51","108,76","106,80","2,87M","-0,27%"
"08.02.2023","108,39","109,10","109,84","107,78","3,06M","-0,65%"
