"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,6044","0,6090","0,6128","0,5794","196,02M","0,73%"
"31.08.2023","0,6000","0,5898","0,6128","0,5812","615,91M","3,99%"
"30.08.2023","0,5770","0,5360","0,5838","0,5342","756,59M","7,65%"
"29.08.2023","0,5360","0,5440","0,5440","0,5344","93,95M","-1,11%"
"28.08.2023","0,5420","0,5322","0,5420","0,5290","320,84M","2,73%"
"25.08.2023","0,5276","0,5226","0,5314","0,5176","166,75M","1,46%"
"24.08.2023","0,5200","0,5168","0,5328","0,5100","279,89M","0,66%"
"23.08.2023","0,5166","0,5256","0,5256","0,5080","134,65M","-1,19%"
"22.08.2023","0,5228","0,5052","0,5352","0,5032","498,15M","3,69%"
"21.08.2023","0,5042","0,5088","0,5088","0,4994","79,70M","0,84%"
"18.08.2023","0,5000","0,4926","0,5050","0,4870","145,70M","1,75%"
"17.08.2023","0,4914","0,4854","0,4968","0,4824","122,31M","1,65%"
"16.08.2023","0,4834","0,5010","0,5066","0,4712","194,36M","-3,05%"
"15.08.2023","0,4986","0,4960","0,5046","0,4856","90,62M","0,24%"
"14.08.2023","0,4974","0,5074","0,5142","0,4952","163,59M","-1,39%"
"11.08.2023","0,5044","0,5100","0,5162","0,5022","80,88M","-1,10%"
"10.08.2023","0,5100","0,5100","0,5172","0,5026","211,91M","1,55%"
"09.08.2023","0,5022","0,4872","0,5080","0,4834","334,25M","3,16%"
"08.08.2023","0,4868","0,4960","0,4962","0,4760","248,90M","-1,66%"
"07.08.2023","0,4950","0,4944","0,5080","0,4900","146,97M","0,20%"
"04.08.2023","0,4940","0,5160","0,5178","0,4706","290,38M","-3,78%"
"03.08.2023","0,5134","0,5122","0,5174","0,5022","104,52M","0,51%"
"02.08.2023","0,5108","0,5200","0,5224","0,5010","187,29M","-1,31%"
"01.08.2023","0,5176","0,5226","0,5256","0,5098","244,13M","-0,50%"
"31.07.2023","0,5202","0,5072","0,5260","0,5022","726,44M","4,04%"
"28.07.2023","0,5000","0,4966","0,5162","0,4810","647,36M","1,54%"
"27.07.2023","0,4924","0,4930","0,5028","0,4800","326,66M","0,41%"
"26.07.2023","0,4904","0,5096","0,5168","0,4602","622,47M","-2,04%"
"25.07.2023","0,5006","0,4916","0,5094","0,4912","325,96M","1,75%"
"24.07.2023","0,4920","0,4858","0,4970","0,4800","493,02M","1,91%"
"21.07.2023","0,4828","0,4900","0,4980","0,4726","473,22M","0,17%"
"20.07.2023","0,4820","0,4570","0,4998","0,4480","1,60B","5,98%"
"19.07.2023","0,4548","0,4420","0,4632","0,4386","348,88M","2,90%"
"18.07.2023","0,4420","0,4356","0,4430","0,4348","156,29M","1,75%"
"17.07.2023","0,4344","0,4340","0,4368","0,4326","39,59M","0,09%"
"14.07.2023","0,4340","0,4362","0,4364","0,4318","62,69M","-0,32%"
"13.07.2023","0,4354","0,4338","0,4366","0,4326","56,92M","0,09%"
"12.07.2023","0,4350","0,4340","0,4396","0,4322","88,21M","0,14%"
"11.07.2023","0,4344","0,4242","0,4346","0,4242","98,20M","2,16%"
"10.07.2023","0,4252","0,4300","0,4332","0,4230","84,68M","-0,65%"
"07.07.2023","0,4280","0,4210","0,4288","0,4190","30,12M","1,76%"
"06.07.2023","0,4206","0,4240","0,4258","0,4188","48,85M","-0,66%"
"05.07.2023","0,4234","0,4224","0,4296","0,4224","59,49M","-1,12%"
"04.07.2023","0,4282","0,4166","0,4300","0,4148","359,34M","3,33%"
"03.07.2023","0,4144","0,4116","0,4174","0,4094","60,45M","1,02%"
"30.06.2023","0,4102","0,4130","0,4146","0,4090","30,64M","-0,53%"
"29.06.2023","0,4124","0,4106","0,4170","0,4086","66,37M","0,29%"
"28.06.2023","0,4112","0,4080","0,4148","0,4062","102,04M","1,23%"
"27.06.2023","0,4062","0,3970","0,4096","0,3942","132,35M","3,41%"
"26.06.2023","0,3928","0,4010","0,4010","0,3862","98,71M","-2,00%"
"23.06.2023","0,4008","0,4022","0,4024","0,3966","74,38M","-0,89%"
"22.06.2023","0,4044","0,4002","0,4050","0,3956","209,09M","-1,61%"
"21.06.2023","0,4110","0,4092","0,4156","0,4030","180,12M","0,49%"
"20.06.2023","0,4090","0,4168","0,4194","0,4072","113,06M","-1,78%"
"19.06.2023","0,4164","0,4140","0,4388","0,4062","407,57M","1,91%"
"16.06.2023","0,4086","0,4038","0,4114","0,4024","125,01M","1,44%"
"15.06.2023","0,4028","0,4006","0,4038","0,3992","67,02M","0,80%"
"14.06.2023","0,3996","0,4018","0,4060","0,3978","64,77M","-0,15%"
"13.06.2023","0,4002","0,3994","0,4024","0,3952","83,39M","0,70%"
"09.06.2023","0,3974","0,3908","0,4042","0,3908","127,16M","1,22%"
"08.06.2023","0,3926","0,3970","0,3982","0,3902","40,71M","-0,71%"
"07.06.2023","0,3954","0,3990","0,4008","0,3924","72,62M","0,46%"
"06.06.2023","0,3936","0,3942","0,3994","0,3802","145,37M","0,66%"
"05.06.2023","0,3910","0,4046","0,4078","0,3852","138,92M","-2,01%"
"02.06.2023","0,3990","0,3866","0,4022","0,3814","225,24M","4,40%"
"01.06.2023","0,3822","0,3748","0,3864","0,3748","117,08M","1,65%"
"31.05.2023","0,3760","0,3748","0,3778","0,3700","65,15M","1,08%"
"30.05.2023","0,3720","0,3860","0,3882","0,3708","221,23M","-3,68%"
"29.05.2023","0,3862","0,3860","0,3926","0,3770","100,06M","0,05%"
"26.05.2023","0,3860","0,3882","0,3936","0,3808","178,38M","-0,31%"
"25.05.2023","0,3872","0,3752","0,4048","0,3752","1,21B","2,43%"
"24.05.2023","0,3780","0,3586","0,3954","0,3586","1,02B","5,41%"
"23.05.2023","0,3586","0,3590","0,3628","0,3520","73,08M","-0,11%"
"22.05.2023","0,3590","0,3604","0,3626","0,3578","30,17M","-0,17%"
"19.05.2023","0,3596","0,3628","0,3630","0,3590","45,76M","-0,33%"
"18.05.2023","0,3608","0,3654","0,3676","0,3582","64,41M","0,06%"
"17.05.2023","0,3606","0,3590","0,3680","0,3564","180,28M","0,73%"
"16.05.2023","0,3580","0,3532","0,3584","0,3484","96,03M","1,65%"
"15.05.2023","0,3522","0,3428","0,3590","0,3424","167,31M","2,74%"
"12.05.2023","0,3428","0,3520","0,3520","0,3370","97,97M","-2,34%"
"11.05.2023","0,3510","0,3424","0,3590","0,3424","221,97M","2,75%"
"10.05.2023","0,3416","0,3382","0,3436","0,3322","184,81M","2,03%"
"08.05.2023","0,3348","0,3370","0,3420","0,3306","106,08M","-0,06%"
"05.05.2023","0,3350","0,3436","0,3484","0,3332","180,97M","-2,05%"
"04.05.2023","0,3420","0,3572","0,3670","0,3362","441,88M","-3,39%"
"03.05.2023","0,3540","0,3568","0,3690","0,3424","474,42M","0,74%"
"02.05.2023","0,3514","0,3620","0,3718","0,3456","396,55M","-1,57%"
"28.04.2023","0,3570","0,3598","0,3728","0,3558","187,60M","-0,78%"
"27.04.2023","0,3598","0,3730","0,3730","0,3590","294,02M","-2,76%"
"26.04.2023","0,3700","0,3680","0,3740","0,3630","432,77M","1,48%"
"25.04.2023","0,3646","0,3550","0,3720","0,3478","839,10M","3,52%"
"24.04.2023","0,3522","0,3430","0,3554","0,3406","390,53M","4,02%"
"21.04.2023","0,3386","0,3368","0,3448","0,3348","263,06M","0,53%"
"20.04.2023","0,3368","0,3394","0,3418","0,3350","176,98M","-0,77%"
"19.04.2023","0,3394","0,3372","0,3588","0,3308","1,02B","1,80%"
"18.04.2023","0,3334","0,3420","0,3420","0,3302","244,48M","-1,30%"
"17.04.2023","0,3378","0,3420","0,3448","0,3364","207,47M","-0,12%"
"14.04.2023","0,3382","0,3372","0,3590","0,3372","1,11B","0,83%"
"13.04.2023","0,3354","0,3490","0,3496","0,3346","252,96M","-3,06%"
"12.04.2023","0,3460","0,3320","0,3782","0,3318","2,33B","4,34%"
"11.04.2023","0,3316","0,3500","0,3684","0,3284","1,08B","-5,96%"
"10.04.2023","0,3526","0,3096","0,3960","0,3078","4,40B","15,00%"
"07.04.2023","0,3066","0,2966","0,3250","0,2958","738,35M","3,51%"
"06.04.2023","0,2962","0,2992","0,2992","0,2944","58,43M","-0,07%"
"05.04.2023","0,2964","0,2926","0,3016","0,2926","110,96M","0,88%"
"04.04.2023","0,2938","0,2936","0,3020","0,2914","113,88M","0,82%"
"03.04.2023","0,2914","0,2882","0,2934","0,2882","56,09M","1,18%"
"31.03.2023","0,2880","0,2890","0,2906","0,2828","54,75M","-0,69%"
"30.03.2023","0,2900","0,2876","0,2926","0,2860","56,78M","0,83%"
"29.03.2023","0,2876","0,2878","0,2888","0,2808","36,61M","0,14%"
"28.03.2023","0,2872","0,2880","0,2902","0,2758","126,69M","-0,07%"
"27.03.2023","0,2874","0,2850","0,2878","0,2846","37,51M","0,98%"
"24.03.2023","0,2846","0,2840","0,2860","0,2802","54,58M","0,57%"
"23.03.2023","0,2830","0,2842","0,2850","0,2810","40,36M","0,14%"
"22.03.2023","0,2826","0,2772","0,2848","0,2738","103,53M","2,54%"
