"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","33,96","33,90","34,90","31,52","902,40K","-0,06%"
"31.08.2023","33,98","27,98","37,52","27,82","5,05M","23,03%"
"30.08.2023","27,62","27,00","29,68","25,88","1,35M","5,90%"
"29.08.2023","26,08","26,68","27,22","25,88","194,86K","-1,88%"
"28.08.2023","26,58","25,50","27,46","25,50","446,49K","1,84%"
"25.08.2023","26,10","25,80","26,80","25,66","252,85K","1,79%"
"24.08.2023","25,64","26,12","26,12","24,20","463,51K","-1,99%"
"23.08.2023","26,16","25,64","28,30","24,88","1,16M","2,19%"
"22.08.2023","25,60","24,00","27,50","23,78","1,35M","6,76%"
"21.08.2023","23,98","22,80","24,34","22,50","271,74K","6,67%"
"18.08.2023","22,48","21,62","22,88","21,62","281,25K","-1,32%"
"17.08.2023","22,78","22,68","23,14","21,94","202,67K","2,61%"
"16.08.2023","22,20","24,56","24,98","21,60","705,76K","-8,72%"
"15.08.2023","24,32","24,66","25,30","23,12","403,00K","-0,65%"
"14.08.2023","24,48","25,34","26,68","24,48","760,46K","-1,69%"
"11.08.2023","24,90","25,66","25,66","24,50","258,95K","-1,66%"
"10.08.2023","25,32","28,00","28,00","24,02","907,65K","-5,52%"
"09.08.2023","26,80","23,90","27,02","23,50","1,79M","12,13%"
"08.08.2023","23,90","24,02","24,60","22,62","595,51K","-1,40%"
"07.08.2023","24,24","23,86","24,36","23,24","381,48K","2,71%"
"04.08.2023","23,60","24,60","24,64","23,52","462,20K","-3,12%"
"03.08.2023","24,36","24,66","24,76","23,86","434,85K","0,00%"
"02.08.2023","24,36","24,40","24,80","23,52","544,24K","0,08%"
"01.08.2023","24,34","25,18","25,24","24,02","542,27K","-0,16%"
"31.07.2023","24,38","23,86","27,88","23,60","2,52M","5,18%"
"28.07.2023","23,18","22,16","25,34","21,72","1,82M","4,51%"
"27.07.2023","22,18","22,30","23,00","22,00","175,67K","-0,45%"
"26.07.2023","22,28","22,76","23,70","22,00","294,35K","-0,71%"
"25.07.2023","22,44","22,20","23,38","21,80","523,45K","1,54%"
"24.07.2023","22,10","22,00","22,40","21,00","859,12K","-0,90%"
