"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,3779","0,3896","0,3939","0,3710","499,52M","-2,00%"
"31.08.2023","0,3856","0,3777","0,3935","0,3729","1,58B","3,71%"
"30.08.2023","0,3718","0,3620","0,3770","0,3557","1,50B","4,56%"
"29.08.2023","0,3556","0,3589","0,3600","0,3520","209,64M","-0,64%"
"28.08.2023","0,3579","0,3593","0,3638","0,3520","643,73M","2,20%"
"25.08.2023","0,3502","0,3530","0,3630","0,3491","321,25M","-0,23%"
"24.08.2023","0,3510","0,3500","0,3596","0,3450","355,36M","0,57%"
"23.08.2023","0,3490","0,3548","0,3549","0,3431","269,12M","-1,63%"
"22.08.2023","0,3548","0,3349","0,3590","0,3340","1,27B","6,23%"
"21.08.2023","0,3340","0,3300","0,3348","0,3292","193,67M","1,95%"
"18.08.2023","0,3276","0,3277","0,3330","0,3242","172,60M","1,17%"
"17.08.2023","0,3238","0,3295","0,3296","0,3227","148,71M","0,62%"
"16.08.2023","0,3218","0,3360","0,3379","0,3160","488,12M","-4,14%"
"15.08.2023","0,3357","0,3370","0,3436","0,3130","289,70M","-0,77%"
"14.08.2023","0,3383","0,3494","0,3507","0,3370","404,72M","-2,87%"
"11.08.2023","0,3483","0,3510","0,3520","0,3458","136,21M","-0,77%"
"10.08.2023","0,3510","0,3533","0,3617","0,3490","441,79M","0,57%"
"09.08.2023","0,3490","0,3410","0,3558","0,3410","412,12M","2,35%"
"08.08.2023","0,3410","0,3400","0,3459","0,3309","262,42M","-1,45%"
"07.08.2023","0,3460","0,3451","0,3507","0,3450","248,83M","1,41%"
"04.08.2023","0,3412","0,3575","0,3648","0,3101","626,04M","-4,29%"
"03.08.2023","0,3565","0,3560","0,3572","0,3501","311,06M","-0,06%"
"02.08.2023","0,3567","0,3650","0,3653","0,3554","404,73M","-1,90%"
"01.08.2023","0,3636","0,3669","0,3730","0,3632","481,44M","0,00%"
"31.07.2023","0,3636","0,3730","0,3945","0,3540","2,04B","0,17%"
"28.07.2023","0,3630","0,3507","0,3779","0,3451","1,93B","4,16%"
"27.07.2023","0,3485","0,3404","0,3540","0,3394","616,32M","2,62%"
"26.07.2023","0,3396","0,3442","0,3487","0,3336","504,45M","-0,99%"
"25.07.2023","0,3430","0,3330","0,3486","0,3320","746,79M","3,31%"
"24.07.2023","0,3320","0,3390","0,3438","0,3262","807,43M","3,56%"
"21.07.2023","0,3206","0,3236","0,3249","0,3100","431,02M","-1,35%"
"20.07.2023","0,3250","0,3257","0,3364","0,3166","778,82M","0,28%"
"19.07.2023","0,3241","0,3100","0,3377","0,3010","1,64B","5,71%"
"18.07.2023","0,3066","0,3029","0,3078","0,2980","270,47M","1,15%"
"17.07.2023","0,3031","0,3001","0,3066","0,3000","151,46M","-0,30%"
"14.07.2023","0,3040","0,3010","0,3090","0,2949","430,42M","1,00%"
"13.07.2023","0,3010","0,3011","0,3053","0,2975","371,96M","0,00%"
"12.07.2023","0,3010","0,2874","0,3044","0,2871","860,52M","4,73%"
"11.07.2023","0,2874","0,2781","0,2930","0,2781","535,80M","3,46%"
"10.07.2023","0,2778","0,2837","0,2839","0,2705","186,97M","-1,28%"
"07.07.2023","0,2814","0,2791","0,2880","0,2721","251,26M","1,37%"
"06.07.2023","0,2776","0,2870","0,2870","0,2747","184,86M","-2,32%"
"05.07.2023","0,2842","0,2882","0,2965","0,2768","562,96M","-0,66%"
"04.07.2023","0,2861","0,2664","0,3100","0,2664","2,54B","6,75%"
"03.07.2023","0,2680","0,2535","0,2700","0,2526","410,26M","5,97%"
"30.06.2023","0,2529","0,2546","0,2553","0,2502","83,17M","-0,67%"
"29.06.2023","0,2546","0,2525","0,2587","0,2525","126,92M","0,83%"
"28.06.2023","0,2525","0,2431","0,2597","0,2431","366,64M","4,17%"
"27.06.2023","0,2424","0,2401","0,2500","0,2384","221,44M","2,28%"
"26.06.2023","0,2370","0,2410","0,2415","0,2332","133,46M","-1,70%"
"23.06.2023","0,2411","0,2456","0,2458","0,2399","48,63M","-1,51%"
"22.06.2023","0,2448","0,2390","0,2470","0,2368","132,34M","2,04%"
"21.06.2023","0,2399","0,2410","0,2420","0,2384","161,03M","-0,46%"
"20.06.2023","0,2410","0,2432","0,2432","0,2401","111,63M","-0,25%"
"19.06.2023","0,2416","0,2438","0,2460","0,2400","191,20M","-0,90%"
"16.06.2023","0,2438","0,2415","0,2448","0,2412","131,85M","1,25%"
"15.06.2023","0,2408","0,2385","0,2420","0,2385","122,04M","1,13%"
"14.06.2023","0,2381","0,2408","0,2408","0,2376","131,20M","0,76%"
"13.06.2023","0,2363","0,2362","0,2420","0,2350","203,35M","0,13%"
"09.06.2023","0,2360","0,2325","0,2450","0,2325","447,11M","0,68%"
"08.06.2023","0,2344","0,2355","0,2371","0,2310","86,10M","-0,38%"
"07.06.2023","0,2353","0,2287","0,2372","0,2287","121,76M","2,04%"
"06.06.2023","0,2306","0,2305","0,2353","0,2232","172,78M","-0,82%"
"05.06.2023","0,2325","0,2351","0,2400","0,2301","307,76M","-0,94%"
"02.06.2023","0,2347","0,2285","0,2350","0,2285","259,44M","3,16%"
"01.06.2023","0,2275","0,2260","0,2290","0,2233","179,32M","2,48%"
"31.05.2023","0,2220","0,2230","0,2242","0,2188","127,77M","0,36%"
"30.05.2023","0,2212","0,2240","0,2257","0,2200","166,91M","-0,81%"
"29.05.2023","0,2230","0,2224","0,2250","0,2201","211,49M","0,81%"
"26.05.2023","0,2212","0,2204","0,2248","0,2186","264,90M","1,24%"
"25.05.2023","0,2185","0,2150","0,2222","0,2145","444,04M","1,53%"
"24.05.2023","0,2152","0,2120","0,2199","0,2120","289,05M","1,18%"
"23.05.2023","0,2127","0,2114","0,2148","0,2114","70,87M","-0,23%"
"22.05.2023","0,2132","0,2151","0,2157","0,2113","128,01M","-0,42%"
"19.05.2023","0,2141","0,2152","0,2153","0,2111","117,40M","-0,51%"
"18.05.2023","0,2152","0,2175","0,2180","0,2151","107,96M","-0,55%"
"17.05.2023","0,2164","0,2186","0,2186","0,2148","117,44M","-0,05%"
"16.05.2023","0,2165","0,2154","0,2189","0,2117","181,64M","0,56%"
"15.05.2023","0,2153","0,2116","0,2182","0,2090","397,41M","2,18%"
"12.05.2023","0,2107","0,2161","0,2161","0,2080","232,46M","-1,68%"
"11.05.2023","0,2143","0,2157","0,2199","0,2106","215,00M","-0,42%"
"10.05.2023","0,2152","0,2115","0,2187","0,2093","191,57M","1,51%"
"08.05.2023","0,2120","0,2129","0,2152","0,2077","195,41M","-0,42%"
"05.05.2023","0,2129","0,2190","0,2206","0,2120","472,47M","-2,79%"
"04.05.2023","0,2190","0,2390","0,2390","0,2171","1,08B","-6,01%"
"03.05.2023","0,2330","0,2280","0,2440","0,2177","1,67B","2,87%"
"02.05.2023","0,2265","0,2337","0,2383","0,2232","437,97M","-2,58%"
"28.04.2023","0,2325","0,2358","0,2376","0,2303","219,80M","-1,40%"
"27.04.2023","0,2358","0,2385","0,2425","0,2302","468,73M","-1,09%"
"26.04.2023","0,2384","0,2322","0,2446","0,2296","862,77M","2,98%"
"25.04.2023","0,2315","0,2231","0,2348","0,2231","808,43M","3,77%"
"24.04.2023","0,2231","0,2228","0,2247","0,2170","214,58M","0,86%"
"21.04.2023","0,2212","0,2214","0,2237","0,2194","136,18M","-0,41%"
"20.04.2023","0,2221","0,2234","0,2250","0,2204","102,04M","-0,40%"
"19.04.2023","0,2230","0,2223","0,2280","0,2205","390,76M","0,63%"
"18.04.2023","0,2216","0,2240","0,2241","0,2200","139,81M","-0,54%"
"17.04.2023","0,2228","0,2226","0,2253","0,2214","119,94M","0,09%"
"14.04.2023","0,2226","0,2222","0,2276","0,2212","222,29M","0,50%"
"13.04.2023","0,2215","0,2260","0,2274","0,2200","257,69M","-1,64%"
"12.04.2023","0,2252","0,2247","0,2336","0,2226","653,33M","0,85%"
"11.04.2023","0,2233","0,2286","0,2396","0,2196","1,41B","-0,49%"
"10.04.2023","0,2244","0,2172","0,2360","0,2162","2,31B","4,08%"
"07.04.2023","0,2156","0,2170","0,2410","0,2150","3,71B","1,17%"
"06.04.2023","0,2131","0,2114","0,2150","0,2109","157,03M","0,71%"
"05.04.2023","0,2116","0,2119","0,2139","0,2099","91,07M","0,14%"
"04.04.2023","0,2113","0,2095","0,2178","0,2090","339,26M","1,20%"
"03.04.2023","0,2088","0,2086","0,2097","0,2073","113,05M","0,77%"
"31.03.2023","0,2072","0,2093","0,2104","0,2052","120,93M","-0,72%"
"30.03.2023","0,2087","0,2088","0,2094","0,2078","83,29M","0,14%"
"29.03.2023","0,2084","0,2094","0,2094","0,2076","83,77M","-0,24%"
"28.03.2023","0,2089","0,2097","0,2109","0,2080","99,62M","-0,24%"
"27.03.2023","0,2094","0,2089","0,2094","0,2083","76,24M","0,72%"
"24.03.2023","0,2079","0,2091","0,2095","0,2073","131,43M","-0,19%"
"23.03.2023","0,2083","0,2072","0,2092","0,2057","146,88M","0,48%"
"22.03.2023","0,2073","0,2047","0,2092","0,2044","283,20M","1,27%"
"21.03.2023","0,2047","0,2051","0,2073","0,2045","83,13M","-0,20%"
"20.03.2023","0,2051","0,2053","0,2063","0,2020","116,08M","0,39%"
"17.03.2023","0,2043","0,2058","0,2075","0,2039","137,15M","-0,24%"
"16.03.2023","0,2048","0,2052","0,2090","0,2026","156,06M","0,20%"
"15.03.2023","0,2044","0,2049","0,2061","0,2041","49,00M","-0,29%"
"14.03.2023","0,2050","0,2054","0,2066","0,2040","70,67M","-0,15%"
"13.03.2023","0,2053","0,2060","0,2081","0,2046","110,97M","-0,44%"
"10.03.2023","0,2062","0,2090","0,2090","0,2052","95,84M","-1,20%"
"09.03.2023","0,2087","0,2075","0,2095","0,2070","106,20M","0,24%"
