"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,9450","0,9110","1,0700","0,9110","406,08M","5,82%"
"31.08.2023","0,8930","0,8495","1,0585","0,8345","690,39M","7,53%"
"30.08.2023","0,8305","0,7650","0,8900","0,7565","329,61M","8,56%"
"29.08.2023","0,7650","0,7700","0,7820","0,7565","46,09M","-0,20%"
"28.08.2023","0,7665","0,7860","0,8120","0,7400","132,38M","-2,29%"
"25.08.2023","0,7845","0,7050","0,8430","0,6915","693,70M","15,79%"
"24.08.2023","0,6775","0,6795","0,6815","0,6600","19,28M","-0,59%"
"23.08.2023","0,6815","0,6990","0,6990","0,6710","12,27M","-1,23%"
"22.08.2023","0,6900","0,6895","0,6995","0,6780","30,87M","0,44%"
"21.08.2023","0,6870","0,6870","0,6890","0,6625","42,14M","4,89%"
"18.08.2023","0,6550","0,6800","0,6980","0,6550","28,86M","-3,68%"
"17.08.2023","0,6800","0,6975","0,6975","0,6595","39,18M","1,57%"
"16.08.2023","0,6695","0,7255","0,7850","0,6120","365,72M","-2,26%"
"15.08.2023","0,6850","0,6145","0,6880","0,5800","29,39M","0,37%"
"14.08.2023","0,6825","0,6980","0,7135","0,6800","45,15M","-2,22%"
"11.08.2023","0,6980","0,7100","0,7350","0,6530","33,31M","-0,43%"
"10.08.2023","0,7010","0,7285","0,7445","0,6915","44,46M","-3,18%"
"09.08.2023","0,7240","0,6905","0,7520","0,6795","180,52M","6,55%"
"08.08.2023","0,6795","0,7025","0,7025","0,6650","21,55M","-2,37%"
"07.08.2023","0,6960","0,7150","0,7150","0,6655","36,48M","0,80%"
"04.08.2023","0,6905","0,7060","0,7170","0,6470","46,27M","-1,99%"
"03.08.2023","0,7045","0,7090","0,7135","0,6830","39,74M","-0,63%"
"02.08.2023","0,7090","0,7250","0,7300","0,7000","66,39M","-2,21%"
"01.08.2023","0,7250","0,7500","0,7950","0,7085","340,30M","-0,34%"
"31.07.2023","0,7275","0,6320","0,7750","0,6150","700,58M","22,58%"
"28.07.2023","0,5935","0,5245","0,6670","0,4845","872,18M","24,42%"
"27.07.2023","0,4770","0,4840","0,4870","0,4750","22,38M","-1,24%"
"26.07.2023","0,4830","0,4930","0,4930","0,4645","69,00M","0,31%"
"25.07.2023","0,4815","0,4780","0,5030","0,4700","55,67M","-0,62%"
"24.07.2023","0,4845","0,4490","0,5170","0,4320","414,33M","13,07%"
"21.07.2023","0,4285","0,4250","0,4355","0,4210","16,00M","0,82%"
"20.07.2023","0,4250","0,4300","0,4380","0,4130","56,46M","-0,35%"
"19.07.2023","0,4265","0,4210","0,4300","0,4150","39,23M","2,28%"
"18.07.2023","0,4170","0,4145","0,4210","0,4130","20,38M","0,60%"
"17.07.2023","0,4145","0,3745","0,4195","0,3745","22,38M","0,48%"
"14.07.2023","0,4125","0,4185","0,4200","0,4110","31,22M","-0,72%"
"13.07.2023","0,4155","0,4100","0,4185","0,4055","27,77M","2,21%"
"12.07.2023","0,4065","0,4040","0,4090","0,4010","6,53M","0,87%"
"11.07.2023","0,4030","0,3995","0,4100","0,3995","9,85M","1,77%"
"10.07.2023","0,3960","0,4040","0,4075","0,3925","11,33M","-1,74%"
"07.07.2023","0,4030","0,3990","0,4050","0,3955","7,65M","0,88%"
"06.07.2023","0,3995","0,4095","0,4100","0,3995","7,27M","-1,48%"
"05.07.2023","0,4055","0,3985","0,4095","0,3985","19,15M","1,12%"
"04.07.2023","0,4010","0,3960","0,4010","0,3915","8,20M","1,26%"
"03.07.2023","0,3960","0,3950","0,4015","0,3880","15,75M","2,86%"
"30.06.2023","0,3850","0,3975","0,4020","0,3805","18,42M","-2,53%"
"29.06.2023","0,3950","0,3965","0,3965","0,3920","3,76M","0,00%"
"28.06.2023","0,3950","0,3980","0,3990","0,3915","5,47M","0,51%"
"27.06.2023","0,3930","0,3905","0,3940","0,3890","6,42M","0,64%"
"26.06.2023","0,3905","0,3940","0,3970","0,3775","20,75M","-2,37%"
"23.06.2023","0,4000","0,4030","0,4030","0,3870","15,03M","-1,48%"
"22.06.2023","0,4060","0,4100","0,4115","0,4035","12,48M","-1,46%"
"21.06.2023","0,4120","0,4000","0,4125","0,3990","16,67M","3,00%"
"20.06.2023","0,4000","0,4065","0,4100","0,3995","12,32M","-1,60%"
"19.06.2023","0,4065","0,3975","0,4090","0,3885","40,17M","4,10%"
"16.06.2023","0,3905","0,3905","0,3950","0,3875","14,43M","0,51%"
"15.06.2023","0,3885","0,3870","0,3905","0,3840","5,51M","-0,38%"
"14.06.2023","0,3900","0,3970","0,3970","0,3845","10,26M","-0,76%"
"13.06.2023","0,3930","0,3975","0,3985","0,3855","13,86M","1,42%"
"09.06.2023","0,3875","0,3855","0,4120","0,3855","80,90M","0,52%"
"08.06.2023","0,3855","0,3850","0,3875","0,3805","3,88M","0,65%"
"07.06.2023","0,3830","0,3825","0,3895","0,3755","10,19M","0,13%"
"06.06.2023","0,3825","0,3900","0,3945","0,3755","12,85M","-0,52%"
"05.06.2023","0,3845","0,3710","0,3900","0,3695","48,42M","3,78%"
"02.06.2023","0,3705","0,3650","0,3790","0,3645","9,99M","1,79%"
"01.06.2023","0,3640","0,3620","0,3700","0,3615","6,78M","0,00%"
"31.05.2023","0,3640","0,3690","0,3690","0,3560","5,70M","-0,82%"
"30.05.2023","0,3670","0,3725","0,3745","0,3520","15,40M","-1,21%"
"29.05.2023","0,3715","0,3755","0,3800","0,3705","9,46M","-0,27%"
"26.05.2023","0,3725","0,3670","0,3890","0,3670","26,96M","0,27%"
"25.05.2023","0,3715","0,3745","0,3900","0,3650","31,58M","-0,40%"
"24.05.2023","0,3730","0,3650","0,3875","0,3600","56,40M","3,61%"
"23.05.2023","0,3600","0,3580","0,3670","0,3505","24,09M","1,55%"
"22.05.2023","0,3545","0,3590","0,3605","0,3500","9,75M","-1,12%"
"19.05.2023","0,3585","0,3610","0,3625","0,3530","13,08M","-0,55%"
"18.05.2023","0,3605","0,3675","0,3695","0,3600","8,08M","-1,90%"
"17.05.2023","0,3675","0,3650","0,3690","0,3645","7,37M","0,41%"
"16.05.2023","0,3660","0,3535","0,3740","0,3535","19,09M","-0,41%"
