"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,0764","0,0850","0,0850","0,0750","2,08B","-3,35%"
"31.08.2023","0,0790","0,0720","0,0855","0,0719","10,60B","10,41%"
"30.08.2023","0,0715","0,0648","0,0738","0,0645","7,21B","10,93%"
"29.08.2023","0,0645","0,0663","0,0664","0,0635","683,83M","-2,05%"
"28.08.2023","0,0658","0,0671","0,0675","0,0653","1,01B","1,86%"
"25.08.2023","0,0646","0,0639","0,0666","0,0636","1,47B","1,81%"
"24.08.2023","0,0635","0,0622","0,0645","0,0606","905,33M","1,03%"
"23.08.2023","0,0628","0,0646","0,0646","0,0615","443,94M","-1,64%"
"22.08.2023","0,0639","0,0636","0,0645","0,0636","569,16M","0,39%"
"21.08.2023","0,0636","0,0642","0,0649","0,0632","633,60M","0,95%"
"18.08.2023","0,0631","0,0628","0,0636","0,0622","291,27M","0,40%"
"17.08.2023","0,0628","0,0638","0,0652","0,0621","619,13M","-0,63%"
"16.08.2023","0,0632","0,0637","0,0666","0,0617","1,70B","-0,47%"
"15.08.2023","0,0635","0,0636","0,0662","0,0601","954,16M","-0,31%"
"14.08.2023","0,0637","0,0645","0,0671","0,0632","1,58B","0,08%"
"11.08.2023","0,0636","0,0627","0,0649","0,0608","856,45M","1,03%"
"10.08.2023","0,0630","0,0700","0,0705","0,0600","3,14B","-8,30%"
"09.08.2023","0,0687","0,0660","0,0700","0,0632","5,02B","6,59%"
"08.08.2023","0,0645","0,0589","0,0650","0,0587","6,71B","9,70%"
"07.08.2023","0,0587","0,0576","0,0607","0,0562","1,14B","2,09%"
"04.08.2023","0,0575","0,0604","0,0606","0,0570","1,10B","-3,60%"
"03.08.2023","0,0597","0,0601","0,0604","0,0569","1,35B","-0,58%"
"02.08.2023","0,0600","0,0624","0,0630","0,0600","860,42M","-1,96%"
"01.08.2023","0,0613","0,0625","0,0637","0,0600","1,35B","0,57%"
"31.07.2023","0,0609","0,0595","0,0624","0,0595","1,52B","2,35%"
"28.07.2023","0,0595","0,0554","0,0649","0,0553","9,17B","7,50%"
"27.07.2023","0,0553","0,0555","0,0564","0,0538","1,40B","0,64%"
"26.07.2023","0,0550","0,0548","0,0555","0,0520","2,50B","2,23%"
"25.07.2023","0,0538","0,0540","0,0571","0,0515","3,55B","4,67%"
"24.07.2023","0,0514","0,0504","0,0520","0,0491","1,12B","4,90%"
"21.07.2023","0,0490","0,0504","0,0505","0,0481","810,56M","-1,01%"
"20.07.2023","0,0495","0,0487","0,0540","0,0477","6,43B","3,02%"
"19.07.2023","0,0481","0,0461","0,0484","0,0458","1,33B","4,46%"
"18.07.2023","0,0460","0,0455","0,0475","0,0450","1,40B","2,11%"
"17.07.2023","0,0450","0,0441","0,0454","0,0440","479,09M","1,24%"
"14.07.2023","0,0445","0,0448","0,0448","0,0440","296,82M","-0,34%"
"13.07.2023","0,0446","0,0444","0,0456","0,0438","478,12M","1,02%"
"12.07.2023","0,0442","0,0441","0,0448","0,0439","296,02M","0,45%"
"11.07.2023","0,0440","0,0439","0,0441","0,0436","113,49M","0,92%"
"10.07.2023","0,0436","0,0448","0,0448","0,0432","228,70M","0,35%"
"07.07.2023","0,0435","0,0438","0,0440","0,0432","185,68M","-0,23%"
"06.07.2023","0,0435","0,0452","0,0453","0,0432","329,61M","-2,68%"
"05.07.2023","0,0448","0,0446","0,0460","0,0443","688,38M","1,02%"
"04.07.2023","0,0443","0,0431","0,0443","0,0428","402,96M","3,14%"
"03.07.2023","0,0430","0,0426","0,0432","0,0425","139,16M","0,59%"
"30.06.2023","0,0427","0,0433","0,0433","0,0424","157,56M","-0,81%"
"29.06.2023","0,0430","0,0440","0,0440","0,0428","136,56M","-1,15%"
"28.06.2023","0,0435","0,0438","0,0441","0,0430","191,67M","0,00%"
"27.06.2023","0,0435","0,0426","0,0443","0,0426","425,58M","2,35%"
"26.06.2023","0,0426","0,0430","0,0430","0,0413","431,93M","-1,73%"
"23.06.2023","0,0433","0,0428","0,0443","0,0420","442,44M","-2,91%"
"22.06.2023","0,0446","0,0441","0,0455","0,0440","880,32M","1,71%"
"21.06.2023","0,0439","0,0427","0,0444","0,0427","464,59M","2,45%"
"20.06.2023","0,0428","0,0433","0,0437","0,0424","458,21M","-1,61%"
"19.06.2023","0,0435","0,0441","0,0444","0,0423","1,18B","-1,36%"
"16.06.2023","0,0441","0,0435","0,0490","0,0432","6,16B","4,01%"
"15.06.2023","0,0424","0,0413","0,0428","0,0410","505,07M","3,41%"
"14.06.2023","0,0410","0,0410","0,0412","0,0407","195,57M","0,86%"
"13.06.2023","0,0406","0,0406","0,0413","0,0399","199,47M","0,00%"
"09.06.2023","0,0406","0,0412","0,0413","0,0404","218,33M","-0,49%"
"08.06.2023","0,0408","0,0413","0,0417","0,0407","154,23M","-0,73%"
"07.06.2023","0,0411","0,0406","0,0415","0,0406","249,82M","1,11%"
"06.06.2023","0,0406","0,0408","0,0411","0,0401","247,16M","-0,61%"
"05.06.2023","0,0409","0,0415","0,0422","0,0406","729,69M","1,24%"
"02.06.2023","0,0404","0,0397","0,0406","0,0395","426,22M","2,02%"
"01.06.2023","0,0396","0,0402","0,0404","0,0395","153,42M","-1,37%"
"31.05.2023","0,0402","0,0400","0,0402","0,0389","146,10M","0,50%"
"30.05.2023","0,0399","0,0410","0,0411","0,0397","438,31M","-3,50%"
"29.05.2023","0,0414","0,0415","0,0420","0,0406","451,65M","0,73%"
"26.05.2023","0,0411","0,0391","0,0425","0,0386","1,49B","5,38%"
"25.05.2023","0,0390","0,0393","0,0405","0,0388","364,66M","-1,02%"
"24.05.2023","0,0394","0,0384","0,0402","0,0378","966,05M","2,47%"
"23.05.2023","0,0384","0,0384","0,0385","0,0377","347,77M","2,40%"
"22.05.2023","0,0375","0,0377","0,0386","0,0375","203,13M","-0,66%"
"19.05.2023","0,0378","0,0384","0,0384","0,0373","218,25M","-1,43%"
"18.05.2023","0,0384","0,0387","0,0400","0,0378","343,27M","-0,78%"
"17.05.2023","0,0386","0,0386","0,0389","0,0383","268,43M","0,52%"
"16.05.2023","0,0384","0,0389","0,0389","0,0377","249,86M","0,52%"
"15.05.2023","0,0382","0,0375","0,0388","0,0375","387,63M","-0,13%"
"12.05.2023","0,0383","0,0398","0,0398","0,0372","852,89M","-3,16%"
"11.05.2023","0,0395","0,0386","0,0405","0,0384","802,79M","3,81%"
"10.05.2023","0,0381","0,0371","0,0389","0,0371","321,37M","2,14%"
"08.05.2023","0,0373","0,0379","0,0385","0,0362","563,76M","-1,45%"
"05.05.2023","0,0378","0,0380","0,0386","0,0377","172,54M","-0,53%"
"04.05.2023","0,0380","0,0395","0,0395","0,0371","407,77M","1,47%"
"03.05.2023","0,0375","0,0384","0,0395","0,0369","579,58M","-1,32%"
"02.05.2023","0,0380","0,0411","0,0415","0,0366","890,99M","-7,09%"
"28.04.2023","0,0409","0,0419","0,0426","0,0403","1,27B","-2,85%"
"27.04.2023","0,0421","0,0435","0,0439","0,0402","1,47B","-3,22%"
"26.04.2023","0,0435","0,0388","0,0442","0,0388","3,53B","12,26%"
"25.04.2023","0,0388","0,0377","0,0391","0,0372","894,48M","3,47%"
"24.04.2023","0,0375","0,0369","0,0378","0,0369","630,73M","1,35%"
"21.04.2023","0,0369","0,0371","0,0371","0,0367","196,42M","0,00%"
"20.04.2023","0,0369","0,0370","0,0372","0,0364","238,44M","-0,67%"
"19.04.2023","0,0372","0,0370","0,0374","0,0367","573,34M","0,27%"
"18.04.2023","0,0371","0,0373","0,0375","0,0369","264,78M","-0,27%"
"17.04.2023","0,0372","0,0371","0,0375","0,0370","209,88M","0,54%"
"14.04.2023","0,0370","0,0368","0,0378","0,0368","458,38M","0,68%"
"13.04.2023","0,0367","0,0371","0,0375","0,0366","295,82M","-1,08%"
"12.04.2023","0,0371","0,0380","0,0380","0,0366","472,94M","-0,13%"
"11.04.2023","0,0372","0,0388","0,0393","0,0370","1,13B","-1,59%"
"10.04.2023","0,0378","0,0369","0,0384","0,0369","863,00M","2,44%"
"07.04.2023","0,0369","0,0369","0,0393","0,0369","1,17B","-0,14%"
"06.04.2023","0,0369","0,0371","0,0387","0,0366","964,29M","0,14%"
"05.04.2023","0,0369","0,0371","0,0382","0,0362","741,41M","-2,25%"
"04.04.2023","0,0377","0,0373","0,0384","0,0371","610,69M","1,89%"
"03.04.2023","0,0371","0,0364","0,0388","0,0357","1,31B","3,06%"
"31.03.2023","0,0360","0,0342","0,0371","0,0336","2,30B","5,27%"
"30.03.2023","0,0342","0,0333","0,0348","0,0329","504,88M","2,71%"
"29.03.2023","0,0333","0,0335","0,0337","0,0331","211,78M","-0,60%"
"28.03.2023","0,0334","0,0333","0,0336","0,0328","374,04M","0,75%"
"27.03.2023","0,0332","0,0326","0,0332","0,0323","219,84M","2,31%"
"24.03.2023","0,0325","0,0325","0,0329","0,0324","312,65M","0,00%"
"23.03.2023","0,0325","0,0323","0,0326","0,0320","353,86M","0,78%"
"22.03.2023","0,0322","0,0318","0,0322","0,0316","446,20M","0,47%"
"21.03.2023","0,0320","0,0320","0,0335","0,0318","1,14B","0,63%"
"20.03.2023","0,0318","0,0314","0,0322","0,0312","412,99M","1,27%"
"17.03.2023","0,0314","0,0315","0,0318","0,0314","215,09M","0,00%"
"16.03.2023","0,0314","0,0316","0,0320","0,0310","299,15M","0,16%"
"15.03.2023","0,0314","0,0323","0,0323","0,0310","658,03M","-2,03%"
"14.03.2023","0,0320","0,0322","0,0329","0,0318","476,84M","-0,16%"
"13.03.2023","0,0321","0,0318","0,0338","0,0317","1,35B","1,10%"
"10.03.2023","0,0318","0,0320","0,0329","0,0314","859,61M","-0,78%"
"09.03.2023","0,0320","0,0307","0,0356","0,0303","4,90B","4,75%"
"07.03.2023","0,0305","0,0302","0,0309","0,0301","470,29M","1,50%"
"06.03.2023","0,0301","0,0299","0,0303","0,0298","328,75M","1,18%"
"03.03.2023","0,0298","0,0294","0,0298","0,0293","149,58M","1,19%"
"02.03.2023","0,0294","0,0302","0,0302","0,0291","319,33M","-2,00%"
"01.03.2023","0,0300","0,0299","0,0302","0,0298","157,14M","0,33%"
"28.02.2023","0,0299","0,0297","0,0299","0,0295","154,07M","1,53%"
"27.02.2023","0,0294","0,0294","0,0297","0,0291","158,93M","0,86%"
"24.02.2023","0,0292","0,0295","0,0297","0,0290","135,02M","-0,85%"
"22.02.2023","0,0294","0,0291","0,0300","0,0291","276,20M","0,68%"
"21.02.2023","0,0292","0,0288","0,0295","0,0288","166,76M","0,69%"
"20.02.2023","0,0291","0,0294","0,0299","0,0287","181,42M","-0,85%"
"17.02.2023","0,0293","0,0292","0,0297","0,0288","209,02M","0,86%"
"16.02.2023","0,0291","0,0284","0,0295","0,0282","565,55M","2,29%"
"15.02.2023","0,0284","0,0302","0,0302","0,0280","568,33M","-5,80%"
"14.02.2023","0,0302","0,0305","0,0308","0,0291","513,69M","-0,82%"
"13.02.2023","0,0304","0,0298","0,0315","0,0298","1,08B","2,01%"
"10.02.2023","0,0298","0,0298","0,0306","0,0295","597,02M","0,51%"
"09.02.2023","0,0297","0,0294","0,0298","0,0294","267,06M","0,68%"
"08.02.2023","0,0294","0,0293","0,0300","0,0292","652,43M","0,00%"
"07.02.2023","0,0294","0,0293","0,0297","0,0291","203,40M","0,51%"
"06.02.2023","0,0292","0,0291","0,0298","0,0289","239,73M","0,00%"
"03.02.2023","0,0292","0,0294","0,0295","0,0287","418,61M","-0,68%"
"02.02.2023","0,0294","0,0293","0,0297","0,0291","171,94M","0,00%"
"01.02.2023","0,0294","0,0299","0,0301","0,0293","306,82M","-1,51%"
"31.01.2023","0,0299","0,0295","0,0302","0,0295","371,29M","0,51%"
"30.01.2023","0,0297","0,0302","0,0304","0,0294","326,78M","0,34%"
"27.01.2023","0,0296","0,0293","0,0297","0,0290","539,01M","1,20%"
"26.01.2023","0,0292","0,0295","0,0298","0,0291","260,28M","-0,34%"
"25.01.2023","0,0293","0,0294","0,0300","0,0291","711,34M","0,86%"
"24.01.2023","0,0291","0,0289","0,0294","0,0283","776,83M","1,39%"
"23.01.2023","0,0287","0,0288","0,0292","0,0286","234,05M","0,35%"
"20.01.2023","0,0286","0,0283","0,0305","0,0282","1,29B","1,60%"
"19.01.2023","0,0281","0,0286","0,0290","0,0279","392,86M","-2,09%"
"18.01.2023","0,0288","0,0287","0,0291","0,0281","338,62M","0,00%"
"17.01.2023","0,0288","0,0299","0,0301","0,0285","886,50M","-3,85%"
"16.01.2023","0,0299","0,0325","0,0325","0,0295","2,07B","1,18%"
"13.01.2023","0,0295","0,0297","0,0300","0,0282","966,65M","0,85%"
"12.01.2023","0,0293","0,0281","0,0304","0,0281","2,80B","3,17%"
"11.01.2023","0,0284","0,0275","0,0295","0,0268","1,14B","4,60%"
"10.01.2023","0,0271","0,0272","0,0274","0,0265","201,80M","-0,18%"
"09.01.2023","0,0272","0,0273","0,0273","0,0268","218,50M","1,68%"
"06.01.2023","0,0268","0,0270","0,0272","0,0261","199,88M","-1,11%"
"05.01.2023","0,0270","0,0269","0,0279","0,0267","681,57M","1,50%"
"04.01.2023","0,0267","0,0262","0,0274","0,0261","295,02M","0,76%"
"03.01.2023","0,0265","0,0265","0,0266","0,0261","107,92M","1,15%"
