"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,0921","0,0952","0,0987","0,0858","1,23B","-0,49%"
"31.08.2023","0,0926","0,0808","0,1110","0,0771","6,84B","14,47%"
"30.08.2023","0,0808","0,0710","0,0850","0,0701","3,21B","14,52%"
"29.08.2023","0,0706","0,0696","0,0715","0,0670","554,09M","3,98%"
"28.08.2023","0,0679","0,0690","0,0706","0,0674","896,27M","2,41%"
"25.08.2023","0,0663","0,0658","0,0675","0,0655","286,30M","1,30%"
"24.08.2023","0,0654","0,0670","0,0670","0,0635","292,67M","-1,73%"
"23.08.2023","0,0666","0,0680","0,0683","0,0645","261,39M","-0,60%"
"22.08.2023","0,0670","0,0655","0,0689","0,0652","442,74M","2,60%"
"21.08.2023","0,0653","0,0645","0,0658","0,0635","159,70M","2,43%"
"18.08.2023","0,0637","0,0635","0,0640","0,0621","99,50M","1,19%"
"17.08.2023","0,0630","0,0633","0,0661","0,0604","252,49M","-0,40%"
"16.08.2023","0,0632","0,0666","0,0692","0,0578","784,28M","-2,77%"
"15.08.2023","0,0650","0,0650","0,0670","0,0597","289,13M","-0,08%"
"14.08.2023","0,0651","0,0675","0,0708","0,0647","663,85M","-3,27%"
"11.08.2023","0,0673","0,0671","0,0687","0,0641","252,45M","0,60%"
"10.08.2023","0,0669","0,0733","0,0760","0,0644","1,11B","-7,08%"
"09.08.2023","0,0720","0,0634","0,0720","0,0623","2,24B","14,29%"
"08.08.2023","0,0630","0,0618","0,0632","0,0586","273,55M","2,52%"
"07.08.2023","0,0615","0,0606","0,0627","0,0604","242,93M","2,25%"
"04.08.2023","0,0601","0,0638","0,0660","0,0576","586,23M","-5,80%"
"03.08.2023","0,0638","0,0644","0,0649","0,0622","264,51M","-0,85%"
"02.08.2023","0,0644","0,0668","0,0668","0,0622","347,89M","-2,05%"
"01.08.2023","0,0657","0,0646","0,0676","0,0637","528,45M","1,70%"
"31.07.2023","0,0646","0,0615","0,0670","0,0615","1,43B","5,81%"
"28.07.2023","0,0611","0,0565","0,0630","0,0562","3,07B","8,34%"
"27.07.2023","0,0564","0,0570","0,0572","0,0553","123,92M","-0,79%"
"26.07.2023","0,0568","0,0578","0,0579","0,0545","295,62M","-0,09%"
"25.07.2023","0,0569","0,0573","0,0577","0,0558","241,24M","0,44%"
"24.07.2023","0,0566","0,0549","0,0589","0,0542","1,22B","5,40%"
"21.07.2023","0,0537","0,0540","0,0551","0,0531","188,93M","-0,56%"
"20.07.2023","0,0540","0,0545","0,0565","0,0532","584,63M","-0,55%"
"19.07.2023","0,0543","0,0542","0,0553","0,0529","571,80M","1,12%"
"18.07.2023","0,0537","0,0540","0,0541","0,0528","235,20M","1,13%"
"17.07.2023","0,0531","0,0535","0,0535","0,0520","284,49M","-0,75%"
"14.07.2023","0,0535","0,0516","0,0545","0,0512","693,48M","3,78%"
"13.07.2023","0,0516","0,0516","0,0520","0,0509","99,05M","-0,10%"
"12.07.2023","0,0516","0,0512","0,0516","0,0509","67,71M","0,88%"
"11.07.2023","0,0512","0,0509","0,0514","0,0505","36,91M","0,89%"
"10.07.2023","0,0507","0,0505","0,0512","0,0505","40,89M","0,30%"
"07.07.2023","0,0505","0,0518","0,0518","0,0503","75,30M","-0,49%"
"06.07.2023","0,0508","0,0515","0,0516","0,0496","121,41M","-0,88%"
"05.07.2023","0,0512","0,0500","0,0525","0,0499","399,02M","2,50%"
"04.07.2023","0,0500","0,0496","0,0510","0,0496","123,35M","0,91%"
"03.07.2023","0,0496","0,0497","0,0508","0,0490","35,46M","-0,60%"
"30.06.2023","0,0498","0,0499","0,0500","0,0496","22,20M","-0,30%"
"29.06.2023","0,0500","0,0496","0,0505","0,0495","34,65M","0,81%"
"28.06.2023","0,0496","0,0498","0,0500","0,0494","47,14M","-0,40%"
"27.06.2023","0,0498","0,0490","0,0498","0,0490","63,79M","1,63%"
"26.06.2023","0,0490","0,0499","0,0507","0,0476","181,42M","-2,87%"
"23.06.2023","0,0505","0,0509","0,0511","0,0500","59,53M","-1,75%"
"22.06.2023","0,0514","0,0517","0,0519","0,0507","89,87M","0,00%"
"21.06.2023","0,0514","0,0510","0,0523","0,0497","116,60M","0,88%"
"20.06.2023","0,0509","0,0521","0,0525","0,0502","154,91M","-2,21%"
"19.06.2023","0,0521","0,0501","0,0529","0,0501","294,82M","2,26%"
"16.06.2023","0,0509","0,0502","0,0520","0,0499","204,35M","1,60%"
"15.06.2023","0,0501","0,0507","0,0509","0,0487","69,09M","-0,89%"
"14.06.2023","0,0506","0,0492","0,0514","0,0492","178,98M","1,40%"
"13.06.2023","0,0499","0,0492","0,0501","0,0487","85,93M","2,67%"
"09.06.2023","0,0486","0,0499","0,0499","0,0486","34,43M","-0,61%"
"08.06.2023","0,0489","0,0491","0,0493","0,0483","34,04M","0,00%"
"07.06.2023","0,0489","0,0487","0,0497","0,0484","41,44M","0,93%"
"06.06.2023","0,0485","0,0487","0,0493","0,0483","51,45M","-1,72%"
"05.06.2023","0,0493","0,0510","0,0510","0,0482","162,99M","0,00%"
"02.06.2023","0,0493","0,0492","0,0493","0,0481","74,36M","2,07%"
"01.06.2023","0,0483","0,0485","0,0493","0,0479","46,66M","-0,21%"
"31.05.2023","0,0484","0,0492","0,0493","0,0464","131,42M","1,04%"
"30.05.2023","0,0479","0,0490","0,0492","0,0476","88,55M","-2,84%"
"29.05.2023","0,0493","0,0502","0,0508","0,0471","204,37M","-1,30%"
"26.05.2023","0,0499","0,0492","0,0507","0,0487","115,55M","1,52%"
"25.05.2023","0,0492","0,0503","0,0509","0,0488","81,48M","-2,57%"
"24.05.2023","0,0505","0,0520","0,0520","0,0487","183,27M","-0,20%"
"23.05.2023","0,0506","0,0495","0,0541","0,0482","1,48B","8,82%"
"22.05.2023","0,0465","0,0481","0,0481","0,0458","73,78M","-1,48%"
"19.05.2023","0,0472","0,0468","0,0484","0,0455","104,35M","0,96%"
"18.05.2023","0,0468","0,0483","0,0484","0,0459","95,95M","-2,50%"
"17.05.2023","0,0479","0,0492","0,0495","0,0474","102,26M","-0,31%"
"16.05.2023","0,0481","0,0473","0,0495","0,0466","162,72M","1,80%"
"15.05.2023","0,0472","0,0468","0,0472","0,0457","129,09M","1,72%"
"12.05.2023","0,0465","0,0475","0,0475","0,0447","170,88M","-3,13%"
"11.05.2023","0,0479","0,0478","0,0499","0,0465","297,28M","0,95%"
"10.05.2023","0,0475","0,0466","0,0486","0,0449","191,19M","3,94%"
"08.05.2023","0,0457","0,0465","0,0472","0,0455","77,83M","0,22%"
"05.05.2023","0,0456","0,0485","0,0489","0,0455","180,00M","-1,41%"
"04.05.2023","0,0463","0,0479","0,0479","0,0448","260,31M","-0,43%"
"03.05.2023","0,0465","0,0474","0,0490","0,0452","130,27M","-2,00%"
"02.05.2023","0,0474","0,0507","0,0542","0,0457","727,78M","-4,82%"
"28.04.2023","0,0498","0,0497","0,0534","0,0492","937,54M","0,61%"
"27.04.2023","0,0495","0,0485","0,0569","0,0476","3,28B","4,32%"
"26.04.2023","0,0474","0,0464","0,0480","0,0457","313,97M","3,15%"
"25.04.2023","0,0460","0,0456","0,0485","0,0447","607,82M","2,11%"
"24.04.2023","0,0450","0,0438","0,0459","0,0438","261,51M","3,21%"
"21.04.2023","0,0437","0,0436","0,0444","0,0434","62,78M","0,23%"
"20.04.2023","0,0435","0,0441","0,0444","0,0432","32,28M","-1,14%"
"19.04.2023","0,0441","0,0443","0,0446","0,0440","61,21M","-0,45%"
"18.04.2023","0,0443","0,0444","0,0450","0,0440","88,10M","0,11%"
"17.04.2023","0,0442","0,0445","0,0452","0,0441","67,74M","0,34%"
"14.04.2023","0,0441","0,0444","0,0444","0,0435","30,58M","0,00%"
"13.04.2023","0,0441","0,0447","0,0453","0,0435","90,72M","-1,67%"
"12.04.2023","0,0448","0,0439","0,0457","0,0432","145,85M","2,75%"
"11.04.2023","0,0436","0,0450","0,0466","0,0430","318,09M","-1,02%"
"10.04.2023","0,0441","0,0430","0,0451","0,0430","301,87M","1,85%"
"07.04.2023","0,0432","0,0431","0,0454","0,0426","349,42M","0,00%"
"06.04.2023","0,0432","0,0435","0,0437","0,0428","74,15M","-0,57%"
"05.04.2023","0,0435","0,0431","0,0445","0,0428","172,41M","0,93%"
"04.04.2023","0,0431","0,0417","0,0489","0,0417","2,26B","2,99%"
"03.04.2023","0,0419","0,0415","0,0424","0,0415","102,59M","1,58%"
"31.03.2023","0,0412","0,0415","0,0417","0,0409","44,75M","-0,84%"
"30.03.2023","0,0415","0,0412","0,0419","0,0411","145,75M","1,22%"
"29.03.2023","0,0410","0,0413","0,0413","0,0408","28,35M","0,00%"
"28.03.2023","0,0410","0,0419","0,0419","0,0406","118,65M","-0,97%"
"27.03.2023","0,0414","0,0411","0,0423","0,0407","350,71M","0,73%"
"24.03.2023","0,0411","0,0413","0,0417","0,0408","41,40M","-0,96%"
"23.03.2023","0,0415","0,0419","0,0420","0,0410","68,84M","-0,12%"
"22.03.2023","0,0415","0,0411","0,0437","0,0404","260,21M","0,61%"
"21.03.2023","0,0413","0,0415","0,0421","0,0411","54,76M","-0,12%"
"20.03.2023","0,0413","0,0413","0,0419","0,0411","50,49M","0,24%"
"17.03.2023","0,0413","0,0417","0,0417","0,0410","24,87M","-0,60%"
"16.03.2023","0,0415","0,0426","0,0429","0,0410","61,09M","-1,66%"
"15.03.2023","0,0422","0,0411","0,0437","0,0406","179,66M","2,43%"
"14.03.2023","0,0412","0,0412","0,0414","0,0402","46,76M","0,37%"
"13.03.2023","0,0410","0,0418","0,0424","0,0401","130,78M","-1,56%"
"10.03.2023","0,0417","0,0411","0,0439","0,0408","818,38M","1,83%"
"09.03.2023","0,0410","0,0410","0,0430","0,0406","474,30M","-0,12%"
"07.03.2023","0,0410","0,0406","0,0420","0,0396","372,89M","2,50%"
"06.03.2023","0,0400","0,0395","0,0426","0,0395","699,23M","1,14%"
"03.03.2023","0,0395","0,0393","0,0399","0,0393","18,72M","0,76%"
"02.03.2023","0,0393","0,0401","0,0404","0,0391","48,42M","-2,36%"
"01.03.2023","0,0402","0,0406","0,0417","0,0397","226,48M","0,37%"
"28.02.2023","0,0400","0,0400","0,0406","0,0395","46,22M","0,75%"
"27.02.2023","0,0397","0,0391","0,0400","0,0382","111,07M","2,45%"
"24.02.2023","0,0388","0,0395","0,0395","0,0382","42,56M","0,00%"
"22.02.2023","0,0388","0,0393","0,0421","0,0384","555,05M","0,26%"
"21.02.2023","0,0388","0,0383","0,0398","0,0371","148,34M","2,65%"
"20.02.2023","0,0377","0,0382","0,0384","0,0372","45,92M","-1,18%"
"17.02.2023","0,0382","0,0389","0,0389","0,0380","60,00M","-0,39%"
"16.02.2023","0,0384","0,0386","0,0388","0,0380","39,92M","-0,78%"
"15.02.2023","0,0386","0,0399","0,0399","0,0381","91,04M","-2,77%"
"14.02.2023","0,0397","0,0410","0,0440","0,0384","863,14M","-1,36%"
"13.02.2023","0,0403","0,0393","0,0440","0,0388","939,98M","3,87%"
"10.02.2023","0,0388","0,0403","0,0430","0,0387","526,29M","-1,65%"
"09.02.2023","0,0395","0,0388","0,0412","0,0384","354,47M","2,33%"
"08.02.2023","0,0386","0,0388","0,0395","0,0380","93,63M","-0,77%"
"07.02.2023","0,0388","0,0393","0,0403","0,0387","116,60M","-0,64%"
"06.02.2023","0,0391","0,0387","0,0392","0,0384","39,70M","1,82%"
"03.02.2023","0,0384","0,0385","0,0405","0,0380","259,69M","0,00%"
"02.02.2023","0,0384","0,0385","0,0395","0,0380","88,27M","0,92%"
"01.02.2023","0,0380","0,0390","0,0392","0,0380","61,23M","-1,68%"
"31.01.2023","0,0387","0,0390","0,0416","0,0377","608,91M","1,04%"
"30.01.2023","0,0383","0,0390","0,0401","0,0382","51,53M","-1,03%"
"27.01.2023","0,0387","0,0380","0,0395","0,0371","108,58M","1,98%"
"26.01.2023","0,0380","0,0388","0,0395","0,0375","104,64M","-1,30%"
"25.01.2023","0,0384","0,0399","0,0399","0,0376","100,20M","-1,79%"
"24.01.2023","0,0391","0,0384","0,0426","0,0378","1,31B","2,89%"
"23.01.2023","0,0380","0,0383","0,0393","0,0369","394,91M","-0,39%"
"20.01.2023","0,0382","0,0371","0,0465","0,0362","4,84B","6,26%"
"19.01.2023","0,0360","0,0355","0,0364","0,0347","36,13M","2,28%"
"18.01.2023","0,0351","0,0358","0,0358","0,0345","37,96M","-0,71%"
"17.01.2023","0,0354","0,0355","0,0357","0,0351","23,69M","-1,39%"
"16.01.2023","0,0359","0,0357","0,0367","0,0355","50,39M","0,56%"
"13.01.2023","0,0357","0,0362","0,0375","0,0351","89,43M","-1,52%"
"12.01.2023","0,0362","0,0369","0,0397","0,0353","213,57M","-1,09%"
"11.01.2023","0,0366","0,0351","0,0400","0,0345","639,73M","6,39%"
"10.01.2023","0,0344","0,0343","0,0351","0,0338","57,44M","2,23%"
"09.01.2023","0,0337","0,0356","0,0369","0,0334","209,04M","0,90%"
"06.01.2023","0,0334","0,0336","0,0338","0,0334","17,60M","-0,60%"
"05.01.2023","0,0336","0,0328","0,0341","0,0328","32,73M","1,36%"
"04.01.2023","0,0331","0,0333","0,0338","0,0322","34,50M","-0,75%"
"03.01.2023","0,0334","0,0332","0,0334","0,0329","19,19M","0,91%"
