"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","0,1150","0,1165","0,1180","0,1051","4,03B","-5,16%"
"31.08.2023","0,1212","0,1115","0,1400","0,1110","18,23B","14,34%"
"30.08.2023","0,1060","0,0745","0,1060","0,0745","16,41B","42,66%"
"29.08.2023","0,0743","0,0759","0,0759","0,0722","1,00B","-1,33%"
"28.08.2023","0,0753","0,0711","0,0765","0,0706","3,10B","7,11%"
"25.08.2023","0,0703","0,0684","0,0705","0,0673","1,18B","3,15%"
"24.08.2023","0,0681","0,0665","0,0692","0,0661","803,91M","-0,29%"
"23.08.2023","0,0684","0,0715","0,0715","0,0665","887,86M","-2,77%"
"22.08.2023","0,0703","0,0719","0,0726","0,0697","711,20M","-2,02%"
"21.08.2023","0,0718","0,0684","0,0730","0,0675","1,20B","6,45%"
"18.08.2023","0,0674","0,0680","0,0680","0,0650","401,56M","0,82%"
"17.08.2023","0,0668","0,0676","0,0692","0,0653","1,06B","2,37%"
"16.08.2023","0,0653","0,0680","0,0735","0,0610","2,39B","-3,97%"
"15.08.2023","0,0680","0,0655","0,0710","0,0631","2,18B","1,80%"
"14.08.2023","0,0668","0,0622","0,0727","0,0617","5,96B","8,71%"
"11.08.2023","0,0615","0,0625","0,0636","0,0601","737,32M","-1,68%"
"10.08.2023","0,0625","0,0670","0,0679","0,0584","3,68B","-5,30%"
"09.08.2023","0,0660","0,0520","0,0700","0,0512","13,74B","29,41%"
"08.08.2023","0,0510","0,0495","0,0511","0,0470","1,01B","3,76%"
"07.08.2023","0,0492","0,0486","0,0499","0,0485","530,51M","1,34%"
"04.08.2023","0,0485","0,0515","0,0515","0,0475","913,47M","-3,77%"
"03.08.2023","0,0504","0,0503","0,0509","0,0500","469,71M","0,80%"
"02.08.2023","0,0500","0,0509","0,0512","0,0490","687,65M","-1,09%"
"01.08.2023","0,0505","0,0509","0,0520","0,0501","567,08M","-0,79%"
"31.07.2023","0,0509","0,0488","0,0510","0,0485","2,03B","5,49%"
"28.07.2023","0,0483","0,0471","0,0547","0,0467","5,60B","2,77%"
"27.07.2023","0,0470","0,0472","0,0474","0,0468","197,00M","0,00%"
"26.07.2023","0,0470","0,0477","0,0481","0,0465","397,96M","-1,16%"
"25.07.2023","0,0476","0,0468","0,0488","0,0464","988,05M","1,93%"
"24.07.2023","0,0466","0,0462","0,0476","0,0452","936,34M","3,21%"
"21.07.2023","0,0452","0,0463","0,0463","0,0446","396,67M","-1,53%"
"20.07.2023","0,0459","0,0468","0,0478","0,0444","1,74B","2,11%"
"19.07.2023","0,0450","0,0433","0,0457","0,0432","1,08B","4,05%"
"18.07.2023","0,0432","0,0428","0,0434","0,0426","266,87M","1,05%"
"17.07.2023","0,0428","0,0421","0,0443","0,0415","703,89M","1,30%"
"14.07.2023","0,0422","0,0426","0,0426","0,0413","310,34M","-0,47%"
"13.07.2023","0,0424","0,0426","0,0428","0,0412","360,70M","-0,24%"
"12.07.2023","0,0425","0,0420","0,0429","0,0413","448,18M","2,29%"
"11.07.2023","0,0415","0,0413","0,0416","0,0413","135,65M","0,36%"
"10.07.2023","0,0414","0,0415","0,0417","0,0410","199,53M","0,85%"
"07.07.2023","0,0410","0,0419","0,0419","0,0406","312,78M","-1,32%"
