"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","2.400,0","2.390,0","2.406,0","2.384,0","0,50K","0,76%"
"31.08.2023","2.382,0","2.398,0","2.406,0","2.382,0","0,07K","-0,67%"
"30.08.2023","2.398,0","2.334,0","2.398,0","2.328,0","0,03K","2,83%"
"29.08.2023","2.332,0","2.270,0","2.332,0","2.014,0","0,16K","4,39%"
"28.08.2023","2.234,0","2.248,0","2.248,0","2.234,0","0,01K","-0,62%"
"25.08.2023","2.248,0","2.198,0","2.248,0","2.198,0","0,02K","0,09%"
"24.08.2023","2.246,0","2.218,0","2.248,0","2.218,0","0,10K","-0,09%"
"23.08.2023","2.248,0","2.168,0","2.248,0","2.016,0","0,31K","0,36%"
"22.08.2023","2.240,0","2.186,0","2.250,0","2.186,0","0,04K","4,58%"
"21.08.2023","2.142,0","2.110,0","2.158,0","2.110,0","0,03K","2,10%"
"18.08.2023","2.098,0","2.116,0","2.116,0","2.090,0","0,17K","-3,23%"
"17.08.2023","2.168,0","2.168,0","2.168,0","2.168,0","0,00K","-0,73%"
"16.08.2023","2.184,0","2.246,0","2.246,0","2.024,0","0,36K","-4,38%"
"15.08.2023","2.284,0","2.316,0","2.358,0","2.284,0","0,36K","-0,78%"
"14.08.2023","2.302,0","2.344,0","2.356,0","2.282,0","0,42K","0,09%"
"11.08.2023","2.300,0","2.316,0","2.320,0","2.292,0","0,18K","-0,52%"
"10.08.2023","2.312,0","2.326,0","2.326,0","2.312,0","0,02K","0,00%"
"09.08.2023","2.312,0","2.330,0","2.336,0","2.310,0","0,03K","-0,17%"
"08.08.2023","2.316,0","2.330,0","2.330,0","2.310,0","0,09K","-0,60%"
"07.08.2023","2.330,0","2.310,0","2.348,0","2.310,0","0,01K","0,34%"
"04.08.2023","2.322,0","2.320,0","2.322,0","2.310,0","0,07K","-0,09%"
"03.08.2023","2.324,0","2.306,0","2.324,0","2.260,0","0,34K","0,52%"
"02.08.2023","2.312,0","2.382,0","2.398,0","2.312,0","0,24K","-1,62%"
"01.08.2023","2.350,0","2.338,0","2.350,0","2.318,0","0,07K","1,29%"
"31.07.2023","2.320,0","2.288,0","2.362,0","2.102,0","0,22K","1,75%"
"28.07.2023","2.280,0","2.234,0","2.280,0","2.232,0","0,28K","0,88%"
"27.07.2023","2.260,0","2.230,0","2.278,0","2.230,0","0,92K","3,48%"
"26.07.2023","2.184,0","2.236,0","2.246,0","2.106,0","0,14K","-2,93%"
"25.07.2023","2.250,0","2.228,0","2.290,0","2.226,0","0,24K","-1,75%"
"24.07.2023","2.290,0","2.234,0","2.290,0","2.104,0","0,03K","1,33%"
"21.07.2023","2.260,0","2.298,0","2.314,0","2.248,0","0,42K","-2,08%"
"20.07.2023","2.308,0","2.314,0","2.366,0","2.304,0","0,05K","-1,87%"
"19.07.2023","2.352,0","2.112,0","2.396,0","1.852,0","0,84K","0,26%"
"18.07.2023","2.346,0","2.298,0","2.346,0","1.806,0","2,08K","3,26%"
"17.07.2023","2.272,0","2.264,0","2.300,0","2.262,0","0,01K","-1,22%"
"14.07.2023","2.300,0","2.326,0","2.334,0","2.300,0","0,02K","1,32%"
"13.07.2023","2.270,0","2.208,0","2.270,0","1.844,0","0,09K","1,34%"
"12.07.2023","2.240,0","2.218,0","2.284,0","2.218,0","0,06K","2,56%"
"11.07.2023","2.184,0","2.146,0","2.216,0","2.140,0","0,22K","1,77%"
"10.07.2023","2.146,0","2.146,0","2.146,0","2.138,0","0,16K","-1,29%"
"07.07.2023","2.174,0","2.162,0","2.174,0","2.160,0","0,01K","0,00%"
"06.07.2023","2.174,0","2.212,0","2.212,0","2.134,0","0,16K","-2,07%"
"05.07.2023","2.220,0","2.192,0","2.226,0","2.192,0","0,03K","2,68%"
"04.07.2023","2.162,0","2.200,0","2.200,0","2.150,0","0,05K","0,93%"
"03.07.2023","2.142,0","2.184,0","2.184,0","2.138,0","0,02K","-0,56%"
"30.06.2023","2.154,0","2.116,0","2.158,0","2.084,0","0,35K","3,46%"
"29.06.2023","2.082,0","2.096,0","2.134,0","2.082,0","0,12K","-0,67%"
"28.06.2023","2.096,0","2.042,0","2.096,0","2.038,0","0,02K","4,70%"
"27.06.2023","2.002,0","2.016,0","2.028,0","1.822,0","0,06K","-0,69%"
"26.06.2023","2.016,0","2.000,0","2.026,0","2.000,0","0,16K","1,51%"
"23.06.2023","1.986,0","2.002,0","2.030,0","1.984,0","0,02K","0,10%"
"22.06.2023","1.984,0","1.968,0","1.984,0","1.966,0","0,24K","-1,29%"
"21.06.2023","2.010,0","2.010,0","2.010,0","1.812,0","0,12K","-2,62%"
"20.06.2023","2.064,0","2.026,0","2.064,0","2.026,0","0,01K","2,08%"
"19.06.2023","2.022,0","2.034,0","2.034,0","2.016,0","0,03K","-0,59%"
"16.06.2023","2.034,0","2.028,0","2.036,0","2.010,0","0,24K","0,69%"
"15.06.2023","2.020,0","2.022,0","2.024,0","1.998,0","0,04K","-0,10%"
"14.06.2023","2.022,0","2.014,0","2.034,0","2.004,0","0,20K","11,34%"
"13.06.2023","1.816,0","2.032,0","2.032,0","1.816,0","0,53K","-7,54%"
"09.06.2023","1.964,0","1.916,0","1.980,0","1.916,0","0,18K","2,19%"
"08.06.2023","1.922,0","1.912,0","1.924,0","1.902,0","0,02K","1,16%"
"07.06.2023","1.900,0","1.900,0","1.902,0","1.900,0","0,14K","0,74%"
"06.06.2023","1.886,0","1.860,0","2.000,0","1.856,0","0,12K","1,95%"
"05.06.2023","1.850,0","1.876,0","1.876,0","1.850,0","0,02K","-0,75%"
"02.06.2023","1.864,0","1.858,0","1.872,0","1.852,0","0,48K","2,64%"
"01.06.2023","1.816,0","1.814,0","1.816,0","1.810,0","0,01K","0,55%"
"31.05.2023","1.806,0","1.866,0","1.866,0","1.806,0","0,37K","-3,42%"
"30.05.2023","1.870,0","1.846,0","1.878,0","1.804,0","0,18K","4,12%"
"29.05.2023","1.796,0","1.784,0","1.798,0","1.784,0","0,03K","1,70%"
"26.05.2023","1.766,0","1.756,0","1.768,0","1.738,0","0,01K","2,67%"
"25.05.2023","1.720,0","1.700,0","1.722,0","1.700,0","0,03K","2,75%"
"24.05.2023","1.674,0","1.652,0","1.674,0","1.650,0","0,27K","-0,12%"
"23.05.2023","1.676,0","1.676,0","1.676,0","1.672,0","0,25K","0,00%"
"22.05.2023","1.676,0","1.676,0","1.676,0","1.676,0","0,00K","0,72%"
"19.05.2023","1.664,0","1.674,0","1.694,0","1.664,0","0,02K","-0,24%"
"18.05.2023","1.668,0","1.640,0","1.676,0","1.638,0","0,03K","3,60%"
"17.05.2023","1.610,0","1.594,0","1.618,0","1.594,0","0,15K","2,94%"
"15.05.2023","1.564,0","1.556,0","1.564,0","1.556,0","0,07K","2,36%"
"12.05.2023","1.528,0","1.526,0","1.528,0","1.524,0","0,02K","-0,65%"
"11.05.2023","1.538,0","1.536,0","1.538,0","1.522,0","0,00K","2,26%"
"10.05.2023","1.504,0","1.486,0","1.504,0","1.484,0","0,00K","-0,79%"
"08.05.2023","1.516,0","1.518,0","1.518,0","1.516,0","0,03K","1,61%"
"05.05.2023","1.492,0","1.450,0","1.492,0","1.450,0","0,02K","-0,67%"
"04.05.2023","1.502,0","1.508,0","1.508,0","1.458,0","0,11K","-0,79%"
"03.05.2023","1.514,0","1.530,0","1.530,0","1.514,0","0,32K","-4,42%"
"28.04.2023","1.584,0","1.572,0","1.584,0","1.570,0","0,09K","-0,88%"
"27.04.2023","1.598,0","1.532,0","1.616,0","1.532,0","0,02K","32,07%"
"26.04.2023","1.210,0","1.592,0","1.600,0","1.210,0","0,01K","-24,47%"
"25.04.2023","1.602,0","1.616,0","1.616,0","1.602,0","0,05K","0,13%"
"24.04.2023","1.600,0","1.598,0","1.628,0","1.598,0","0,08K","0,13%"
"21.04.2023","1.598,0","1.606,0","1.606,0","1.598,0","0,01K","-1,48%"
"20.04.2023","1.622,0","1.626,0","1.626,0","1.622,0","0,31K","-0,12%"
"19.04.2023","1.624,0","1.634,0","1.656,0","1.624,0","0,01K","-0,98%"
"18.04.2023","1.640,0","1.640,0","1.640,0","1.640,0","0,00K","-0,85%"
"17.04.2023","1.654,0","1.624,0","1.654,0","1.624,0","0,00K","0,36%"
"14.04.2023","1.648,0","1.626,0","1.648,0","1.626,0","0,00K","1,48%"
"13.04.2023","1.624,0","1.592,0","1.624,0","1.592,0","0,02K","-1,46%"
"12.04.2023","1.648,0","1.624,0","1.648,0","1.622,0","0,01K","1,60%"
"11.04.2023","1.622,0","1.660,0","1.666,0","1.622,0","0,09K","0,25%"
"10.04.2023","1.618,0","1.618,0","1.618,0","1.592,0","0,00K","0,37%"
"07.04.2023","1.612,0","1.612,0","1.644,0","1.612,0","0,06K","0,00%"
"06.04.2023","1.612,0","1.598,0","1.612,0","1.584,0","0,06K","2,28%"
"05.04.2023","1.576,0","1.614,0","1.614,0","1.576,0","0,03K","-1,38%"
"04.04.2023","1.598,0","1.634,0","1.634,0","1.598,0","0,10K","-0,99%"
"03.04.2023","1.614,0","1.614,0","1.614,0","1.614,0","0,00K","2,80%"
"31.03.2023","1.570,0","1.544,0","1.570,0","1.532,0","0,17K","2,35%"
"30.03.2023","1.534,0","1.534,0","1.534,0","1.534,0","0,00K","-0,52%"
"29.03.2023","1.542,0","1.488,0","1.542,0","1.488,0","0,10K","3,49%"
"28.03.2023","1.490,0","1.490,0","1.516,0","1.488,0","0,54K","-1,32%"
"27.03.2023","1.510,0","1.518,0","1.518,0","1.510,0","0,02K","0,53%"
"24.03.2023","1.502,0","1.504,0","1.504,0","1.502,0","0,09K","0,54%"
"23.03.2023","1.494,0","1.494,0","1.494,0","1.494,0","0,01K","-1,19%"
"22.03.2023","1.512,0","1.512,0","1.512,0","1.512,0","0,07K","1,61%"
"21.03.2023","1.488,0","1.472,0","1.488,0","1.464,0","0,49K","1,78%"
"20.03.2023","1.462,0","1.498,0","1.498,0","1.462,0","0,06K","0,00%"
"17.03.2023","1.462,0","1.478,0","1.488,0","1.462,0","0,02K","0,83%"
"16.03.2023","1.450,0","1.436,0","1.456,0","1.436,0","0,02K","3,72%"
"15.03.2023","1.398,0","1.398,0","1.398,0","1.398,0","0,00K","0,29%"
"14.03.2023","1.394,0","1.390,0","1.394,0","1.390,0","0,02K","1,16%"
"13.03.2023","1.378,0","1.352,0","1.378,0","1.340,0","0,04K","-4,04%"
"10.03.2023","1.436,0","1.442,0","1.442,0","1.436,0","0,02K","-0,83%"
"09.03.2023","1.448,0","1.310,0","1.452,0","1.310,0","0,07K","-0,55%"
