"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","205,64","206,63","206,92","203,20","3,81M","-0,18%"
"31.08.2023","206,01","203,00","207,98","201,18","7,98M","1,64%"
"30.08.2023","202,68","210,11","210,49","200,66","17,51M","-3,53%"
"29.08.2023","210,10","219,00","219,48","208,07","15,77M","-3,99%"
"28.08.2023","218,82","211,00","218,90","211,00","7,89M","3,78%"
"25.08.2023","210,86","212,10","212,64","208,82","4,76M","-0,20%"
"24.08.2023","211,29","211,20","213,78","208,35","5,73M","0,47%"
"23.08.2023","210,30","218,93","219,99","209,12","9,10M","-3,90%"
"22.08.2023","218,83","221,50","221,52","216,50","5,10M","-0,87%"
"21.08.2023","220,76","222,00","224,13","217,50","5,53M","-0,20%"
"18.08.2023","221,20","220,55","222,00","215,17","5,68M","0,82%"
"17.08.2023","219,40","221,98","224,00","215,38","6,49M","0,03%"
"16.08.2023","219,33","226,30","229,84","212,21","16,80M","-3,37%"
"15.08.2023","226,97","226,00","233,40","222,00","8,40M","-0,16%"
"14.08.2023","227,34","237,00","240,95","225,02","14,54M","-3,34%"
"11.08.2023","235,19","234,85","236,80","230,00","6,49M","0,53%"
"10.08.2023","233,94","224,50","236,50","224,31","10,12M","4,40%"
"09.08.2023","224,08","226,00","228,30","222,42","5,97M","-0,55%"
"08.08.2023","225,31","219,01","226,50","213,25","11,13M","2,46%"
"07.08.2023","219,91","226,00","229,70","217,54","10,08M","-2,47%"
"04.08.2023","225,47","234,96","238,36","213,70","22,29M","-4,02%"
"03.08.2023","234,92","231,77","236,42","228,20","12,59M","1,78%"
"02.08.2023","230,81","216,98","231,36","215,57","18,38M","6,17%"
"01.08.2023","217,40","217,20","219,35","211,61","6,73M","0,35%"
"31.07.2023","216,64","217,80","219,99","215,05","9,31M","0,30%"
"28.07.2023","215,99","214,40","217,80","208,50","10,28M","0,78%"
"27.07.2023","214,31","203,10","215,00","203,10","16,55M","5,59%"
"26.07.2023","202,96","191,10","203,60","191,05","17,26M","6,26%"
"25.07.2023","191,00","190,97","191,08","189,52","2,24M","0,21%"
"24.07.2023","190,60","188,86","190,90","188,36","2,51M","1,06%"
"21.07.2023","188,60","186,43","188,83","185,65","3,61M","0,87%"
"20.07.2023","186,98","191,24","191,31","186,50","5,11M","-1,93%"
"19.07.2023","190,66","192,01","193,59","189,52","3,81M","-0,59%"
"18.07.2023","191,79","187,28","192,42","186,84","5,77M","2,51%"
"17.07.2023","187,09","189,50","192,37","184,85","11,73M","-1,70%"
"14.07.2023","190,33","189,37","191,00","187,53","2,13M","0,24%"
"13.07.2023","189,87","191,39","193,87","188,36","3,09M","-0,79%"
"12.07.2023","191,39","189,99","193,00","188,00","3,75M","1,07%"
"11.07.2023","189,36","190,86","192,44","187,76","3,36M","-0,96%"
"10.07.2023","191,19","186,43","191,50","185,29","4,89M","3,18%"
"07.07.2023","185,29","186,28","187,85","182,99","4,46M","-0,55%"
"06.07.2023","186,32","189,31","194,15","182,02","12,37M","-1,18%"
"05.07.2023","188,55","177,28","188,98","176,20","12,95M","6,45%"
"04.07.2023","177,12","179,00","179,38","177,08","2,06M","-1,22%"
"03.07.2023","179,31","180,55","182,00","178,71","2,50M","-0,34%"
"30.06.2023","179,92","181,64","183,92","178,05","3,82M","-0,43%"
"29.06.2023","180,69","179,00","182,53","177,57","3,27M","1,07%"
"28.06.2023","178,77","179,38","180,79","176,21","2,75M","0,10%"
"27.06.2023","178,60","177,00","179,40","175,55","2,18M","1,35%"
"26.06.2023","176,22","177,50","179,49","172,50","4,30M","-0,40%"
"23.06.2023","176,93","179,60","181,43","174,55","4,49M","-1,83%"
"22.06.2023","180,22","183,89","186,20","179,20","4,37M","-2,00%"
"21.06.2023","183,89","177,98","184,90","176,29","6,36M","3,42%"
"20.06.2023","177,81","178,55","178,87","175,50","2,24M","-0,40%"
"19.06.2023","178,53","180,29","180,71","173,90","4,35M","-0,97%"
"16.06.2023","180,27","182,00","183,00","177,77","3,82M","-0,63%"
"15.06.2023","181,42","174,24","181,81","173,10","6,52M","4,37%"
"14.06.2023","173,82","176,50","176,59","172,83","2,39M","-0,95%"
"13.06.2023","175,49","174,02","177,00","173,39","3,22M","0,91%"
"09.06.2023","173,90","175,38","175,38","172,40","2,63M","-0,15%"
"08.06.2023","174,16","176,00","179,00","171,81","6,25M","-1,21%"
"07.06.2023","176,30","168,20","176,99","168,00","10,06M","4,85%"
"06.06.2023","168,14","168,00","168,38","161,87","10,42M","-0,02%"
"05.06.2023","168,17","174,15","174,37","167,80","5,54M","-3,18%"
"02.06.2023","173,70","171,53","179,00","171,00","11,47M","1,00%"
"01.06.2023","171,98","177,54","178,70","170,30","8,18M","-2,95%"
"31.05.2023","177,20","182,02","182,40","175,88","9,08M","-3,36%"
"30.05.2023","183,36","187,90","188,40","182,05","5,43M","-2,79%"
"29.05.2023","188,62","193,50","193,50","186,86","7,25M","-1,34%"
"26.05.2023","191,18","189,00","193,70","188,72","4,07M","0,70%"
"25.05.2023","189,85","191,05","191,48","187,51","2,11M","-0,80%"
"24.05.2023","191,38","187,59","191,92","185,25","4,08M","3,08%"
"23.05.2023","185,67","186,50","187,52","182,04","3,35M","-0,46%"
"22.05.2023","186,52","190,00","190,49","185,00","2,61M","-0,98%"
"19.05.2023","188,37","190,90","190,90","187,54","2,59M","-1,73%"
"18.05.2023","191,69","191,00","194,80","188,56","4,86M","0,75%"
"17.05.2023","190,27","188,11","191,80","186,24","3,61M","0,89%"
"16.05.2023","188,60","192,34","192,80","187,10","3,86M","-0,97%"
"15.05.2023","190,44","188,00","191,58","186,95","6,76M","1,90%"
"12.05.2023","186,89","187,40","191,85","182,02","9,59M","-0,12%"
"11.05.2023","187,11","190,10","198,67","176,02","22,14M","-1,31%"
"10.05.2023","189,60","177,00","189,89","176,73","10,33M","7,35%"
"08.05.2023","176,62","180,38","182,80","175,30","5,13M","-2,08%"
"05.05.2023","180,38","180,00","184,84","176,50","15,65M","0,38%"
"04.05.2023","179,70","167,50","179,77","167,01","18,15M","7,24%"
"03.05.2023","167,57","179,66","180,48","166,36","15,84M","-6,75%"
"02.05.2023","179,70","188,90","189,73","175,13","12,99M","-6,16%"
"28.04.2023","191,49","194,73","195,39","187,82","5,81M","-1,54%"
"27.04.2023","194,49","193,85","196,90","193,12","3,49M","0,35%"
"26.04.2023","193,82","195,27","198,51","192,00","5,96M","-1,07%"
"25.04.2023","195,92","201,11","201,75","195,48","4,21M","-2,29%"
"24.04.2023","200,51","196,90","203,38","195,00","8,19M","1,81%"
"21.04.2023","196,94","195,00","197,84","190,63","9,50M","1,32%"
"20.04.2023","194,38","199,00","202,45","191,00","19,11M","-1,96%"
"19.04.2023","198,26","195,84","208,44","191,61","40,73M","1,06%"
"18.04.2023","196,19","182,06","198,63","179,13","28,02M","7,94%"
"17.04.2023","181,75","176,96","181,99","174,99","8,75M","3,26%"
"14.04.2023","176,01","177,80","177,97","173,83","6,22M","-0,52%"
"13.04.2023","176,93","174,22","181,35","174,05","18,41M","1,92%"
"12.04.2023","173,60","166,63","174,00","165,60","12,32M","4,43%"
"11.04.2023","166,24","162,78","172,85","161,28","19,13M","2,13%"
"10.04.2023","162,78","155,79","164,68","154,32","8,72M","4,35%"
"07.04.2023","155,99","150,50","156,00","150,48","4,83M","3,50%"
"06.04.2023","150,71","152,85","153,15","150,27","3,14M","-1,39%"
"05.04.2023","152,83","152,00","153,84","147,58","7,31M","-0,01%"
"04.04.2023","152,85","157,10","159,22","152,32","9,00M","-2,52%"
"03.04.2023","156,80","155,01","157,01","154,50","3,64M","1,94%"
"31.03.2023","153,82","154,99","155,81","150,10","4,13M","-0,67%"
"30.03.2023","154,86","154,88","155,50","153,04","3,70M","-0,59%"
"29.03.2023","155,78","151,63","157,00","149,05","11,56M","3,10%"
"28.03.2023","151,09","143,52","151,72","141,72","10,30M","5,44%"
"27.03.2023","143,30","141,79","143,89","140,33","2,83M","1,42%"
"24.03.2023","141,29","140,00","141,97","138,10","2,25M","0,42%"
"23.03.2023","140,70","143,30","144,79","139,92","4,19M","-1,77%"
"22.03.2023","143,23","143,60","144,06","141,42","1,42M","-0,19%"
"21.03.2023","143,50","145,80","147,65","141,10","4,06M","-1,62%"
"20.03.2023","145,87","141,00","146,13","140,12","4,02M","3,68%"
"17.03.2023","140,69","139,98","141,29","138,92","4,06M","1,28%"
"16.03.2023","138,91","135,30","139,34","133,62","5,18M","1,97%"
"15.03.2023","136,23","139,00","140,50","135,16","4,21M","-1,76%"
"14.03.2023","138,67","139,01","141,60","137,34","3,99M","-0,42%"
"13.03.2023","139,26","141,10","144,47","136,43","8,15M","-1,08%"
"10.03.2023","140,78","135,79","141,71","134,55","6,41M","3,41%"
"09.03.2023","136,14","133,49","136,90","131,52","4,04M","2,52%"
"07.03.2023","132,79","129,50","133,00","128,61","3,01M","2,71%"
"06.03.2023","129,29","128,57","129,98","127,79","2,01M","0,70%"
"03.03.2023","128,39","124,80","128,40","124,71","1,56M","2,79%"
"02.03.2023","124,91","125,66","127,20","124,05","4,02M","-0,57%"
"01.03.2023","125,63","127,20","129,43","125,53","3,08M","-0,89%"
"28.02.2023","126,76","125,55","127,30","125,55","2,47M","1,28%"
"27.02.2023","125,16","121,88","125,99","121,71","3,76M","2,56%"
"24.02.2023","122,04","120,95","123,00","120,16","1,08M","0,86%"
"22.02.2023","121,00","122,83","122,87","120,51","1,11M","-1,26%"
"21.02.2023","122,54","119,01","124,93","118,65","2,74M","3,50%"
"20.02.2023","118,40","119,61","119,79","116,11","1,67M","-0,87%"
"17.02.2023","119,44","118,11","119,50","117,41","1,35M","0,54%"
"16.02.2023","118,80","116,25","119,80","116,25","3,34M","2,71%"
"15.02.2023","115,66","121,00","121,00","115,16","3,03M","-4,96%"
"14.02.2023","121,70","124,80","124,80","120,68","3,42M","-2,51%"
"13.02.2023","124,83","124,41","125,79","124,12","1,31M","0,22%"
"10.02.2023","124,55","124,49","125,52","123,81","2,03M","0,02%"
"09.02.2023","124,53","125,00","125,48","122,50","2,67M","-0,19%"
"08.02.2023","124,77","127,42","128,69","124,11","4,47M","-1,68%"
"07.02.2023","126,90","125,99","128,47","124,05","6,17M","1,41%"
