"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","283,70","284,60","285,40","283,00","3,26M","-0,14%"
"31.08.2023","284,10","286,45","287,50","283,00","5,36M","-0,72%"
"30.08.2023","286,15","288,05","288,50","283,45","4,76M","-0,66%"
"29.08.2023","288,05","290,15","290,70","286,00","5,16M","-0,72%"
"28.08.2023","290,15","290,60","292,10","289,30","3,44M","0,40%"
"25.08.2023","289,00","288,95","290,70","287,05","2,03M","0,12%"
"24.08.2023","288,65","286,30","289,50","286,00","2,24M","1,10%"
"23.08.2023","285,50","293,50","294,00","284,80","6,52M","-2,56%"
"22.08.2023","293,00","293,25","293,95","288,00","8,39M","0,21%"
"21.08.2023","292,40","295,00","295,50","290,60","7,62M","-0,17%"
"18.08.2023","292,90","281,90","293,95","279,70","9,28M","4,09%"
"17.08.2023","281,40","282,80","284,00","278,55","4,09M","-0,20%"
"16.08.2023","281,95","283,20","285,35","277,70","6,91M","-0,44%"
"15.08.2023","283,20","282,90","289,00","279,15","10,19M","-0,35%"
"14.08.2023","284,20","293,35","295,00","282,25","10,97M","-2,65%"
"11.08.2023","291,95","290,45","292,75","289,30","4,33M","0,59%"
"10.08.2023","290,25","290,60","291,60","289,00","2,81M","0,22%"
"09.08.2023","289,60","292,00","292,50","288,30","2,83M","-0,34%"
"08.08.2023","290,60","290,00","291,00","286,10","3,96M","0,19%"
"07.08.2023","290,05","291,00","293,95","285,30","5,19M","0,57%"
"04.08.2023","288,40","291,50","298,35","278,20","16,77M","-0,81%"
"03.08.2023","290,75","289,80","291,35","288,05","4,39M","0,41%"
"02.08.2023","289,55","290,00","291,60","288,50","3,85M","-0,29%"
"01.08.2023","290,40","290,50","292,30","288,50","4,85M","0,10%"
"31.07.2023","290,10","287,60","291,50","287,60","6,49M","0,89%"
"28.07.2023","287,55","288,15","288,15","287,30","3,35M","-0,21%"
"27.07.2023","288,15","288,95","289,25","287,30","5,17M","-0,28%"
"26.07.2023","288,95","291,20","291,25","287,80","5,70M","-0,72%"
"25.07.2023","291,05","292,00","292,60","289,75","5,28M","-0,15%"
"24.07.2023","291,50","293,20","296,00","290,35","4,54M","-0,39%"
"21.07.2023","292,65","292,10","294,00","288,60","4,45M","0,19%"
"20.07.2023","292,10","298,10","298,10","291,20","5,37M","-1,75%"
"19.07.2023","297,30","296,50","301,35","296,00","4,48M","0,42%"
"18.07.2023","296,05","295,15","296,40","294,50","3,24M","0,30%"
"17.07.2023","295,15","295,60","296,90","293,70","3,26M","-0,56%"
"14.07.2023","296,80","297,85","299,75","296,00","2,97M","-0,35%"
"13.07.2023","297,85","298,00","299,00","291,20","5,24M","-0,28%"
"12.07.2023","298,70","300,10","300,60","297,65","3,62M","-0,43%"
"11.07.2023","300,00","302,70","302,75","298,10","3,88M","-0,73%"
"10.07.2023","302,20","296,05","303,05","295,50","6,16M","1,91%"
"07.07.2023","296,55","297,00","297,75","295,20","3,19M","0,14%"
"06.07.2023","296,15","299,40","299,80","295,00","4,46M","-0,85%"
"05.07.2023","298,70","293,40","299,00","293,20","7,27M","2,12%"
"04.07.2023","292,50","287,10","296,60","286,30","10,37M","1,63%"
"03.07.2023","287,80","296,00","296,00","287,05","12,40M","-3,02%"
"30.06.2023","296,75","301,70","304,00","295,65","9,88M","-2,22%"
"29.06.2023","303,50","305,10","309,00","301,10","9,59M","-0,64%"
"28.06.2023","305,45","314,20","315,80","302,75","33,00M","-11,96%"
"27.06.2023","346,95","344,00","347,00","341,15","16,68M","0,80%"
"26.06.2023","344,20","345,00","346,65","338,35","13,08M","1,31%"
"23.06.2023","339,75","345,65","345,95","336,00","6,30M","-1,69%"
"22.06.2023","345,60","345,60","347,75","345,00","4,55M","-0,27%"
"21.06.2023","346,55","346,00","348,90","344,70","6,41M","0,26%"
"20.06.2023","345,65","343,10","347,80","335,05","9,71M","0,57%"
"19.06.2023","343,70","345,00","347,95","341,45","7,87M","0,51%"
"16.06.2023","341,95","337,00","342,00","335,35","6,30M","1,60%"
"15.06.2023","336,55","331,00","337,35","330,00","6,71M","1,89%"
"14.06.2023","330,30","331,45","331,55","326,45","2,87M","-0,06%"
"13.06.2023","330,50","330,00","331,95","328,50","3,93M","0,49%"
"09.06.2023","328,90","324,80","329,35","324,40","3,55M","1,26%"
"08.06.2023","324,80","326,50","327,20","323,25","3,30M","-0,55%"
"07.06.2023","326,60","328,90","328,95","325,05","3,20M","-0,41%"
"06.06.2023","327,95","329,00","329,60","325,40","5,24M","-0,50%"
"05.06.2023","329,60","330,00","333,70","325,00","8,73M","0,84%"
"02.06.2023","326,85","319,45","327,00","317,50","9,26M","2,99%"
"01.06.2023","317,35","317,50","319,00","315,65","2,82M","0,08%"
"31.05.2023","317,10","317,00","318,75","313,65","4,09M","0,16%"
"30.05.2023","316,60","312,65","319,95","311,05","6,24M","0,94%"
"29.05.2023","313,65","309,35","314,90","308,75","5,18M","1,83%"
"26.05.2023","308,00","306,05","308,15","306,05","2,52M","0,52%"
"25.05.2023","306,40","306,90","306,90","303,65","2,68M","0,07%"
"24.05.2023","306,20","307,00","308,60","305,00","2,77M","-0,21%"
"23.05.2023","306,85","305,85","308,00","301,65","3,78M","0,51%"
"22.05.2023","305,30","309,00","309,75","301,50","4,14M","-0,88%"
"19.05.2023","308,00","313,00","313,00","305,60","8,64M","-1,77%"
"18.05.2023","313,55","294,00","314,95","290,75","16,91M","6,98%"
"17.05.2023","293,10","294,80","295,00","290,55","2,73M","-0,24%"
"16.05.2023","293,80","288,00","295,55","285,95","5,66M","2,33%"
"15.05.2023","287,10","278,80","288,00","277,65","8,18M","3,87%"
"12.05.2023","276,40","272,50","276,65","270,00","1,75M","1,43%"
"11.05.2023","272,50","273,85","278,10","265,60","3,39M","-0,06%"
"10.05.2023","272,65","263,60","274,00","262,55","2,21M","3,43%"
"08.05.2023","263,60","267,20","267,70","262,40","770,21K","-0,94%"
"05.05.2023","266,10","268,80","269,90","266,00","1,02M","-1,00%"
"04.05.2023","268,80","266,60","269,85","265,40","1,52M","1,41%"
"03.05.2023","265,05","270,70","271,25","264,50","3,44M","-2,09%"
"02.05.2023","270,70","273,75","276,50","265,55","2,87M","-0,53%"
"28.04.2023","272,15","274,00","274,05","270,30","968,12K","-0,55%"
"27.04.2023","273,65","272,90","274,15","270,05","1,29M","0,27%"
"26.04.2023","272,90","271,40","274,00","270,60","1,92M","0,59%"
"25.04.2023","271,30","269,50","271,40","267,00","1,37M","0,76%"
"24.04.2023","269,25","266,40","270,50","265,45","2,19M","1,07%"
"21.04.2023","266,40","269,90","269,90","265,00","1,26M","-0,73%"
"20.04.2023","268,35","267,30","270,40","261,30","2,60M","0,62%"
"19.04.2023","266,70","265,40","272,25","264,00","4,93M","0,49%"
