"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","202,00","204,58","205,00","200,56","4,88M","-1,13%"
"31.08.2023","204,30","200,18","204,48","197,68","8,78M","2,35%"
"30.08.2023","199,60","197,90","201,38","195,64","6,81M","0,86%"
"29.08.2023","197,90","201,70","202,84","197,42","8,24M","-1,69%"
"28.08.2023","201,30","195,96","201,64","195,96","6,55M","2,97%"
"25.08.2023","195,50","196,40","197,08","194,34","4,65M","-0,46%"
"24.08.2023","196,40","194,38","197,58","194,18","7,49M","1,34%"
"23.08.2023","193,80","199,00","203,00","193,04","15,98M","-2,42%"
"22.08.2023","198,60","197,82","200,00","194,80","5,03M","0,69%"
"21.08.2023","197,24","195,00","197,84","194,44","6,82M","1,47%"
"18.08.2023","194,38","191,40","194,62","189,00","5,18M","1,75%"
"17.08.2023","191,04","191,56","193,44","188,02","6,20M","-0,03%"
"16.08.2023","191,10","196,60","198,14","188,14","12,58M","-3,06%"
"15.08.2023","197,14","196,50","203,18","195,42","7,45M","-0,01%"
"14.08.2023","197,16","204,30","207,10","195,18","10,41M","-3,32%"
"11.08.2023","203,94","205,50","207,78","201,82","4,87M","-0,66%"
"10.08.2023","205,30","203,02","205,54","200,26","4,28M","1,38%"
"09.08.2023","202,50","202,88","206,50","201,94","5,90M","0,14%"
"08.08.2023","202,22","201,58","202,84","198,52","7,11M","-0,07%"
"07.08.2023","202,36","208,00","210,00","200,16","8,19M","-2,07%"
"04.08.2023","206,64","213,42","213,42","206,20","9,70M","-2,77%"
"03.08.2023","212,52","210,40","213,50","209,20","5,26M","0,93%"
"02.08.2023","210,56","211,36","213,66","209,02","5,90M","-0,68%"
"01.08.2023","212,00","212,04","214,98","209,40","7,29M","0,26%"
"31.07.2023","211,44","205,30","212,00","205,10","7,77M","3,42%"
"28.07.2023","204,44","202,78","205,40","202,12","5,49M","0,53%"
"27.07.2023","203,36","196,44","206,42","195,00","14,89M","3,68%"
"26.07.2023","196,14","197,50","197,82","194,40","4,41M","-0,60%"
"25.07.2023","197,32","192,30","198,08","191,42","6,54M","2,74%"
"24.07.2023","192,06","192,30","193,66","190,64","3,25M","-0,12%"
"21.07.2023","192,30","190,28","192,38","189,00","3,73M","1,06%"
"20.07.2023","190,28","192,00","193,74","189,66","6,00M","-1,04%"
"19.07.2023","192,28","193,20","193,24","190,80","3,38M","-0,33%"
"18.07.2023","192,92","193,86","196,48","190,62","10,92M","-0,56%"
"17.07.2023","194,00","191,98","196,00","190,30","9,14M","0,26%"
"14.07.2023","193,50","184,88","193,50","183,80","10,42M","4,45%"
"13.07.2023","185,26","184,98","187,68","183,80","4,37M","0,48%"
"12.07.2023","184,38","181,28","185,24","181,00","6,42M","1,74%"
"11.07.2023","181,22","181,02","182,16","180,28","2,76M","-0,30%"
"10.07.2023","181,76","182,40","182,60","180,00","6,11M","0,23%"
"07.07.2023","181,34","177,90","181,92","176,66","6,53M","1,76%"
"06.07.2023","178,20","179,52","182,38","176,70","8,24M","-0,51%"
"05.07.2023","179,12","175,90","179,84","175,68","5,58M","2,03%"
