"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","362,35","365,00","365,00","356,70","873,04K","-0,59%"
"31.08.2023","364,50","368,00","369,80","362,35","738,97K","-1,00%"
"30.08.2023","368,20","368,00","369,85","364,50","727,32K","0,29%"
"29.08.2023","367,15","371,00","373,00","365,40","1,14M","-1,04%"
"28.08.2023","371,00","355,00","371,90","354,00","2,87M","4,80%"
"25.08.2023","354,00","356,55","357,30","352,45","426,16K","-0,08%"
"24.08.2023","354,30","357,20","359,75","349,35","1,41M","-1,96%"
"23.08.2023","361,40","365,20","368,35","352,95","1,44M","-1,04%"
"22.08.2023","365,20","360,30","366,90","360,25","1,36M","1,37%"
"21.08.2023","360,25","348,30","360,50","347,05","1,24M","3,48%"
"18.08.2023","348,15","348,30","350,40","344,25","409,03K","-0,03%"
"17.08.2023","348,25","346,00","351,35","341,05","936,88K","1,24%"
"16.08.2023","344,00","358,50","362,00","337,00","2,75M","-5,05%"
"15.08.2023","362,30","357,00","368,45","348,10","1,68M","-0,47%"
"14.08.2023","364,00","373,30","376,50","360,50","1,91M","-2,15%"
"11.08.2023","372,00","372,30","379,50","367,05","2,88M","-0,08%"
"10.08.2023","372,30","377,15","382,85","364,15","6,96M","-1,27%"
"09.08.2023","377,10","387,00","398,55","376,20","4,49M","-2,26%"
"08.08.2023","385,80","358,70","388,00","343,10","6,37M","7,54%"
"07.08.2023","358,75","357,20","372,40","357,05","1,59M","0,99%"
"04.08.2023","355,25","368,00","380,00","339,00","4,23M","-2,64%"
"03.08.2023","364,90","358,00","369,00","358,00","1,67M","2,00%"
"02.08.2023","357,75","358,00","362,00","356,05","1,12M","0,49%"
"01.08.2023","356,00","350,00","363,15","342,30","3,36M","2,31%"
"31.07.2023","347,95","336,25","349,00","336,00","1,63M","3,83%"
"28.07.2023","335,10","337,00","337,90","331,20","795,82K","-0,46%"
"27.07.2023","336,65","335,00","344,25","333,00","1,99M","0,97%"
"26.07.2023","333,40","325,50","339,00","325,50","3,97M","2,60%"
"25.07.2023","324,95","321,80","327,30","321,00","754,16K","0,98%"
"24.07.2023","321,80","323,80","327,45","320,00","1,24M","-0,63%"
"21.07.2023","323,85","325,00","329,00","317,00","5,48M","-1,28%"
"20.07.2023","328,05","311,50","338,45","302,50","10,83M","5,74%"
"19.07.2023","310,25","298,60","314,80","296,60","5,17M","4,23%"
"18.07.2023","297,65","297,90","298,70","295,55","675,27K","0,59%"
"17.07.2023","295,90","294,35","298,00","293,75","604,75K","0,10%"
"14.07.2023","295,60","295,70","295,95","294,05","260,60K","-0,05%"
"13.07.2023","295,75","296,10","298,85","294,00","619,54K","-0,12%"
"12.07.2023","296,10","296,00","296,95","293,50","949,39K","0,30%"
"11.07.2023","295,20","299,00","302,40","295,00","1,75M","-0,87%"
"10.07.2023","297,80","297,00","300,00","296,15","412,53K","0,40%"
"07.07.2023","296,60","296,30","298,95","295,00","357,94K","0,10%"
"06.07.2023","296,30","298,40","301,70","295,25","634,97K","-0,20%"
"05.07.2023","296,90","297,00","303,60","293,10","1,28M","0,02%"
"04.07.2023","296,85","297,95","297,95","293,00","355,19K","0,51%"
"03.07.2023","295,35","296,55","297,80","295,00","547,17K","0,63%"
"30.06.2023","293,50","289,50","296,00","289,05","551,88K","1,31%"
"29.06.2023","289,70","291,00","293,00","288,25","412,68K","0,28%"
"28.06.2023","288,90","292,00","294,00","285,20","576,87K","-0,62%"
"27.06.2023","290,70","290,95","291,70","287,40","355,66K","0,61%"
"26.06.2023","288,95","290,00","294,00","286,35","833,86K","-1,10%"
"23.06.2023","292,15","295,65","296,85","291,60","933,10K","-2,13%"
"22.06.2023","298,50","301,90","304,80","297,00","662,64K","-1,13%"
"21.06.2023","301,90","300,75","306,15","297,95","1,50M","1,33%"
"20.06.2023","297,95","293,70","302,00","291,20","2,24M","1,45%"
"19.06.2023","293,70","293,10","294,95","291,20","653,63K","1,05%"
"16.06.2023","290,65","285,25","293,90","284,90","1,40M","2,22%"
"15.06.2023","284,35","284,60","286,00","282,45","377,07K","0,07%"
"14.06.2023","284,15","284,80","286,85","280,20","424,26K","0,09%"
"13.06.2023","283,90","284,50","284,90","283,00","263,01K","0,26%"
"09.06.2023","283,15","284,30","285,65","282,60","170,24K","-0,40%"
"08.06.2023","284,30","285,00","288,00","282,40","388,21K","-0,12%"
"07.06.2023","284,65","284,20","286,90","282,05","319,53K","0,14%"
"06.06.2023","284,25","277,00","284,25","275,40","545,75K","1,63%"
"05.06.2023","279,70","287,00","287,85","279,60","456,62K","-1,98%"
"02.06.2023","285,35","281,50","287,50","281,45","460,92K","1,39%"
"01.06.2023","281,45","285,00","287,65","277,05","1,35M","-1,25%"
"31.05.2023","285,00","289,00","289,65","282,05","566,61K","-1,38%"
"30.05.2023","289,00","293,50","302,20","276,45","2,32M","-2,30%"
