"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","1.327,0","1.321,5","1.330,0","1.316,0","1,72K","0,68%"
"31.08.2023","1.318,0","1.317,0","1.335,5","1.315,0","6,49K","0,38%"
"30.08.2023","1.313,0","1.278,5","1.331,5","1.278,5","29,65K","-0,15%"
"29.08.2023","1.315,0","1.282,0","1.331,0","1.282,0","5,91K","-0,19%"
"28.08.2023","1.317,5","1.306,0","1.324,0","1.300,0","48,12K","0,73%"
"25.08.2023","1.308,0","1.317,0","1.317,0","1.298,0","1,88K","0,69%"
"24.08.2023","1.299,0","1.300,5","1.301,5","1.286,5","1,34K","-0,61%"
"23.08.2023","1.307,0","1.315,5","1.322,0","1.296,5","22,17K","-0,46%"
"22.08.2023","1.313,0","1.288,5","1.319,0","1.288,5","1,85K","-0,04%"
"21.08.2023","1.313,5","1.293,5","1.319,5","1.286,0","19,89K","2,06%"
"18.08.2023","1.287,0","1.255,0","1.290,5","1.255,0","17,20K","1,50%"
"17.08.2023","1.268,0","1.271,5","1.289,0","1.256,5","37,99K","0,20%"
"16.08.2023","1.265,5","1.274,5","1.299,5","1.242,5","11,82K","-2,62%"
"15.08.2023","1.299,5","1.299,0","1.322,5","1.276,0","7,47K","0,70%"
"14.08.2023","1.290,5","1.269,0","1.344,0","1.268,5","6,54K","-1,83%"
"11.08.2023","1.314,5","1.316,0","1.324,5","1.310,0","12,24K","-0,08%"
"10.08.2023","1.315,5","1.300,5","1.319,5","1.292,5","58,49K","1,58%"
"09.08.2023","1.295,0","1.300,0","1.306,0","1.287,5","19,22K","-0,04%"
"08.08.2023","1.295,5","1.240,0","1.296,0","1.239,0","2,83K","0,12%"
"07.08.2023","1.294,0","1.240,0","1.319,5","1.240,0","47,27K","0,00%"
"04.08.2023","1.294,0","1.296,5","1.339,0","1.282,0","92,54K","-0,54%"
"03.08.2023","1.301,0","1.306,5","1.313,0","1.290,0","1,53K","-0,46%"
"02.08.2023","1.307,0","1.300,5","1.312,5","1.294,0","1,03K","0,31%"
"01.08.2023","1.303,0","1.275,5","1.305,0","1.271,0","44,75K","1,36%"
"31.07.2023","1.285,5","1.304,5","1.304,5","1.259,0","4,46K","1,62%"
"28.07.2023","1.265,0","1.247,0","1.268,5","1.240,0","2,70K","2,10%"
"27.07.2023","1.239,0","1.246,0","1.251,5","1.239,0","6,20K","-1,47%"
"26.07.2023","1.257,5","1.238,5","1.258,0","1.236,0","1,59K","1,82%"
"25.07.2023","1.235,0","1.247,5","1.250,0","1.230,5","2,65K","-0,08%"
"24.07.2023","1.236,0","1.238,5","1.244,5","1.225,5","1,64K","-0,16%"
"21.07.2023","1.238,0","1.152,0","1.239,5","1.152,0","31,27K","1,35%"
"20.07.2023","1.221,5","1.231,0","1.240,5","1.213,5","5,92K","-1,73%"
"19.07.2023","1.243,0","1.236,5","1.250,5","1.235,0","49,86K","0,36%"
"18.07.2023","1.238,5","1.214,0","1.250,0","1.214,0","8,14K","1,85%"
