"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","113,18","113,30","113,42","111,10","801,24K","0,73%"
"31.08.2023","112,36","114,10","114,64","111,56","654,45K","-0,55%"
"30.08.2023","112,98","111,04","114,20","111,00","1,69M","2,24%"
"29.08.2023","110,50","113,74","114,88","110,08","1,45M","-2,66%"
"28.08.2023","113,52","114,88","117,90","112,90","1,94M","0,21%"
"25.08.2023","113,28","115,40","120,50","113,20","3,50M","0,02%"
"24.08.2023","113,26","115,98","119,60","112,20","1,23M","-2,53%"
"23.08.2023","116,20","119,20","119,82","113,60","1,43M","-2,30%"
"22.08.2023","118,94","125,00","125,00","112,80","5,35M","0,37%"
"21.08.2023","118,50","106,00","118,88","105,50","5,01M","12,86%"
"18.08.2023","105,00","97,82","107,00","96,00","4,48M","10,06%"
"17.08.2023","95,40","93,86","95,58","92,18","272,65K","2,76%"
"16.08.2023","92,84","94,76","95,78","89,00","1,07M","-1,98%"
"15.08.2023","94,72","93,18","96,00","91,06","548,40K","0,81%"
"14.08.2023","93,96","95,24","98,00","93,00","883,15K","-0,97%"
"11.08.2023","94,88","95,54","95,64","94,12","171,09K","0,23%"
"10.08.2023","94,66","96,40","96,40","93,00","512,29K","-0,15%"
"09.08.2023","94,80","93,10","96,36","92,56","840,70K","1,89%"
"08.08.2023","93,04","91,98","96,50","86,62","1,15M","2,02%"
"07.08.2023","91,20","92,22","93,70","90,80","406,46K","-1,15%"
"04.08.2023","92,26","95,00","96,50","87,50","926,85K","-2,84%"
"03.08.2023","94,96","94,20","97,00","93,50","576,63K","1,47%"
"02.08.2023","93,58","93,90","94,04","93,02","309,92K","-0,13%"
"01.08.2023","93,70","94,48","94,64","93,02","332,27K","-0,19%"
"31.07.2023","93,88","95,00","95,00","93,00","430,19K","-0,04%"
"28.07.2023","93,92","94,50","95,20","92,48","556,95K","0,30%"
"27.07.2023","93,64","94,00","98,00","92,10","3,39M","3,88%"
"26.07.2023","90,14","90,30","90,48","87,90","450,33K","0,49%"
"25.07.2023","89,70","88,00","90,52","87,78","787,02K","2,30%"
"24.07.2023","87,68","88,46","88,46","87,00","335,48K","0,85%"
"21.07.2023","86,94","88,50","88,50","85,80","414,91K","-0,98%"
"20.07.2023","87,80","88,00","89,56","86,10","453,10K","-1,35%"
"19.07.2023","89,00","91,00","91,14","87,22","817,84K","-1,18%"
"18.07.2023","90,06","92,00","93,46","89,00","1,35M","-1,01%"
"17.07.2023","90,98","86,60","90,98","84,12","1,73M","4,96%"
"14.07.2023","86,68","85,50","87,50","83,80","932,79K","1,69%"
"13.07.2023","85,24","85,08","86,80","82,00","1,13M","0,61%"
"12.07.2023","84,72","84,98","86,22","82,38","818,21K","-0,24%"
"11.07.2023","84,92","85,32","85,60","84,26","230,47K","-0,49%"
"10.07.2023","85,34","87,00","87,00","84,26","592,42K","0,99%"
"07.07.2023","84,50","88,70","89,60","80,88","3,06M","-3,98%"
"06.07.2023","88,00","89,48","92,80","86,00","1,47M","-0,36%"
"05.07.2023","88,32","88,32","92,00","86,22","2,64M","0,39%"
"04.07.2023","87,98","83,38","89,60","81,34","4,16M","6,41%"
"03.07.2023","82,68","79,76","84,20","76,90","2,71M","4,74%"
"30.06.2023","78,94","79,00","79,50","77,28","322,44K","0,51%"
"29.06.2023","78,54","79,24","81,58","75,74","1,90M","-1,65%"
"28.06.2023","79,86","73,02","80,00","71,76","3,53M","11,38%"
"27.06.2023","71,70","70,34","74,00","68,80","912,15K","1,93%"
"26.06.2023","70,34","69,50","71,36","67,58","354,99K","1,59%"
"23.06.2023","69,24","71,42","72,32","68,80","775,95K","-3,16%"
"22.06.2023","71,50","71,40","72,04","71,28","125,85K","-0,14%"
"21.06.2023","71,60","71,80","72,06","71,30","181,86K","-0,42%"
"20.06.2023","71,90","72,30","72,86","71,08","287,39K","-0,22%"
"19.06.2023","72,06","73,40","73,40","71,70","307,84K","-1,83%"
"16.06.2023","73,40","73,48","73,50","71,50","245,51K","1,05%"
"15.06.2023","72,64","71,68","73,06","71,10","292,52K","1,59%"
"14.06.2023","71,50","71,36","72,22","70,58","271,12K","0,20%"
"13.06.2023","71,36","72,00","72,00","70,74","207,75K","0,62%"
"09.06.2023","70,92","72,02","72,02","70,74","229,66K","-0,25%"
"08.06.2023","71,10","71,54","73,20","70,90","480,39K","-0,62%"
"07.06.2023","71,54","70,72","72,98","70,50","658,06K","1,48%"
"06.06.2023","70,50","68,70","72,12","67,00","1,23M","2,53%"
"05.06.2023","68,76","69,32","70,46","68,52","413,28K","-2,77%"
"02.06.2023","70,72","70,76","70,96","69,02","365,17K","1,12%"
"01.06.2023","69,94","68,50","72,38","68,30","2,95M","2,70%"
"31.05.2023","68,10","67,00","68,12","66,12","253,71K","2,19%"
"30.05.2023","66,64","67,00","67,92","66,10","341,70K","-1,19%"
"29.05.2023","67,44","67,80","68,70","65,86","549,92K","-0,82%"
"26.05.2023","68,00","67,62","70,18","65,80","1,16M","1,25%"
"25.05.2023","67,16","69,28","69,34","65,26","488,48K","-2,33%"
"24.05.2023","68,76","70,32","70,90","68,52","416,61K","-0,12%"
"23.05.2023","68,84","71,50","71,50","65,62","1,03M","-1,83%"
"22.05.2023","70,12","69,00","71,46","66,98","1,56M","2,75%"
"19.05.2023","68,24","67,14","69,76","67,12","944,54K","1,64%"
"18.05.2023","67,14","64,40","68,48","64,08","1,58M","4,25%"
"17.05.2023","64,40","64,26","64,76","64,08","107,86K","-0,09%"
"16.05.2023","64,46","65,50","65,50","64,30","122,70K","-0,80%"
"15.05.2023","64,98","65,00","66,00","64,50","261,02K","0,84%"
