"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","18,05","18,19","18,24","17,53","1,11M","0,33%"
"31.08.2023","17,99","18,30","18,39","17,80","922,69K","-1,67%"
"30.08.2023","18,29","18,13","18,38","17,96","689,96K","0,99%"
"29.08.2023","18,11","18,03","18,17","17,81","443,86K","0,64%"
"28.08.2023","18,00","17,93","18,07","17,83","500,63K","0,28%"
"25.08.2023","17,94","17,61","17,94","17,61","629,88K","1,01%"
"24.08.2023","17,76","17,48","17,80","17,48","904,70K","1,08%"
"23.08.2023","17,58","17,45","17,64","17,43","631,30K","0,75%"
"22.08.2023","17,44","17,91","17,91","17,39","532,41K","-1,33%"
"21.08.2023","17,68","17,55","17,99","17,15","1,03M","2,43%"
"18.08.2023","17,26","17,39","17,40","17,02","641,60K","-0,69%"
"17.08.2023","17,38","17,31","17,59","16,84","1,98M","0,20%"
"16.08.2023","17,34","17,92","18,13","17,09","4,56M","-4,36%"
"15.08.2023","18,14","17,90","18,50","17,37","973,96K","-0,22%"
"14.08.2023","18,17","19,98","21,08","17,30","5,18M","-2,81%"
"11.08.2023","18,70","18,33","18,71","18,29","784,54K","1,99%"
"10.08.2023","18,33","18,22","18,36","17,95","616,29K","0,44%"
"09.08.2023","18,25","19,00","19,00","17,99","1,13M","0,36%"
"08.08.2023","18,19","18,09","18,19","17,99","1,03M","0,72%"
"07.08.2023","18,06","17,93","18,30","17,85","1,15M","1,26%"
"04.08.2023","17,83","17,80","17,94","17,65","966,88K","0,56%"
"03.08.2023","17,74","17,60","17,83","17,57","733,69K","0,11%"
"02.08.2023","17,72","17,45","17,74","17,45","604,43K","1,23%"
"01.08.2023","17,50","17,41","17,58","17,39","682,47K","0,55%"
"31.07.2023","17,41","17,19","17,44","17,17","781,36K","0,96%"
"28.07.2023","17,24","17,21","17,25","17,13","656,55K","0,29%"
"27.07.2023","17,19","17,35","17,35","17,15","544,70K","-0,69%"
"26.07.2023","17,31","17,34","17,34","17,17","396,42K","-0,17%"
"25.07.2023","17,34","17,41","17,41","17,00","324,63K","0,03%"
"24.07.2023","17,33","17,94","17,94","17,31","741,22K","-0,66%"
"21.07.2023","17,45","17,50","17,51","17,34","261,22K","0,52%"
"20.07.2023","17,36","17,63","17,70","17,35","741,63K","-1,11%"
"19.07.2023","17,56","17,65","17,66","17,36","818,22K","1,12%"
"18.07.2023","17,36","17,26","17,43","17,15","517,68K","0,46%"
"17.07.2023","17,28","17,02","17,29","17,02","506,07K","1,17%"
"14.07.2023","17,08","16,70","17,15","16,70","757,78K","0,74%"
"13.07.2023","16,95","17,27","17,27","16,90","593,84K","-0,85%"
"12.07.2023","17,10","17,05","17,25","16,90","386,55K","0,62%"
"11.07.2023","17,00","17,10","17,10","16,76","978,24K","0,27%"
"10.07.2023","16,95","16,83","17,10","16,83","466,98K","-1,17%"
"07.07.2023","17,15","16,95","17,18","16,74","381,78K","2,79%"
"06.07.2023","16,68","16,83","17,50","16,51","1,19M","-1,74%"
"05.07.2023","16,98","16,50","17,00","16,48","682,85K","3,22%"
"04.07.2023","16,45","16,52","17,00","16,29","740,52K","0,18%"
"03.07.2023","16,42","16,39","16,49","16,10","526,76K","1,58%"
"30.06.2023","16,17","16,05","16,39","15,87","879,58K","1,28%"
"29.06.2023","15,96","15,85","15,97","15,77","1,08M","0,98%"
"28.06.2023","15,81","15,80","15,90","15,73","267,05K","0,29%"
"27.06.2023","15,76","15,76","15,82","15,63","246,97K","0,19%"
"26.06.2023","15,73","15,94","15,94","15,64","380,14K","0,38%"
"23.06.2023","15,67","15,50","15,73","15,45","807,29K","0,71%"
"22.06.2023","15,56","15,73","15,73","15,41","981,97K","-0,86%"
"21.06.2023","15,69","15,77","15,79","15,64","349,48K","-0,44%"
"20.06.2023","15,77","15,80","15,94","15,69","1,03M","0,32%"
"19.06.2023","15,72","15,84","15,86","15,64","367,69K","-0,60%"
"16.06.2023","15,81","15,69","15,94","15,67","361,82K","0,25%"
"15.06.2023","15,77","15,72","15,88","15,63","1,44M","0,13%"
"14.06.2023","15,75","15,84","15,94","15,74","351,95K","-0,35%"
"13.06.2023","15,81","15,71","15,85","15,56","417,00K","1,25%"
"09.06.2023","15,61","15,57","15,70","15,50","329,34K","-0,06%"
"08.06.2023","15,62","15,53","15,72","15,35","403,38K","0,68%"
"07.06.2023","15,52","15,57","15,69","15,40","430,07K","-0,39%"
"06.06.2023","15,57","15,45","15,60","15,35","364,46K","1,01%"
"05.06.2023","15,42","15,51","15,51","15,30","460,11K","-0,80%"
"02.06.2023","15,55","15,47","15,65","15,38","413,04K","1,01%"
"01.06.2023","15,39","15,30","15,56","15,30","350,07K","0,39%"
"31.05.2023","15,33","15,23","15,34","15,21","241,01K","0,36%"
"30.05.2023","15,27","15,27","15,30","15,05","387,64K","0,49%"
"29.05.2023","15,20","15,34","15,34","15,12","459,74K","-0,75%"
"26.05.2023","15,31","15,33","15,41","15,26","272,75K","-0,03%"
"25.05.2023","15,32","15,40","15,40","15,25","360,42K","-0,33%"
"24.05.2023","15,37","15,39","15,40","15,33","190,28K","-0,07%"
"23.05.2023","15,38","15,45","15,48","15,33","353,76K","-0,49%"
"22.05.2023","15,45","15,55","15,55","15,26","263,21K","-0,39%"
"19.05.2023","15,52","15,50","15,52","15,38","246,47K","0,13%"
"18.05.2023","15,49","15,45","15,53","15,40","253,36K","-0,26%"
"17.05.2023","15,53","15,64","15,78","15,31","652,16K","-0,35%"
"16.05.2023","15,59","15,58","15,65","15,52","307,68K","0,81%"
"15.05.2023","15,47","15,20","15,61","15,20","509,98K","1,58%"
"12.05.2023","15,23","15,32","15,32","14,97","795,18K","-0,91%"
"11.05.2023","15,36","15,31","15,55","14,90","816,29K","0,75%"
"10.05.2023","15,25","15,55","15,59","15,15","917,71K","-1,61%"
"08.05.2023","15,50","15,73","15,73","15,30","189,28K","0,68%"
"05.05.2023","15,40","15,74","15,74","15,31","964,75K","-2,25%"
"04.05.2023","15,75","15,89","15,94","15,62","477,54K","-0,51%"
"03.05.2023","15,83","15,79","15,87","15,60","723,82K","1,28%"
"02.05.2023","15,63","15,74","15,80","15,40","615,85K","-0,54%"
"28.04.2023","15,72","16,08","16,08","15,35","529,62K","-1,04%"
"27.04.2023","15,88","16,20","16,20","15,84","535,39K","0,28%"
"26.04.2023","15,84","15,70","15,94","15,70","345,47K","0,16%"
"25.04.2023","15,81","15,56","15,93","15,56","402,59K","1,09%"
"24.04.2023","15,64","15,84","15,84","15,49","530,74K","-0,76%"
