"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","9,028","8,984","9,052","8,984","252,28K","0,51%"
"31.08.2023","8,982","8,996","9,020","8,912","322,07K","0,09%"
"30.08.2023","8,974","8,872","8,974","8,872","161,70K","0,31%"
"29.08.2023","8,946","8,998","9,030","8,900","196,12K","-0,60%"
"28.08.2023","9,000","8,770","9,000","8,770","396,94K","1,40%"
"25.08.2023","8,876","8,886","8,886","8,788","139,50K","0,54%"
"24.08.2023","8,828","8,826","8,886","8,696","330,98K","0,02%"
"23.08.2023","8,826","8,806","8,990","8,728","822,69K","-0,68%"
"22.08.2023","8,886","8,800","8,900","8,752","204,12K","0,82%"
"21.08.2023","8,814","8,720","8,816","8,662","506,80K","1,90%"
"18.08.2023","8,650","8,540","8,670","8,506","282,29K","1,29%"
"17.08.2023","8,540","8,408","8,570","8,380","505,70K","1,26%"
"16.08.2023","8,434","8,784","8,784","8,314","751,72K","-3,52%"
"15.08.2023","8,742","8,762","8,846","8,550","384,30K","-0,34%"
"14.08.2023","8,772","8,908","9,030","8,706","798,43K","-1,22%"
"11.08.2023","8,880","8,878","8,900","8,818","786,25K","0,20%"
"10.08.2023","8,862","8,970","8,970","8,750","871,05K","1,75%"
"09.08.2023","8,710","8,718","8,776","8,636","366,35K","0,65%"
"08.08.2023","8,654","9,000","9,000","8,346","911,18K","-0,44%"
"07.08.2023","8,692","8,864","8,874","8,656","842,69K","0,14%"
"04.08.2023","8,680","8,880","9,048","8,600","1,89M","-1,74%"
"03.08.2023","8,834","8,762","8,864","8,586","1,00M","2,46%"
"02.08.2023","8,622","8,736","8,742","8,562","549,69K","-0,07%"
"01.08.2023","8,628","8,716","8,716","8,500","786,48K","0,75%"
"31.07.2023","8,564","8,600","8,674","8,460","409,66K","1,33%"
"28.07.2023","8,452","9,000","9,000","8,378","505,60K","-0,09%"
"27.07.2023","8,460","9,074","9,074","8,286","934,57K","1,63%"
"26.07.2023","8,324","8,282","8,366","8,256","655,37K","0,43%"
"25.07.2023","8,288","8,226","8,288","8,158","587,68K","1,77%"
"24.07.2023","8,144","7,910","8,150","7,910","311,49K","1,75%"
"21.07.2023","8,004","8,100","8,100","7,912","1,87M","-0,05%"
"20.07.2023","8,008","8,176","8,176","7,962","251,46K","-0,79%"
"19.07.2023","8,072","8,096","8,160","8,050","311,87K","-0,32%"
"18.07.2023","8,098","8,134","8,134","8,006","2,33M","1,05%"
"17.07.2023","8,014","7,910","8,018","7,874","4,32M","1,78%"
"14.07.2023","7,874","7,724","7,904","7,724","4,02M","1,03%"
"13.07.2023","7,794","7,722","7,898","7,722","2,39M","-0,61%"
"12.07.2023","7,842","7,566","7,850","7,566","543,20K","2,11%"
"11.07.2023","7,680","7,616","7,772","7,616","134,28K","0,31%"
"10.07.2023","7,656","8,000","8,000","6,906","4,18M","1,65%"
"07.07.2023","7,532","7,574","7,574","7,494","90,60K","0,21%"
"06.07.2023","7,516","7,524","7,586","7,490","258,22K","0,54%"
"05.07.2023","7,476","7,798","7,798","7,428","158,83K","0,56%"
"04.07.2023","7,434","7,352","7,470","7,352","210,51K","-0,32%"
"03.07.2023","7,458","7,498","7,506","7,446","142,97K","0,40%"
"30.06.2023","7,428","7,444","7,454","7,362","107,28K","0,27%"
"29.06.2023","7,408","7,398","7,438","7,372","129,06K","0,14%"
"28.06.2023","7,398","7,488","7,488","7,318","89,65K","-0,35%"
"27.06.2023","7,424","7,500","7,500","7,264","231,12K","1,25%"
"26.06.2023","7,332","7,328","7,466","7,326","183,12K","-1,93%"
"23.06.2023","7,476","7,450","7,600","7,402","194,97K","-0,98%"
"22.06.2023","7,550","7,554","7,576","7,502","199,37K","-0,05%"
"21.06.2023","7,554","7,558","7,588","7,446","340,81K","1,04%"
"20.06.2023","7,476","7,800","7,800","7,386","338,49K","-0,88%"
"19.06.2023","7,542","7,328","7,546","7,328","190,30K","1,70%"
"16.06.2023","7,416","7,800","7,800","7,340","173,34K","-0,48%"
"15.06.2023","7,452","7,800","7,800","7,324","437,04K","1,86%"
"14.06.2023","7,316","7,800","7,800","7,288","313,57K","0,08%"
"13.06.2023","7,310","7,800","7,800","7,096","716,52K","2,44%"
"09.06.2023","7,136","6,854","7,158","6,852","80,36K","0,62%"
"08.06.2023","7,092","6,992","7,100","6,992","628,08K","0,74%"
"07.06.2023","7,040","6,878","7,094","6,878","92,55K","1,00%"
"06.06.2023","6,970","6,908","7,064","6,852","116,32K","-0,57%"
"05.06.2023","7,010","6,914","7,118","6,914","312,28K","0,11%"
"02.06.2023","7,002","6,832","7,018","6,824","174,14K","1,13%"
"01.06.2023","6,924","6,848","6,936","6,848","130,02K","0,49%"
"31.05.2023","6,890","6,928","6,928","6,814","62,00K","0,32%"
"30.05.2023","6,868","6,904","7,000","6,812","636,00K","-0,26%"
"29.05.2023","6,886","6,800","7,000","6,704","133,49K","1,53%"
"26.05.2023","6,782","6,680","6,794","6,680","149,62K","0,36%"
"25.05.2023","6,758","6,606","6,758","6,606","90,96K","0,84%"
"24.05.2023","6,702","6,646","6,710","6,646","72,52K","0,33%"
"23.05.2023","6,680","6,642","6,688","6,598","110,38K","0,69%"
"22.05.2023","6,634","6,568","6,686","6,568","82,63K","0,55%"
"19.05.2023","6,598","6,452","6,624","6,452","52,03K","0,73%"
"18.05.2023","6,550","6,594","6,604","6,548","48,63K","-0,61%"
"17.05.2023","6,590","6,940","6,940","6,564","74,13K","-0,21%"
"16.05.2023","6,604","6,544","6,628","6,542","305,02K","0,98%"
"15.05.2023","6,540","6,324","6,550","6,324","425,87K","1,62%"
"12.05.2023","6,436","6,494","6,494","6,300","282,03K","-0,95%"
"11.05.2023","6,498","6,442","6,530","6,284","242,04K","1,18%"
"10.05.2023","6,422","6,282","6,438","6,282","100,17K","2,49%"
"08.05.2023","6,266","6,302","6,302","6,224","39,67K","-0,25%"
"05.05.2023","6,282","6,288","6,340","6,252","245,10K","-0,10%"
"04.05.2023","6,288","6,340","6,358","6,262","2,74M","-1,10%"
"03.05.2023","6,358","6,458","6,566","6,326","204,28K","-1,43%"
"02.05.2023","6,450","6,526","6,592","6,400","157,77K","-1,86%"
"28.04.2023","6,572","6,658","6,658","6,532","248,01K","-0,84%"
"27.04.2023","6,628","6,438","6,652","6,438","328,02K","0,03%"
"26.04.2023","6,626","6,628","6,678","6,612","224,75K","-0,06%"
"25.04.2023","6,630","6,658","6,680","6,612","117,85K","-0,51%"
"24.04.2023","6,664","6,558","6,720","6,558","164,88K","-0,24%"
"21.04.2023","6,680","6,800","6,800","6,652","60,38K","0,63%"
"20.04.2023","6,638","6,560","6,800","6,450","176,82K","1,41%"
"19.04.2023","6,546","6,600","6,626","6,472","13,99M","-0,40%"
"18.04.2023","6,572","6,854","6,854","6,482","229,44K","0,86%"
"17.04.2023","6,516","6,414","6,544","6,414","114,18K","1,05%"
"14.04.2023","6,448","6,456","6,456","6,404","91,64K","0,37%"
"13.04.2023","6,424","6,528","6,528","6,402","86,31K","-0,50%"
"12.04.2023","6,456","6,400","6,478","6,380","160,76K","0,34%"
"11.04.2023","6,434","6,550","6,558","6,380","103,15K","-1,35%"
"10.04.2023","6,522","6,808","6,808","6,450","88,68K","1,62%"
"07.04.2023","6,418","6,236","6,436","6,236","98,36K","-0,09%"
"06.04.2023","6,424","6,428","6,498","6,406","87,40K","0,00%"
"05.04.2023","6,424","6,414","6,424","6,302","63,31K","0,50%"
"04.04.2023","6,392","6,420","6,442","6,370","114,55K","-0,34%"
"03.04.2023","6,414","6,286","6,418","6,272","100,22K","2,13%"
"31.03.2023","6,280","6,310","6,350","6,222","77,11K","-0,95%"
"30.03.2023","6,340","6,224","6,350","6,224","101,65K","0,76%"
"29.03.2023","6,292","6,200","6,326","6,200","47,57K","0,61%"
"28.03.2023","6,254","6,200","6,300","6,200","39,47K","-0,26%"
"27.03.2023","6,270","6,100","6,270","6,100","91,72K","2,18%"
"24.03.2023","6,136","6,130","6,156","6,098","36,55K","0,36%"
"23.03.2023","6,114","6,160","6,160","6,088","74,68K","-0,46%"
"22.03.2023","6,142","6,168","6,168","6,064","85,61K","-0,42%"
"21.03.2023","6,168","6,148","6,204","6,132","88,09K","0,33%"
"20.03.2023","6,148","5,440","6,152","5,440","115,24K","1,89%"
"17.03.2023","6,034","5,970","6,046","5,966","71,40K","1,07%"
"16.03.2023","5,970","6,060","6,060","5,862","160,91K","-0,43%"
"15.03.2023","5,996","6,040","6,080","5,980","159,26K","-1,25%"
"14.03.2023","6,072","6,028","6,076","6,008","52,04K","0,73%"
"13.03.2023","6,028","6,054","6,110","5,994","59,46K","-0,79%"
"10.03.2023","6,076","6,002","6,100","6,002","35,33K","-0,36%"
"09.03.2023","6,098","6,106","6,126","6,050","30,19K","-0,13%"
"07.03.2023","6,106","6,110","6,110","6,062","157,28K","0,20%"
"06.03.2023","6,094","6,088","6,132","6,088","115,28K","0,20%"
"03.03.2023","6,082","5,926","6,086","5,926","29,04K","1,23%"
"02.03.2023","6,008","6,078","6,104","5,956","132,03K","-0,86%"
"01.03.2023","6,060","5,952","6,094","5,850","41,62K","0,66%"
"28.02.2023","6,020","5,990","6,042","5,970","36,52K","0,70%"
"27.02.2023","5,978","5,694","5,992","5,694","72,70K","1,43%"
"24.02.2023","5,894","5,926","5,954","5,894","97,25K","-0,30%"
"22.02.2023","5,912","5,818","5,930","5,818","28,13K","0,03%"
"21.02.2023","5,910","5,900","5,940","5,794","61,34K","1,86%"
"20.02.2023","5,802","6,340","6,340","5,692","61,08K","0,21%"
"17.02.2023","5,790","5,800","5,838","5,732","46,24K","0,10%"
"16.02.2023","5,784","6,388","6,388","5,746","44,09K","-0,31%"
"15.02.2023","5,802","5,780","5,912","5,780","34,72K","-2,81%"
"14.02.2023","5,970","6,000","6,054","5,946","79,38K","-1,81%"
"13.02.2023","6,080","6,080","6,100","6,042","65,97K","0,50%"
"10.02.2023","6,050","5,900","6,050","5,900","43,55K","0,36%"
"09.02.2023","6,028","6,018","6,038","5,960","49,40K","0,60%"
"08.02.2023","5,992","6,110","6,390","5,966","151,46K","-1,06%"
"07.02.2023","6,056","6,090","6,140","6,020","100,16K","-0,23%"
"06.02.2023","6,070","5,960","6,090","5,960","143,77K","1,23%"
"03.02.2023","5,996","6,030","6,030","5,912","212,22K","-0,27%"
"02.02.2023","6,012","6,018","6,038","5,948","37,22K","0,54%"
"01.02.2023","5,980","5,910","6,010","5,862","104,68K","0,71%"
"31.01.2023","5,938","6,126","6,126","5,860","80,37K","1,57%"
"30.01.2023","5,846","5,754","5,848","5,754","50,67K","1,28%"
"27.01.2023","5,772","5,800","5,800","5,732","33,58K","0,17%"
"26.01.2023","5,762","5,770","5,770","5,734","28,86K","0,45%"
"25.01.2023","5,736","5,744","5,762","5,704","41,80K","-0,17%"
"24.01.2023","5,746","5,778","5,832","5,740","39,32K","-0,69%"
"23.01.2023","5,786","5,700","5,790","5,700","83,03K","1,08%"
"20.01.2023","5,724","5,744","5,752","5,692","36,42K","-0,28%"
"19.01.2023","5,740","5,790","5,818","5,712","21,49K","-1,41%"
"18.01.2023","5,822","5,870","5,870","5,764","51,99K","-0,51%"
"17.01.2023","5,852","5,850","5,900","5,832","86,57K","-0,41%"
"16.01.2023","5,876","5,828","5,892","5,776","71,00K","1,70%"
"13.01.2023","5,778","5,750","5,790","5,714","55,55K","0,38%"
"12.01.2023","5,756","5,732","5,782","5,712","18,92K","-0,07%"
"11.01.2023","5,760","5,690","6,018","5,672","33,87K","1,27%"
"10.01.2023","5,688","5,710","5,712","5,652","38,82K","-0,35%"
"09.01.2023","5,708","5,556","5,750","5,556","84,73K","0,11%"
"06.01.2023","5,702","5,918","5,918","5,666","29,29K","-0,18%"
"05.01.2023","5,712","5,746","5,746","5,682","21,10K","-0,24%"
"04.01.2023","5,726","5,800","5,800","5,708","25,08K","-0,42%"
"03.01.2023","5,750","5,714","5,750","5,672","42,16K","1,20%"
