"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","11,786","11,775","11,786","11,775","8,95M","0,09%"
"31.08.2023","11,775","11,790","11,790","11,770","10,41M","0,03%"
"30.08.2023","11,772","11,779","11,779","11,769","5,05M","0,03%"
"29.08.2023","11,768","11,799","12,059","11,765","25,55M","0,03%"
"28.08.2023","11,764","11,759","11,783","11,754","11,52M","0,03%"
"25.08.2023","11,761","11,750","11,761","11,750","9,96M","0,10%"
"24.08.2023","11,749","11,760","11,760","11,749","5,69M","0,02%"
"23.08.2023","11,747","11,744","11,747","11,737","28,45M","0,03%"
"22.08.2023","11,744","11,745","11,745","11,740","13,21M","0,03%"
"21.08.2023","11,740","11,775","11,775","11,728","8,04M","0,02%"
"18.08.2023","11,738","11,726","11,738","11,726","10,39M","0,10%"
"17.08.2023","11,726","11,725","11,727","11,723","14,44M","0,02%"
"16.08.2023","11,724","11,729","11,729","11,720","16,00M","0,03%"
"15.08.2023","11,721","11,715","11,721","11,710","6,52M","0,03%"
"14.08.2023","11,717","11,714","11,730","11,714","3,99M","0,02%"
"11.08.2023","11,715","11,711","11,715","11,709","5,27M","0,06%"
"10.08.2023","11,708","11,705","11,708","11,705","9,41M","0,03%"
"09.08.2023","11,705","11,709","11,710","11,696","5,51M","0,02%"
"08.08.2023","11,703","11,709","11,709","11,700","3,21M","0,02%"
"07.08.2023","11,701","12,010","12,010","11,676","5,40M","0,09%"
"04.08.2023","11,691","11,691","11,698","11,688","4,26M","0,00%"
"03.08.2023","11,691","11,695","11,695","11,682","4,09M","0,02%"
"02.08.2023","11,689","11,686","11,694","11,679","5,91M","0,03%"
"01.08.2023","11,686","11,683","11,706","11,676","4,65M","0,03%"
"31.07.2023","11,683","11,689","11,689","11,674","2,40M","0,07%"
"28.07.2023","11,675","11,676","11,684","11,674","4,53M","-0,06%"
"27.07.2023","11,682","11,684","11,684","11,674","1,88M","0,07%"
"26.07.2023","11,674","11,672","11,680","11,665","1,26M","0,03%"
"25.07.2023","11,671","11,350","11,671","11,350","4,28M","0,00%"
"24.07.2023","11,671","11,673","11,673","11,662","2,98M","0,03%"
"21.07.2023","11,667","11,660","11,667","11,660","2,14M","0,02%"
"20.07.2023","11,665","11,664","11,665","11,656","1,97M","0,08%"
"19.07.2023","11,656","11,655","11,657","11,648","1,23M","0,05%"
"18.07.2023","11,650","11,653","11,653","11,637","2,60M","0,00%"
"17.07.2023","11,650","11,650","11,658","11,640","2,89M","0,01%"
"14.07.2023","11,649","11,646","11,649","11,645","1,08M","0,03%"
"13.07.2023","11,645","11,645","11,645","11,637","1,16M","0,05%"
"12.07.2023","11,639","11,646","11,646","11,639","13,73M","-0,01%"
"11.07.2023","11,640","11,655","11,655","11,638","981,73K","0,01%"
"10.07.2023","11,639","11,662","11,662","11,616","4,93M","0,03%"
"07.07.2023","11,636","11,630","11,636","11,630","6,38M","0,02%"
"06.07.2023","11,634","11,629","11,634","11,625","1,10M","0,08%"
"05.07.2023","11,625","11,630","11,630","11,618","1,15M","-0,01%"
"04.07.2023","11,626","11,611","11,626","11,611","1,96M","0,02%"
"03.07.2023","11,624","11,591","11,624","11,591","2,02M","0,03%"
"30.06.2023","11,620","11,618","11,622","11,612","1,35M","0,09%"
"29.06.2023","11,610","11,572","11,619","11,572","2,30M","-0,01%"
"28.06.2023","11,611","11,619","11,619","11,601","1,17M","0,01%"
"27.06.2023","11,610","11,610","11,611","11,601","1,88M","0,01%"
"26.06.2023","11,609","11,605","11,609","11,601","1,65M","0,02%"
"23.06.2023","11,607","11,605","11,607","11,601","1,07M","0,03%"
"22.06.2023","11,604","11,599","11,605","11,598","1,80M","0,05%"
"21.06.2023","11,598","11,597","11,598","11,595","2,37M","0,03%"
"20.06.2023","11,595","11,620","11,620","11,595","1,76M","0,01%"
"19.06.2023","11,594","11,590","11,595","11,580","1,49M","0,03%"
"16.06.2023","11,591","11,592","11,593","11,591","2,18M","0,00%"
"15.06.2023","11,591","11,580","11,591","11,580","1,78M","0,07%"
"14.06.2023","11,583","11,570","11,583","11,570","1,50M","0,03%"
"13.06.2023","11,579","11,725","11,725","11,565","1,74M","0,02%"
"09.06.2023","11,577","11,572","11,580","11,571","697,98K","0,04%"
"08.06.2023","11,572","11,567","11,577","11,567","1,29M","0,03%"
"07.06.2023","11,568","11,666","11,666","11,565","1,48M","0,01%"
"06.06.2023","11,567","11,662","11,662","11,563","1,42M","0,02%"
"05.06.2023","11,565","11,565","11,565","11,555","2,28M","0,03%"
"02.06.2023","11,561","11,535","11,562","11,535","611,18K","0,03%"
"01.06.2023","11,557","11,553","11,560","11,553","1,11M","0,03%"
"31.05.2023","11,554","11,552","11,557","11,550","4,28M","0,02%"
"30.05.2023","11,552","11,548","11,554","11,548","2,41M","0,03%"
"29.05.2023","11,548","11,546","11,556","11,546","1,56M","0,02%"
"26.05.2023","11,546","11,544","11,546","11,535","1,04M","0,03%"
"25.05.2023","11,543","11,538","11,543","11,536","602,22K","0,06%"
"24.05.2023","11,536","11,527","11,536","11,513","582,16K","0,08%"
"23.05.2023","11,527","11,529","11,529","11,520","878,79K","0,01%"
"22.05.2023","11,526","11,529","11,529","11,516","1,81M","-0,01%"
"19.05.2023","11,527","11,526","11,529","11,520","2,26M","0,00%"
"18.05.2023","11,527","11,524","11,528","11,521","1,94M","0,04%"
"17.05.2023","11,522","11,515","11,522","11,513","1,45M","0,01%"
"16.05.2023","11,521","11,517","11,521","11,517","1,48M","0,01%"
"15.05.2023","11,520","11,518","11,520","11,511","1,07M","0,03%"
"12.05.2023","11,517","11,511","11,517","11,511","835,14K","0,02%"
"11.05.2023","11,515","11,525","11,539","11,505","1,68M","0,04%"
"10.05.2023","11,510","11,505","11,511","11,501","1,52M","0,05%"
"08.05.2023","11,504","11,540","11,540","11,497","578,51K","-0,01%"
"05.05.2023","11,505","11,492","11,505","11,492","4,44M","0,11%"
"04.05.2023","11,492","11,497","11,500","11,491","1,62M","-0,03%"
"03.05.2023","11,495","11,495","11,495","11,484","1,27M","0,02%"
"02.05.2023","11,493","11,451","11,495","11,451","2,05M","0,02%"
"28.04.2023","11,491","11,402","11,491","11,402","985,58K","0,03%"
"27.04.2023","11,488","11,472","11,489","11,472","1,60M","0,07%"
"26.04.2023","11,480","11,477","11,480","11,474","833,17K","0,02%"
"25.04.2023","11,478","11,473","11,478","11,473","1,66M","0,02%"
"24.04.2023","11,476","11,472","11,476","11,469","1,17M","0,04%"
"21.04.2023","11,471","11,466","11,474","11,465","1,42M","0,04%"
"20.04.2023","11,466","11,460","11,470","11,460","347,85K","0,03%"
"19.04.2023","11,463","11,468","11,468","11,458","947,34K","0,02%"
"18.04.2023","11,461","11,471","11,471","11,454","1,33M","-0,01%"
"17.04.2023","11,462","11,455","11,462","11,454","2,22M","0,01%"
"14.04.2023","11,461","11,462","11,462","11,451","1,04M","0,03%"
"13.04.2023","11,457","11,450","11,459","11,450","619,43K","0,05%"
"12.04.2023","11,451","11,450","11,451","11,448","736,79K","0,01%"
"11.04.2023","11,450","11,457","11,457","11,440","1,19M","0,02%"
"10.04.2023","11,448","11,457","11,457","11,439","861,89K","0,03%"
