"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","18,40","18,30","18,40","18,28","1,60M","0,57%"
"31.08.2023","18,29","18,32","18,40","18,27","1,17M","-0,03%"
"30.08.2023","18,30","18,28","18,35","18,20","1,78M","0,09%"
"29.08.2023","18,28","18,21","18,31","18,14","2,04M","0,41%"
"28.08.2023","18,21","17,17","18,21","17,17","1,71M","1,44%"
"25.08.2023","17,95","17,85","17,98","17,82","1,29M","0,56%"
"24.08.2023","17,85","17,79","17,95","17,66","1,28M","-0,12%"
"23.08.2023","17,87","18,05","18,15","17,69","1,93M","-0,65%"
"22.08.2023","17,99","17,95","18,02","17,77","3,09M","0,59%"
"21.08.2023","17,88","17,80","17,94","17,70","4,83M","1,12%"
"18.08.2023","17,68","17,55","17,69","16,50","1,59M","1,25%"
"17.08.2023","17,47","17,11","18,00","16,20","5,55M","0,89%"
"16.08.2023","17,31","17,70","17,88","16,14","9,32M","-2,41%"
"15.08.2023","17,74","17,70","18,00","17,43","4,36M","-0,34%"
"14.08.2023","17,80","18,05","18,36","17,72","8,49M","-1,30%"
"11.08.2023","18,03","17,93","18,03","17,81","3,34M","0,56%"
"10.08.2023","17,93","17,75","17,94","17,68","2,30M","1,49%"
"09.08.2023","17,67","17,50","17,79","17,50","5,36M","0,35%"
"08.08.2023","17,61","19,09","19,09","17,24","4,33M","-0,51%"
"07.08.2023","17,70","17,66","17,98","17,58","3,28M","0,43%"
"04.08.2023","17,62","17,97","18,20","17,08","8,40M","-1,90%"
"03.08.2023","17,97","17,50","17,97","17,50","2,97M","1,32%"
"02.08.2023","17,73","17,79","17,82","17,53","2,91M","0,33%"
"01.08.2023","17,67","17,46","17,76","17,40","4,22M","1,30%"
"31.07.2023","17,45","17,10","17,48","17,09","3,17M","1,73%"
"28.07.2023","17,15","17,04","17,15","16,97","6,36M","0,82%"
"27.07.2023","17,01","17,00","17,07","16,94","3,68M","0,43%"
"26.07.2023","16,94","16,95","17,00","16,85","3,05M","-0,05%"
"25.07.2023","16,95","16,75","16,95","16,75","2,36M","1,18%"
"24.07.2023","16,75","16,61","16,82","16,61","2,28M","0,52%"
"21.07.2023","16,66","16,68","16,68","16,44","1,61M","0,17%"
"20.07.2023","16,63","16,78","16,81","16,55","2,89M","-0,87%"
"19.07.2023","16,78","16,74","16,92","16,71","2,25M","0,06%"
"18.07.2023","16,77","16,41","16,83","16,41","3,94M","1,11%"
"17.07.2023","16,58","16,30","16,59","16,30","2,10M","0,82%"
"14.07.2023","16,45","16,52","16,52","16,34","1,54M","0,05%"
"13.07.2023","16,44","16,49","16,59","16,35","3,05M","-0,30%"
"12.07.2023","16,49","16,67","16,67","16,29","1,94M","1,14%"
"11.07.2023","16,30","16,26","16,33","16,23","2,83M","0,44%"
"10.07.2023","16,23","16,04","16,25","16,04","3,01M","1,20%"
"07.07.2023","16,04","15,95","16,04","15,90","2,37M","0,56%"
"06.07.2023","15,95","15,80","16,07","15,76","5,88M","0,32%"
"05.07.2023","15,90","15,78","15,98","15,78","4,13M","0,00%"
"04.07.2023","15,90","15,87","15,92","15,72","2,36M","0,22%"
"03.07.2023","15,86","15,95","15,95","15,83","1,64M","0,13%"
"30.06.2023","15,84","15,92","15,92","15,74","3,24M","-0,08%"
"29.06.2023","15,85","15,81","15,90","15,77","2,38M","0,55%"
"28.06.2023","15,77","15,78","15,80","15,66","1,98M","0,04%"
"27.06.2023","15,76","15,77","15,77","15,52","1,28M","0,68%"
"26.06.2023","15,65","15,90","15,94","15,49","4,04M","-1,24%"
"23.06.2023","15,85","15,95","15,96","15,65","2,77M","-0,90%"
"22.06.2023","15,99","16,00","16,00","15,91","2,25M","0,00%"
"21.06.2023","15,99","15,92","16,00","15,85","2,03M","0,78%"
"20.06.2023","15,87","15,93","15,95","15,75","2,37M","-0,16%"
"19.06.2023","15,89","15,90","15,93","15,73","1,64M","0,30%"
"16.06.2023","15,85","15,90","15,93","15,76","2,01M","0,00%"
"15.06.2023","15,84","15,70","15,89","15,63","2,55M","0,94%"
"14.06.2023","15,69","15,87","15,87","15,60","2,98M","0,57%"
"13.06.2023","15,61","15,32","15,61","15,32","2,61M","1,99%"
"09.06.2023","15,30","15,29","15,39","15,26","1,53M","-0,03%"
"08.06.2023","15,31","15,30","15,33","15,17","2,94M","0,43%"
"07.06.2023","15,24","15,13","15,33","15,06","2,34M","0,48%"
"06.06.2023","15,17","15,30","15,30","14,87","3,95M","-0,21%"
"05.06.2023","15,20","15,35","15,51","15,11","3,42M","-0,83%"
"02.06.2023","15,33","15,10","15,39","15,09","2,02M","0,91%"
"01.06.2023","15,19","15,20","15,24","15,05","2,55M","0,30%"
"31.05.2023","15,14","15,02","15,15","14,94","3,43M","0,49%"
"30.05.2023","15,07","14,90","15,33","14,90","3,49M","-1,04%"
"29.05.2023","15,23","14,98","15,23","14,98","3,63M","1,94%"
"26.05.2023","14,94","14,89","15,00","14,73","1,48M","0,78%"
"25.05.2023","14,82","14,85","14,88","14,71","4,07M","-0,03%"
"24.05.2023","14,83","14,73","14,85","14,65","976,22K","0,33%"
"23.05.2023","14,78","14,73","14,79","14,55","2,30M","0,67%"
"22.05.2023","14,68","14,88","14,90","14,66","1,64M","0,14%"
"19.05.2023","14,66","14,78","14,78","14,55","1,31M","-0,29%"
"18.05.2023","14,70","14,85","14,86","14,67","1,45M","-0,32%"
"17.05.2023","14,75","14,85","14,85","14,61","1,93M","-0,07%"
"16.05.2023","14,76","14,74","14,85","14,60","2,13M","1,08%"
"15.05.2023","14,60","14,50","14,62","14,35","1,65M","1,46%"
"12.05.2023","14,39","14,51","14,56","14,24","2,56M","-1,12%"
"11.05.2023","14,56","14,30","15,00","14,29","4,01M","1,90%"
"10.05.2023","14,29","13,65","14,29","13,60","2,33M","3,24%"
"08.05.2023","13,84","13,85","13,96","13,81","482,55K","-0,77%"
"05.05.2023","13,94","13,86","14,00","13,84","890,61K","0,80%"
"04.05.2023","13,84","13,95","13,98","13,80","2,16M","-0,66%"
"03.05.2023","13,93","14,30","14,30","13,91","2,70M","-1,77%"
"02.05.2023","14,18","14,49","14,49","14,01","2,41M","-1,45%"
"28.04.2023","14,39","14,48","14,53","14,21","1,54M","-0,57%"
"27.04.2023","14,47","14,44","14,48","14,30","1,45M","0,70%"
"26.04.2023","14,37","14,37","14,44","14,28","9,37M","-0,14%"
"25.04.2023","14,39","14,46","14,51","14,32","3,27M","-0,59%"
"24.04.2023","14,47","14,54","14,56","14,36","3,40M","-0,21%"
"21.04.2023","14,50","14,55","14,55","14,36","1,76M","0,67%"
"20.04.2023","14,41","14,50","14,50","14,04","1,60M","0,79%"
"19.04.2023","14,30","14,46","14,46","14,15","2,70M","-0,18%"
"18.04.2023","14,32","14,11","14,36","14,11","3,45M","0,45%"
"17.04.2023","14,26","14,08","14,27","14,01","2,41M","1,90%"
"14.04.2023","13,99","13,92","14,00","13,83","1,39M","0,42%"
"13.04.2023","13,93","13,86","14,00","13,81","2,21M","0,07%"
"12.04.2023","13,92","13,87","14,00","13,79","1,87M","0,52%"
"11.04.2023","13,85","14,40","14,40","13,77","5,80M","-1,00%"
"10.04.2023","13,99","13,79","13,99","13,74","1,77M","1,53%"
"07.04.2023","13,78","13,89","13,89","13,67","3,38M","0,51%"
"06.04.2023","13,71","14,05","14,05","13,67","1,87M","0,09%"
"05.04.2023","13,70","14,00","14,00","13,50","1,87M","0,35%"
"04.04.2023","13,65","13,64","13,77","13,57","15,35M","0,26%"
"03.04.2023","13,61","13,63","13,63","13,38","3,20M","1,42%"
"31.03.2023","13,42","13,53","13,55","13,30","1,19M","-0,78%"
"30.03.2023","13,53","13,50","13,54","13,43","1,79M","0,45%"
"29.03.2023","13,47","13,48","13,52","13,34","1,76M","0,47%"
"28.03.2023","13,40","13,37","13,48","13,23","2,89M","0,69%"
"27.03.2023","13,31","13,15","13,36","13,13","1,13M","1,55%"
"24.03.2023","13,11","13,14","13,20","13,00","1,36M","0,08%"
"23.03.2023","13,10","13,22","13,22","13,03","1,02M","-0,22%"
"22.03.2023","13,13","13,31","13,31","13,00","2,43M","-0,61%"
"21.03.2023","13,21","13,18","13,33","13,05","2,19M","0,49%"
"20.03.2023","13,14","12,75","13,15","12,70","3,65M","3,33%"
"17.03.2023","12,72","12,46","12,73","12,32","2,41M","2,63%"
"16.03.2023","12,39","12,38","12,45","12,26","1,49M","0,11%"
"15.03.2023","12,38","12,60","12,60","12,38","1,71M","-1,50%"
"14.03.2023","12,57","12,40","12,57","12,30","1,22M","0,97%"
"13.03.2023","12,45","12,50","12,57","12,32","1,96M","-0,39%"
"10.03.2023","12,50","12,63","12,65","12,41","2,53M","-0,52%"
"09.03.2023","12,56","12,57","12,64","12,52","1,65M","-0,38%"
"07.03.2023","12,61","12,62","12,62","12,51","1,47M","0,25%"
"06.03.2023","12,58","12,50","12,59","12,44","1,89M","0,79%"
"03.03.2023","12,48","12,46","12,48","12,30","1,16M","0,89%"
"02.03.2023","12,37","12,50","12,55","12,23","3,83M","-1,06%"
"01.03.2023","12,50","12,35","12,60","12,35","1,39M","1,12%"
"28.02.2023","12,36","12,28","12,42","12,28","832,04K","0,69%"
"27.02.2023","12,28","12,09","12,32","12,01","1,11M","1,24%"
"24.02.2023","12,13","12,08","12,20","12,07","355,48K","-0,21%"
"22.02.2023","12,15","12,07","12,17","12,04","2,22M","0,04%"
"21.02.2023","12,15","11,90","12,24","11,90","3,00M","1,33%"
"20.02.2023","11,99","11,91","12,01","11,74","2,00M","0,60%"
"17.02.2023","11,92","12,00","12,00","11,79","1,91M","0,32%"
"16.02.2023","11,88","11,90","12,01","11,81","15,17M","-0,45%"
"15.02.2023","11,94","11,80","12,32","11,80","12,06M","-2,57%"
"14.02.2023","12,25","12,47","12,47","12,20","10,71M","-1,51%"
"13.02.2023","12,44","12,47","12,50","12,38","1,80M","0,00%"
"10.02.2023","12,44","12,38","12,46","12,31","18,44M","0,10%"
"09.02.2023","12,43","12,42","12,47","12,30","909,30K","0,35%"
"08.02.2023","12,38","12,50","12,54","12,29","1,93M","-0,79%"
"07.02.2023","12,48","12,48","12,58","12,40","3,29M","0,23%"
"06.02.2023","12,45","12,36","12,50","12,30","5,71M","1,01%"
"03.02.2023","12,33","12,36","12,36","12,16","6,91M","0,04%"
"02.02.2023","12,32","12,26","12,36","12,22","1,62M","0,86%"
"01.02.2023","12,22","12,22","12,35","12,18","2,52M","0,13%"
"31.01.2023","12,20","12,10","12,22","12,07","1,46M","0,80%"
"30.01.2023","12,10","11,90","12,11","11,90","743,89K","0,84%"
"27.01.2023","12,00","11,86","12,10","11,86","610,96K","0,60%"
"26.01.2023","11,93","12,15","12,15","11,84","839,30K","-0,04%"
"25.01.2023","11,94","11,95","11,95","11,83","791,81K","-0,08%"
"24.01.2023","11,95","11,90","12,06","11,88","2,11M","-0,28%"
"23.01.2023","11,98","13,00","13,10","11,25","889,73K","0,80%"
"20.01.2023","11,89","11,97","11,97","11,77","1,01M","0,06%"
"19.01.2023","11,88","12,09","12,09","11,81","1,38M","-1,79%"
"18.01.2023","12,09","12,10","12,12","11,95","1,49M","0,00%"
"17.01.2023","12,10","12,22","12,22","12,07","6,15M","-0,86%"
"16.01.2023","12,20","12,60","12,60","12,09","1,22M","0,94%"
"13.01.2023","12,09","12,06","12,13","11,98","1,96M","0,57%"
"12.01.2023","12,02","12,10","12,10","11,96","1,46M","0,00%"
"11.01.2023","12,02","11,85","12,03","11,80","1,00M","1,46%"
"10.01.2023","11,84","11,80","11,88","11,74","7,62M","-0,33%"
"09.01.2023","11,88","11,81","11,90","11,80","4,61M","0,62%"
"06.01.2023","11,81","11,89","11,89","11,78","386,91K","-0,22%"
"05.01.2023","11,84","11,98","11,98","11,77","392,97K","-0,36%"
"04.01.2023","11,88","11,87","11,95","11,85","424,68K","-0,19%"
"03.01.2023","11,90","11,85","11,92","11,77","596,33K","1,08%"
