"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","86,00","86,18","87,94","86,00","6,14M","0,01%"
"31.08.2023","85,99","88,00","88,46","85,55","4,51M","-1,50%"
"30.08.2023","87,30","87,50","88,86","84,90","10,44M","0,33%"
"29.08.2023","87,01","90,00","90,62","86,19","13,50M","-2,78%"
"28.08.2023","89,50","84,36","89,98","84,28","18,56M","6,59%"
"25.08.2023","83,97","86,50","86,50","83,40","6,90M","-1,80%"
"24.08.2023","85,51","86,00","88,00","84,32","17,07M","-1,71%"
"23.08.2023","87,00","82,50","87,00","82,01","33,48M","6,68%"
"22.08.2023","81,55","76,78","81,99","76,78","20,82M","4,98%"
"21.08.2023","77,68","78,06","79,30","77,56","3,13M","-0,03%"
"18.08.2023","77,70","76,72","77,70","75,35","2,26M","2,16%"
"17.08.2023","76,06","75,39","77,00","73,78","3,29M","1,56%"
"16.08.2023","74,89","76,45","78,57","73,16","5,78M","-2,19%"
"15.08.2023","76,57","76,20","78,88","73,00","4,36M","-1,58%"
"14.08.2023","77,80","79,00","80,00","75,00","6,90M","-0,87%"
"11.08.2023","78,48","80,30","80,30","77,80","5,27M","-0,80%"
"10.08.2023","79,11","77,45","81,00","77,10","17,31M","2,87%"
"09.08.2023","76,90","75,72","78,79","74,97","10,80M","2,40%"
"08.08.2023","75,10","76,00","77,00","72,08","3,40M","-1,03%"
"07.08.2023","75,88","74,58","77,50","74,58","4,93M","2,06%"
"04.08.2023","74,35","76,56","79,58","68,76","13,29M","-2,18%"
"03.08.2023","76,01","74,48","76,43","73,98","7,45M","2,05%"
"02.08.2023","74,48","75,06","75,89","74,00","5,16M","0,24%"
"01.08.2023","74,30","73,45","77,38","72,00","24,49M","1,64%"
"31.07.2023","73,10","74,00","74,47","72,80","4,39M","-0,04%"
"28.07.2023","73,13","73,55","75,00","71,12","13,32M","-1,18%"
"27.07.2023","74,00","74,20","78,00","73,07","24,22M","-0,04%"
"26.07.2023","74,03","76,63","85,00","72,65","97,13M","-3,92%"
"25.07.2023","77,05","70,00","77,20","67,56","76,36M","15,00%"
"24.07.2023","67,00","60,98","67,24","60,85","14,55M","10,22%"
"21.07.2023","60,79","60,20","60,90","59,04","2,06M","1,16%"
"20.07.2023","60,09","59,29","61,19","58,57","8,16M","1,81%"
"19.07.2023","59,02","59,20","59,67","58,22","2,86M","0,75%"
"18.07.2023","58,58","57,54","58,67","57,50","2,50M","2,22%"
"17.07.2023","57,31","57,48","57,98","56,00","2,50M","0,21%"
"14.07.2023","57,19","58,00","58,00","56,78","2,20M","-0,76%"
"13.07.2023","57,63","58,00","58,60","56,08","8,79M","1,12%"
"12.07.2023","56,99","55,50","57,26","55,50","3,81M","1,97%"
"11.07.2023","55,89","54,27","57,70","53,94","8,60M","3,67%"
"10.07.2023","53,91","52,70","56,04","52,70","7,09M","2,67%"
"07.07.2023","52,51","52,34","53,10","51,51","1,03M","0,32%"
"06.07.2023","52,34","52,25","53,20","52,04","1,91M","0,60%"
"05.07.2023","52,03","51,50","52,64","51,30","2,05M","1,92%"
"04.07.2023","51,05","51,18","51,35","50,32","629,96K","-0,04%"
"03.07.2023","51,07","50,47","51,27","50,39","780,56K","1,35%"
"30.06.2023","50,39","50,39","50,65","49,91","735,66K","0,22%"
"29.06.2023","50,28","50,53","50,90","50,12","530,38K","-0,73%"
