"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","5,876","5,933","5,949","5,871","40,71M","-0,69%"
"31.08.2023","5,917","5,870","5,983","5,824","90,48M","0,82%"
"30.08.2023","5,869","5,916","5,947","5,800","129,30M","-1,25%"
"29.08.2023","5,943","6,010","6,046","5,893","165,90M","-2,41%"
"28.08.2023","6,090","6,041","6,120","6,012","72,76M","1,00%"
"25.08.2023","6,030","6,040","6,109","5,998","61,22M","-0,28%"
"24.08.2023","6,047","5,995","6,050","5,947","39,41M","1,49%"
"23.08.2023","5,958","6,088","6,156","5,912","127,18M","-2,28%"
"22.08.2023","6,097","6,114","6,125","6,030","56,60M","0,11%"
"21.08.2023","6,090","6,100","6,161","6,054","61,18M","0,68%"
"18.08.2023","6,049","6,008","6,059","5,906","71,55M","0,82%"
"17.08.2023","6,000","6,060","6,095","5,901","98,28M","0,23%"
"16.08.2023","5,986","6,102","6,174","5,853","137,37M","-2,24%"
"15.08.2023","6,123","6,060","6,250","6,008","125,84M","-0,58%"
"14.08.2023","6,159","6,330","6,520","6,080","337,96M","-1,85%"
"11.08.2023","6,275","6,250","6,300","6,187","81,93M","0,85%"
"10.08.2023","6,222","6,200","6,250","6,160","46,91M","0,48%"
"09.08.2023","6,192","6,231","6,257","6,114","44,00M","0,05%"
"08.08.2023","6,189","6,170","6,255","6,005","90,99M","0,42%"
"07.08.2023","6,163","6,224","6,351","6,130","118,62M","-0,84%"
"04.08.2023","6,215","6,405","6,490","5,980","212,09M","-3,39%"
"03.08.2023","6,433","6,460","6,460","6,375","65,99M","0,16%"
"02.08.2023","6,423","6,480","6,489","6,371","108,86M","-0,88%"
"01.08.2023","6,480","6,510","6,560","6,370","140,03M","-0,40%"
"31.07.2023","6,506","6,320","6,540","6,314","189,97M","3,19%"
"28.07.2023","6,305","6,277","6,367","6,156","91,18M","0,10%"
"27.07.2023","6,299","6,320","6,372","6,267","60,87M","-0,33%"
"26.07.2023","6,320","6,433","6,447","6,251","150,43M","-1,40%"
"25.07.2023","6,410","6,145","6,433","6,121","314,77M","4,64%"
"24.07.2023","6,126","6,139","6,189","6,100","45,38M","0,51%"
"21.07.2023","6,095","6,092","6,141","5,904","81,76M","0,54%"
"20.07.2023","6,062","6,170","6,239","6,054","88,59M","-1,67%"
"19.07.2023","6,165","6,204","6,256","6,153","81,11M","-0,26%"
"18.07.2023","6,181","6,180","6,250","6,143","97,73M","0,32%"
"17.07.2023","6,161","6,127","6,204","6,100","64,64M","0,31%"
"14.07.2023","6,142","6,187","6,187","6,110","60,06M","-0,44%"
"13.07.2023","6,169","6,241","6,319","6,118","127,41M","-1,47%"
"12.07.2023","6,261","6,055","6,288","6,033","207,35M","3,20%"
"11.07.2023","6,067","6,142","6,160","5,970","128,08M","-1,27%"
"10.07.2023","6,145","6,180","6,283","6,053","161,69M","0,16%"
"07.07.2023","6,135","6,402","6,402","6,124","216,44M","-4,17%"
"06.07.2023","6,402","6,177","6,423","6,161","400,33M","4,37%"
"05.07.2023","6,134","5,890","6,166","5,820","306,83M","5,43%"
"04.07.2023","5,818","5,971","6,046","5,802","113,98M","-2,56%"
"03.07.2023","5,971","5,878","6,040","5,708","247,22M","2,16%"
"30.06.2023","5,845","5,702","5,987","5,641","377,42M","2,65%"
"29.06.2023","5,694","5,451","5,769","5,425","345,54M","5,00%"
"28.06.2023","5,423","5,284","5,444","5,283","69,43M","2,40%"
"27.06.2023","5,296","5,287","5,333","5,241","25,19M","0,25%"
"26.06.2023","5,283","5,288","5,346","5,172","58,48M","1,58%"
"23.06.2023","5,201","5,345","5,345","5,170","66,36M","-2,51%"
"22.06.2023","5,335","5,394","5,400","5,311","26,41M","-0,85%"
"21.06.2023","5,381","5,389","5,487","5,304","60,13M","0,06%"
"20.06.2023","5,378","5,448","5,448","5,225","51,49M","-1,05%"
"19.06.2023","5,435","5,470","5,500","5,367","55,78M","-0,71%"
"16.06.2023","5,474","5,500","5,520","5,372","76,67M","-0,18%"
"15.06.2023","5,484","5,392","5,487","5,342","79,43M","1,74%"
"14.06.2023","5,390","5,362","5,429","5,325","80,89M","0,77%"
"13.06.2023","5,349","5,200","5,360","5,185","93,05M","3,36%"
"09.06.2023","5,175","5,240","5,244","5,164","25,21M","-0,96%"
"08.06.2023","5,225","5,198","5,237","5,162","37,37M","0,81%"
"07.06.2023","5,183","5,187","5,204","5,136","23,93M","0,43%"
"06.06.2023","5,161","5,106","5,167","5,104","24,16M","0,02%"
"05.06.2023","5,160","5,235","5,238","5,103","52,88M","-0,33%"
"02.06.2023","5,177","5,137","5,270","5,094","56,50M","1,07%"
"01.06.2023","5,122","5,184","5,215","5,094","58,79M","-1,02%"
"31.05.2023","5,175","5,247","5,259","5,100","60,25M","-0,94%"
"30.05.2023","5,224","5,099","5,329","5,090","167,72M","2,67%"
"29.05.2023","5,088","5,120","5,169","5,000","79,98M","-0,53%"
"26.05.2023","5,115","5,125","5,169","5,072","56,97M","0,27%"
"25.05.2023","5,101","5,200","5,260","5,030","122,07M","-2,17%"
"24.05.2023","5,214","5,453","5,490","5,116","188,88M","-4,77%"
"23.05.2023","5,475","5,496","5,499","5,350","47,14M","0,13%"
"22.05.2023","5,468","5,569","5,600","5,430","28,75M","-0,62%"
"19.05.2023","5,502","5,625","5,677","5,362","100,06M","-2,08%"
"18.05.2023","5,619","5,698","5,698","5,473","43,44M","-0,81%"
"17.05.2023","5,665","5,687","5,688","5,617","20,03M","-0,11%"
"16.05.2023","5,671","5,684","5,700","5,581","46,83M","0,39%"
"15.05.2023","5,649","5,579","5,681","5,550","52,12M","2,19%"
"12.05.2023","5,528","5,505","5,596","5,458","33,97M","1,41%"
"11.05.2023","5,451","5,570","5,620","5,325","61,32M","-2,00%"
"10.05.2023","5,562","5,290","5,574","5,290","45,12M","4,90%"
"08.05.2023","5,302","5,270","5,390","5,251","13,87M","0,84%"
"05.05.2023","5,258","5,322","5,480","5,200","34,33M","-1,18%"
"04.05.2023","5,321","5,240","5,356","5,240","34,25M","1,78%"
"03.05.2023","5,228","5,490","5,500","5,200","51,45M","-4,79%"
"02.05.2023","5,491","5,641","5,669","5,391","50,58M","-3,17%"
"28.04.2023","5,671","5,760","5,763","5,621","30,67M","-1,15%"
"27.04.2023","5,737","5,701","5,770","5,661","43,69M","0,30%"
"26.04.2023","5,720","5,740","5,820","5,700","58,39M","-0,33%"
"25.04.2023","5,739","5,680","5,795","5,650","91,92M","1,09%"
"24.04.2023","5,677","5,665","5,710","5,584","39,21M","0,87%"
"21.04.2023","5,628","5,592","5,650","5,572","26,42M","0,64%"
"20.04.2023","5,592","5,605","5,632","5,536","30,15M","-0,02%"
"19.04.2023","5,593","5,667","5,688","5,500","39,41M","-1,32%"
"18.04.2023","5,668","5,698","5,715","5,580","34,21M","-0,30%"
"17.04.2023","5,685","5,644","5,714","5,601","37,78M","1,55%"
