"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","181,00","181,40","182,00","179,70","429,69K","-0,22%"
"31.08.2023","181,40","182,30","183,50","179,50","885,87K","-0,44%"
"30.08.2023","182,20","183,10","183,50","180,50","1,17M","-0,60%"
"29.08.2023","183,30","184,10","184,20","181,60","911,81K","-0,38%"
"28.08.2023","184,00","181,90","184,60","181,40","1,11M","1,60%"
"25.08.2023","181,10","182,90","183,10","179,20","852,50K","-0,71%"
"24.08.2023","182,40","180,50","183,70","178,20","1,52M","2,47%"
"23.08.2023","178,00","184,50","186,80","177,10","3,30M","-3,52%"
"22.08.2023","184,50","177,20","184,50","176,00","2,59M","4,24%"
"21.08.2023","177,00","176,70","179,10","174,40","1,06M","0,28%"
"18.08.2023","176,50","173,00","176,60","172,50","1,28M","2,50%"
"17.08.2023","172,20","170,80","173,00","167,00","994,49K","0,94%"
"16.08.2023","170,60","176,30","176,40","166,30","2,43M","-2,68%"
"15.08.2023","175,30","175,00","179,80","168,30","1,65M","-0,34%"
"14.08.2023","175,90","180,70","184,60","175,10","3,09M","-2,33%"
"11.08.2023","180,10","181,00","181,90","178,50","1,13M","-0,33%"
"10.08.2023","180,70","177,50","181,40","175,20","1,58M","2,21%"
"09.08.2023","176,80","176,70","177,80","175,00","1,32M","0,40%"
"08.08.2023","176,10","177,80","178,40","172,00","1,83M","-0,84%"
"07.08.2023","177,60","179,50","181,90","175,30","2,18M","-0,34%"
"04.08.2023","178,20","184,20","189,00","174,50","5,73M","-3,05%"
"03.08.2023","183,80","184,80","185,90","182,20","1,92M","-0,49%"
"02.08.2023","184,70","186,10","186,40","183,80","1,39M","-0,81%"
"01.08.2023","186,20","188,20","188,50","182,60","2,56M","-1,06%"
"31.07.2023","188,20","188,00","193,80","186,40","5,05M","0,43%"
"28.07.2023","187,40","189,50","189,80","186,10","1,61M","-0,90%"
"27.07.2023","189,10","186,50","191,90","185,70","2,66M","1,83%"
"26.07.2023","185,70","189,10","189,40","184,30","1,63M","-1,80%"
"25.07.2023","189,10","186,70","190,00","186,00","1,80M","1,50%"
"24.07.2023","186,30","185,50","186,30","182,10","1,29M","1,75%"
"21.07.2023","183,10","183,50","183,80","178,80","1,53M","0,33%"
"20.07.2023","182,50","189,80","189,90","181,40","2,43M","-3,85%"
"19.07.2023","189,80","192,40","192,40","188,00","1,32M","-0,73%"
"18.07.2023","191,20","187,50","194,00","186,30","3,42M","2,63%"
"17.07.2023","186,30","188,00","188,90","180,20","1,94M","-1,43%"
"14.07.2023","189,00","190,00","190,50","185,20","1,86M","-0,32%"
"13.07.2023","189,60","192,90","195,80","186,50","3,07M","-1,30%"
"12.07.2023","192,10","189,00","196,50","185,50","5,80M","1,91%"
"11.07.2023","188,50","190,00","192,20","182,70","3,62M","-0,32%"
"10.07.2023","189,10","175,90","189,90","174,50","5,97M","8,37%"
"07.07.2023","174,50","176,00","176,00","171,80","1,05M","0,46%"
"06.07.2023","173,70","176,00","181,00","171,70","3,41M","-1,53%"
"05.07.2023","176,40","167,00","178,50","166,30","4,51M","6,07%"
"04.07.2023","166,30","166,60","169,80","165,50","1,22M","-0,12%"
"03.07.2023","166,50","164,90","168,50","164,90","732,64K","0,67%"
"30.06.2023","165,40","167,00","167,00","163,80","1,00M","-0,78%"
"29.06.2023","166,70","169,30","170,20","162,50","1,15M","-1,36%"
"28.06.2023","169,00","171,70","171,80","166,70","1,81M","-0,65%"
"27.06.2023","170,10","164,50","171,50","162,20","2,18M","3,72%"
"26.06.2023","164,00","165,20","168,80","158,50","3,03M","0,24%"
"23.06.2023","163,60","169,90","174,00","160,50","3,26M","-3,59%"
"22.06.2023","169,70","170,70","177,00","166,90","5,53M","-0,18%"
"21.06.2023","170,00","174,00","177,50","169,00","3,34M","-1,96%"
"20.06.2023","173,40","162,00","175,60","160,30","8,75M","7,10%"
"19.06.2023","161,90","161,30","162,10","159,10","1,18M","1,25%"
"16.06.2023","159,90","161,00","161,20","159,10","552,22K","-0,62%"
"15.06.2023","160,90","161,40","161,70","158,00","1,21M","-0,31%"
"14.06.2023","161,40","164,00","164,30","160,10","1,43M","-1,34%"
"13.06.2023","163,60","160,20","163,70","160,20","1,06M","2,19%"
"09.06.2023","160,10","162,50","162,50","159,00","816,17K","-0,87%"
"08.06.2023","161,50","160,00","162,60","159,10","1,22M","1,00%"
"07.06.2023","159,90","164,40","166,60","157,60","2,33M","-2,08%"
"06.06.2023","163,30","158,90","165,00","156,00","3,58M","3,42%"
"05.06.2023","157,90","155,20","161,50","155,10","2,85M","1,61%"
"02.06.2023","155,40","154,90","156,70","154,10","722,82K","0,32%"
"01.06.2023","154,90","153,80","156,70","152,40","992,19K","1,11%"
"31.05.2023","153,20","153,00","155,20","151,70","591,27K","0,13%"
"30.05.2023","153,00","157,00","157,80","152,20","1,12M","-3,47%"
"29.05.2023","158,50","154,30","159,50","153,20","1,88M","3,12%"
"26.05.2023","153,70","152,90","154,20","152,10","374,09K","0,59%"
"25.05.2023","152,80","154,50","154,50","151,50","444,19K","-0,78%"
"24.05.2023","154,00","153,10","155,70","149,70","811,74K","0,79%"
"23.05.2023","152,80","152,60","154,20","147,20","740,88K","0,53%"
"22.05.2023","152,00","155,30","156,70","150,60","708,89K","-1,75%"
"19.05.2023","154,70","154,40","155,80","152,60","601,21K","0,45%"
"18.05.2023","154,00","155,60","155,80","152,70","451,03K","-0,65%"
"17.05.2023","155,00","155,30","155,30","152,20","612,86K","-0,19%"
"16.05.2023","155,30","157,60","161,00","154,10","1,48M","0,26%"
"15.05.2023","154,90","151,20","155,50","150,80","748,50K","2,45%"
"12.05.2023","151,20","151,00","151,90","148,70","561,68K","0,40%"
"11.05.2023","150,60","153,10","155,30","148,20","1,29M","-1,18%"
"10.05.2023","152,40","146,90","153,00","146,20","833,10K","4,24%"
"08.05.2023","146,20","148,00","148,60","146,20","230,51K","-1,02%"
"05.05.2023","147,70","150,00","151,50","147,50","646,80K","-1,47%"
"04.05.2023","149,90","146,00","150,00","145,70","600,45K","2,46%"
"03.05.2023","146,30","152,30","154,90","146,20","1,65M","-4,38%"
"02.05.2023","153,00","159,50","162,40","148,60","1,93M","-4,91%"
"28.04.2023","160,90","163,80","163,80","158,90","829,56K","-1,53%"
"27.04.2023","163,40","164,00","165,30","160,70","1,26M","-0,31%"
"26.04.2023","163,90","168,20","168,20","163,30","1,36M","-1,56%"
"25.04.2023","166,50","168,00","171,20","163,00","2,97M","-0,42%"
"24.04.2023","167,20","163,60","167,50","161,40","2,45M","2,64%"
"21.04.2023","162,90","161,10","167,70","160,60","2,60M","1,56%"
"20.04.2023","160,40","158,60","162,50","155,50","1,56M","1,33%"
"19.04.2023","158,30","162,00","162,10","155,30","1,65M","-1,86%"
"18.04.2023","161,30","162,90","162,90","157,00","1,62M","-0,80%"
"17.04.2023","162,60","155,60","163,00","155,40","3,58M","5,17%"
"14.04.2023","154,60","153,80","154,70","152,10","436,59K","0,59%"
"13.04.2023","153,70","154,10","155,60","152,50","614,35K","0,07%"
"12.04.2023","153,60","152,20","154,80","151,40","876,86K","0,99%"
"11.04.2023","152,10","155,90","156,20","151,00","1,49M","-2,12%"
"10.04.2023","155,40","153,50","158,00","152,70","1,42M","1,44%"
"07.04.2023","153,20","152,20","154,20","150,60","845,90K","0,66%"
"06.04.2023","152,20","151,20","154,60","150,20","1,19M","0,79%"
"05.04.2023","151,00","152,10","152,80","149,20","1,32M","-1,24%"
"04.04.2023","152,90","150,10","160,10","149,70","4,93M","1,87%"
"03.04.2023","150,10","148,50","150,90","147,80","1,03M","0,81%"
"31.03.2023","148,90","150,50","150,90","147,00","941,60K","-0,80%"
"30.03.2023","150,10","151,40","151,80","149,70","504,52K","-0,73%"
"29.03.2023","151,20","151,00","152,00","149,10","756,24K","0,13%"
"28.03.2023","151,00","152,80","153,00","149,10","1,07M","-1,37%"
"27.03.2023","153,10","150,80","154,20","150,30","1,94M","2,41%"
"24.03.2023","149,50","149,00","150,80","147,00","1,03M","1,01%"
"23.03.2023","148,00","145,10","150,80","144,20","1,58M","1,65%"
"22.03.2023","145,60","145,50","147,00","144,00","823,79K","-0,34%"
"21.03.2023","146,10","148,70","149,00","145,00","1,15M","-1,62%"
"20.03.2023","148,50","146,70","152,30","144,30","2,04M","1,43%"
"17.03.2023","146,40","145,80","146,80","143,60","1,07M","1,24%"
"16.03.2023","144,60","146,80","147,50","142,60","910,12K","-1,90%"
"15.03.2023","147,40","149,70","151,00","144,20","1,25M","-1,34%"
"14.03.2023","149,40","148,80","151,40","145,20","1,26M","0,88%"
"13.03.2023","148,10","151,80","152,10","146,40","1,52M","-1,53%"
"10.03.2023","150,40","151,60","153,50","149,00","1,35M","-1,70%"
"09.03.2023","153,00","158,10","164,30","152,40","3,13M","-2,36%"
"07.03.2023","156,70","150,60","158,60","147,10","2,73M","4,33%"
"06.03.2023","150,20","146,00","151,80","144,10","1,11M","1,42%"
"03.03.2023","148,10","147,80","149,50","146,90","579,94K","0,20%"
"02.03.2023","147,80","151,10","151,30","146,30","854,06K","-1,86%"
"01.03.2023","150,60","146,70","150,70","146,20","947,98K","2,38%"
"28.02.2023","147,10","148,10","149,10","146,90","796,50K","-0,94%"
"27.02.2023","148,50","145,00","149,30","144,40","1,23M","-1,33%"
"24.02.2023","150,50","149,30","151,50","148,10","343,91K","0,00%"
"22.02.2023","150,50","152,90","152,90","149,00","684,40K","-1,31%"
"21.02.2023","152,50","143,80","157,20","143,50","2,49M","5,98%"
"20.02.2023","143,90","148,50","148,60","142,20","1,52M","-2,97%"
"17.02.2023","148,30","150,00","151,60","146,80","817,70K","-1,13%"
"16.02.2023","150,00","146,00","153,90","146,00","1,39M","1,97%"
"15.02.2023","147,10","155,60","157,20","141,00","2,71M","-7,48%"
"14.02.2023","159,00","164,50","165,90","151,40","1,59M","-2,27%"
"13.02.2023","162,70","163,50","166,60","162,10","840,86K","-0,97%"
"10.02.2023","164,30","163,00","165,00","161,50","710,89K","0,24%"
"09.02.2023","163,90","167,90","167,90","161,10","1,42M","-2,15%"
"08.02.2023","167,50","171,60","172,60","164,70","2,18M","-2,39%"
"07.02.2023","171,60","170,10","175,00","167,00","4,05M","3,13%"
"06.02.2023","166,40","158,60","168,50","156,80","4,03M","5,65%"
"03.02.2023","157,50","160,00","160,40","155,60","1,20M","0,19%"
"02.02.2023","157,20","154,30","161,80","154,30","2,47M","1,35%"
"01.02.2023","155,10","156,00","157,10","154,00","1,24M","-0,51%"
"31.01.2023","155,90","156,40","157,60","154,30","1,06M","-1,14%"
"30.01.2023","157,70","153,40","159,50","152,20","1,76M","2,74%"
"27.01.2023","153,50","154,40","154,40","150,80","863,18K","0,92%"
"26.01.2023","152,10","154,00","155,60","150,20","1,16M","-1,17%"
"25.01.2023","153,90","154,50","157,80","149,20","2,15M","-0,45%"
"24.01.2023","154,60","158,90","160,40","154,00","2,31M","-3,68%"
"23.01.2023","160,50","163,80","168,00","159,20","3,61M","-0,31%"
"20.01.2023","161,00","147,60","163,30","147,40","10,45M","9,08%"
"19.01.2023","147,60","155,00","155,00","145,60","3,26M","-4,40%"
"18.01.2023","154,40","160,80","165,50","151,00","4,15M","-4,46%"
