"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","969,50","980,00","1.000,00","950,00","314,94K","-0,15%"
"31.08.2023","971,00","947,50","977,50","946,50","305,24K","2,70%"
"30.08.2023","945,50","942,00","986,00","924,50","790,23K","0,64%"
"29.08.2023","939,50","941,50","944,00","926,50","138,25K","0,32%"
"28.08.2023","936,50","932,00","945,00","920,00","185,59K","1,02%"
"25.08.2023","927,00","928,00","938,00","916,00","187,82K","0,65%"
"24.08.2023","921,00","905,00","933,50","894,00","217,63K","0,49%"
"23.08.2023","916,50","925,50","936,00","890,00","352,13K","-0,65%"
"22.08.2023","922,50","947,00","962,00","914,00","301,00K","-2,38%"
"21.08.2023","945,00","905,50","959,00","896,00","892,90K","4,65%"
"18.08.2023","903,00","877,00","908,50","871,00","255,78K","3,79%"
"17.08.2023","870,00","873,00","883,00","850,00","87,05K","0,69%"
"16.08.2023","864,00","892,50","909,00","824,50","272,07K","-3,19%"
"15.08.2023","892,50","880,00","904,50","865,00","139,22K","0,22%"
"14.08.2023","890,50","920,50","927,00","870,00","239,17K","-2,89%"
"11.08.2023","917,00","904,50","945,00","900,50","498,07K","1,83%"
"10.08.2023","900,50","896,00","910,00","890,50","122,83K","0,95%"
"09.08.2023","892,00","905,50","905,50","884,00","228,97K","-0,61%"
"08.08.2023","897,50","912,50","912,50","866,00","217,22K","-1,27%"
"07.08.2023","909,00","902,00","928,00","899,00","296,92K","1,22%"
"04.08.2023","898,00","927,00","982,00","800,00","1,53M","-2,29%"
"03.08.2023","919,00","909,00","924,00","893,00","406,29K","2,17%"
"02.08.2023","899,50","918,00","925,00","885,50","324,82K","-1,21%"
"01.08.2023","910,50","897,00","927,50","897,00","490,63K","1,51%"
"31.07.2023","897,00","918,00","923,00","885,00","465,93K","-1,21%"
"28.07.2023","908,00","898,00","928,00","894,00","556,02K","2,48%"
"27.07.2023","886,00","903,00","940,00","880,00","1,01M","-1,01%"
"26.07.2023","895,00","823,50","935,00","815,50","3,05M","8,88%"
"25.07.2023","822,00","826,00","829,00","822,00","128,46K","-0,06%"
"24.07.2023","822,50","822,00","827,00","817,00","115,89K","0,86%"
"21.07.2023","815,50","823,00","823,00","806,00","88,06K","0,43%"
"20.07.2023","812,00","823,50","826,50","801,00","147,59K","-1,40%"
"19.07.2023","823,50","826,00","827,50","819,00","196,81K","0,43%"
"18.07.2023","820,00","828,00","837,00","816,50","208,70K","-0,97%"
"17.07.2023","828,00","825,00","839,50","812,00","330,57K","-0,12%"
"14.07.2023","829,00","826,00","845,00","818,00","691,12K","2,41%"
"13.07.2023","809,50","814,00","825,00","801,50","219,70K","-1,04%"
"12.07.2023","818,00","825,00","835,00","810,50","306,71K","-0,06%"
"11.07.2023","818,50","825,00","865,00","817,00","2,04M","0,12%"
"10.07.2023","817,50","803,50","825,00","790,00","739,70K","1,74%"
"07.07.2023","803,50","695,00","819,00","690,00","1,17M","9,39%"
"06.07.2023","734,50","766,50","780,00","730,50","355,18K","-3,99%"
"05.07.2023","765,00","794,50","794,50","755,00","334,48K","-3,29%"
"04.07.2023","791,00","818,00","819,00","780,00","279,61K","-2,94%"
"03.07.2023","815,00","817,50","828,00","806,00","198,75K","0,25%"
"30.06.2023","813,00","811,50","831,50","801,00","358,58K","0,49%"
"29.06.2023","809,00","828,50","850,00","807,00","658,14K","-2,06%"
"28.06.2023","826,00","778,50","827,50","778,00","832,13K","6,17%"
"27.06.2023","778,00","773,50","800,00","750,00","218,91K","0,58%"
"26.06.2023","773,50","770,00","798,00","746,00","211,83K","-2,21%"
"23.06.2023","791,00","811,50","811,50","775,00","325,02K","-2,59%"
"22.06.2023","812,00","808,00","836,00","789,00","453,00K","0,62%"
"21.06.2023","807,00","835,00","854,00","790,00","573,50K","-2,65%"
"20.06.2023","829,00","785,00","866,50","777,00","2,57M","6,97%"
"19.06.2023","775,00","709,00","790,00","705,00","1,78M","9,93%"
"16.06.2023","705,00","703,00","708,50","696,50","133,94K","0,28%"
"15.06.2023","703,00","700,00","709,00","695,00","164,55K","0,43%"
"14.06.2023","700,00","705,00","721,00","692,00","393,44K","0,14%"
"13.06.2023","699,00","692,00","704,00","685,50","181,39K","2,57%"
"09.06.2023","681,50","696,00","699,50","681,00","127,67K","-2,22%"
"08.06.2023","697,00","720,00","724,00","689,00","235,59K","-0,99%"
"07.06.2023","704,00","685,50","715,00","680,50","512,20K","3,45%"
"06.06.2023","680,50","666,00","687,00","645,00","278,64K","2,33%"
"05.06.2023","665,00","684,00","694,00","662,00","220,02K","-2,78%"
"02.06.2023","684,00","695,00","705,00","680,00","203,02K","-1,58%"
"01.06.2023","695,00","700,00","718,00","641,00","582,90K","-0,71%"
"31.05.2023","700,00","748,00","748,00","685,00","887,13K","2,94%"
"30.05.2023","680,00","680,00","748,00","660,00","1,33M","-1,73%"
"29.05.2023","692,00","663,00","701,00","663,00","287,41K","2,52%"
