"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","8,270","8,280","8,310","8,230","359,76K","1,72%"
"31.08.2023","8,130","8,110","8,160","8,100","139,52K","0,37%"
"30.08.2023","8,100","8,060","8,240","8,040","252,07K","0,37%"
"29.08.2023","8,070","7,940","8,080","7,940","143,83K","2,02%"
"28.08.2023","7,910","7,910","8,090","7,900","289,89K","1,54%"
"25.08.2023","7,790","7,780","7,900","7,760","223,47K","0,91%"
"24.08.2023","7,720","7,880","8,040","7,720","87,82K","-1,15%"
"23.08.2023","7,810","7,750","7,850","7,690","128,28K","0,90%"
"22.08.2023","7,740","7,630","7,910","7,620","156,13K","1,98%"
"21.08.2023","7,590","7,700","7,700","7,550","115,97K","1,20%"
"18.08.2023","7,500","7,430","7,500","7,420","253,63K","-1,06%"
"17.08.2023","7,580","7,600","7,700","7,560","380,67K","-1,94%"
"16.08.2023","7,730","7,780","7,870","7,720","552,08K","-3,13%"
"15.08.2023","7,980","8,140","8,280","7,930","157,37K","-1,85%"
"14.08.2023","8,130","8,330","8,380","8,070","494,84K","0,87%"
"11.08.2023","8,060","8,070","8,140","8,050","273,05K","0,50%"
"10.08.2023","8,020","7,990","8,090","7,980","406,97K","2,69%"
"09.08.2023","7,810","7,880","8,060","7,800","223,76K","-0,13%"
"08.08.2023","7,820","7,840","7,950","7,820","242,65K","0,51%"
"07.08.2023","7,780","8,030","8,200","7,770","189,93K","-3,23%"
"04.08.2023","8,040","7,960","8,050","7,930","512,06K","2,42%"
"03.08.2023","7,850","7,850","7,860","7,750","227,06K","0,00%"
"02.08.2023","7,850","7,920","7,990","7,850","375,74K","1,03%"
"01.08.2023","7,770","7,760","7,780","7,720","613,34K","1,70%"
"31.07.2023","7,640","7,710","7,710","7,620","280,70K","-0,91%"
"28.07.2023","7,710","7,650","7,720","7,620","365,36K","1,05%"
"27.07.2023","7,630","7,650","7,690","7,620","278,49K","1,87%"
"26.07.2023","7,490","7,520","7,550","7,470","257,84K","-0,27%"
"25.07.2023","7,510","7,490","7,520","7,460","301,80K","0,40%"
"24.07.2023","7,480","7,700","7,700","7,460","365,01K","-0,53%"
"21.07.2023","7,520","7,490","7,550","7,470","536,12K","0,00%"
"20.07.2023","7,520","7,690","7,720","7,500","651,12K","-2,59%"
"19.07.2023","7,720","7,640","7,740","7,640","497,72K","1,58%"
"18.07.2023","7,600","7,530","7,600","7,420","322,72K","0,93%"
"17.07.2023","7,530","7,520","7,570","7,420","394,89K","0,13%"
"14.07.2023","7,520","7,430","7,610","7,430","373,00K","1,48%"
"13.07.2023","7,410","7,400","7,540","7,390","199,07K","-2,11%"
"12.07.2023","7,570","7,510","7,620","7,490","659,76K","2,02%"
"11.07.2023","7,420","7,310","7,480","7,310","582,46K","1,37%"
"10.07.2023","7,320","7,420","7,420","7,290","393,69K","-1,35%"
"07.07.2023","7,420","7,320","7,450","7,320","301,57K","0,27%"
"06.07.2023","7,400","7,330","7,460","7,310","395,18K","-1,07%"
"05.07.2023","7,480","7,390","7,500","7,390","506,61K","2,05%"
"04.07.2023","7,330","7,330","7,380","7,270","410,19K","0,69%"
"03.07.2023","7,280","7,370","7,390","7,270","436,74K","-1,36%"
"30.06.2023","7,380","7,260","7,420","7,120","1,40M","4,09%"
"29.06.2023","7,090","7,050","7,150","7,040","284,96K","1,14%"
"28.06.2023","7,010","6,850","7,080","6,850","271,71K","2,79%"
"27.06.2023","6,820","6,860","6,910","6,780","88,55K","0,00%"
"26.06.2023","6,820","6,790","6,860","6,720","108,49K","0,44%"
"23.06.2023","6,790","6,820","6,850","6,750","181,75K","-0,44%"
"22.06.2023","6,820","6,760","6,910","6,680","139,11K","0,44%"
"21.06.2023","6,790","6,820","6,950","6,760","207,65K","-2,44%"
"20.06.2023","6,960","7,000","7,100","6,930","310,36K","-0,14%"
"19.06.2023","6,970","7,010","7,030","6,940","273,65K","-0,57%"
"16.06.2023","7,010","6,980","7,050","6,970","459,73K","1,59%"
"15.06.2023","6,900","6,910","6,930","6,790","259,19K","-0,43%"
"14.06.2023","6,930","6,820","6,990","6,820","423,55K","1,76%"
"13.06.2023","6,810","6,740","6,850","6,720","624,65K","3,97%"
"09.06.2023","6,550","6,560","6,640","6,520","106,92K","-0,15%"
"08.06.2023","6,560","6,440","6,590","6,440","128,41K","0,61%"
"07.06.2023","6,520","6,520","6,640","6,480","143,58K","0,31%"
"06.06.2023","6,500","6,440","6,550","6,430","133,24K","0,00%"
"05.06.2023","6,500","6,440","6,600","6,440","107,79K","-0,15%"
"02.06.2023","6,510","6,480","6,520","6,410","106,12K","0,15%"
"01.06.2023","6,500","6,390","6,540","6,380","183,50K","1,88%"
"31.05.2023","6,380","6,540","6,540","6,370","159,19K","-0,93%"
"30.05.2023","6,440","6,370","6,545","6,370","339,75K","1,26%"
"29.05.2023","6,360","6,250","6,495","6,250","255,64K","1,76%"
"26.05.2023","6,250","6,215","6,250","6,150","191,14K","0,56%"
"25.05.2023","6,215","6,390","6,390","6,110","392,56K","3,93%"
"24.05.2023","5,980","5,990","6,020","5,950","154,68K","-1,89%"
"23.05.2023","6,095","6,000","6,100","6,000","147,28K","0,49%"
"22.05.2023","6,065","5,965","6,080","5,965","219,03K","0,75%"
"19.05.2023","6,020","5,965","6,070","5,965","213,19K","-0,17%"
"18.05.2023","6,030","5,850","6,030","5,840","265,04K","3,25%"
"17.05.2023","5,840","5,820","5,930","5,820","169,23K","-1,18%"
"16.05.2023","5,910","5,800","5,995","5,800","143,59K","2,52%"
"15.05.2023","5,765","5,695","5,890","5,695","162,25K","2,49%"
"12.05.2023","5,625","5,590","5,755","5,585","153,04K","0,18%"
"11.05.2023","5,615","5,565","5,655","5,565","169,25K","2,84%"
"10.05.2023","5,460","5,590","5,595","5,430","149,03K","0,18%"
"08.05.2023","5,450","5,420","5,540","5,400","127,24K","0,18%"
"05.05.2023","5,440","5,245","5,470","5,245","270,17K","1,30%"
"04.05.2023","5,370","5,405","5,430","5,290","390,32K","-1,10%"
"03.05.2023","5,430","5,485","5,630","5,430","269,21K","-2,43%"
"02.05.2023","5,565","5,565","5,795","5,540","220,92K","-3,97%"
"28.04.2023","5,795","5,900","5,920","5,735","175,53K","-2,03%"
"27.04.2023","5,915","5,820","5,925","5,820","294,06K","0,08%"
"26.04.2023","5,910","5,935","5,980","5,865","327,87K","-1,34%"
"25.04.2023","5,990","6,020","6,065","5,990","458,83K","-0,83%"
"24.04.2023","6,040","6,050","6,110","6,015","330,89K","-0,58%"
"21.04.2023","6,075","6,030","6,100","6,015","393,45K","-0,41%"
"20.04.2023","6,100","6,000","6,220","6,000","647,30K","-1,37%"
"19.04.2023","6,185","6,155","6,190","6,155","615,45K","0,08%"
"18.04.2023","6,180","6,200","6,340","6,175","853,65K","1,23%"
"17.04.2023","6,105","6,095","6,245","3,400","1,02M","8,24%"
"24.02.2023","5,640","5,745","5,745","5,625","2,75K","0,18%"
"22.02.2023","5,630","5,580","5,685","5,580","5,51K","-0,71%"
"21.02.2023","5,670","5,720","5,730","5,580","3,08K","-0,87%"
"20.02.2023","5,720","5,605","5,745","5,545","21,06K","0,44%"
"17.02.2023","5,695","5,590","5,765","5,545","30,80K","-3,15%"
"16.02.2023","5,880","5,720","5,950","5,720","41,05K","3,25%"
"15.02.2023","5,695","5,680","5,900","5,585","16,22K","-0,44%"
"14.02.2023","5,720","5,720","5,720","5,320","7,55K","1,06%"
"13.02.2023","5,660","5,500","5,765","5,500","3,30K","1,16%"
"10.02.2023","5,595","5,710","5,710","5,535","2,78K","0,63%"
"09.02.2023","5,560","5,670","5,800","5,535","3,84K","-0,45%"
"08.02.2023","5,585","5,665","5,665","5,345","8,73K","4,98%"
"07.02.2023","5,320","5,450","5,485","5,295","3,86K","-2,39%"
"06.02.2023","5,450","5,475","5,625","5,310","4,97K","-0,46%"
"03.02.2023","5,475","5,450","5,635","5,400","6,31K","0,46%"
"02.02.2023","5,450","5,185","5,505","5,170","173,47K","5,11%"
"01.02.2023","5,185","5,220","5,220","5,130","3,47K","0,88%"
"31.01.2023","5,140","5,205","5,205","5,000","6,06K","-0,10%"
"30.01.2023","5,145","5,220","5,220","4,915","3,55K","-1,44%"
"27.01.2023","5,220","5,035","5,220","5,035","16,13K","3,67%"
"26.01.2023","5,035","5,100","5,195","5,005","2,22K","1,72%"
"25.01.2023","4,950","4,900","5,045","4,830","4,30K","-1,10%"
"24.01.2023","5,005","5,020","5,020","4,955","3,76K","-0,20%"
"23.01.2023","5,015","4,975","5,065","4,870","4,47K","1,31%"
"20.01.2023","4,950","4,920","4,970","4,905","4,51K","0,81%"
"19.01.2023","4,910","5,075","5,075","4,875","3,45K","-3,25%"
"18.01.2023","5,075","4,935","5,095","4,935","2,63K","3,15%"
"17.01.2023","4,920","4,860","4,950","4,505","6,87K","0,51%"
"16.01.2023","4,895","4,930","4,960","4,870","7,59K","-0,71%"
"13.01.2023","4,930","4,800","4,945","4,740","31,53K","1,23%"
"12.01.2023","4,870","5,000","5,000","4,825","8,02K","-1,22%"
"11.01.2023","4,930","4,950","4,950","4,680","10,14K","-0,60%"
"10.01.2023","4,960","5,050","5,050","4,765","13,53K","-2,17%"
"09.01.2023","5,070","5,045","5,070","4,840","113,10K","0,30%"
"06.01.2023","5,055","4,885","5,105","4,880","5,06K","-0,39%"
"05.01.2023","5,075","5,020","5,305","5,000","14,22K","0,20%"
"04.01.2023","5,065","5,295","5,295","4,615","2,37K","0,00%"
"03.01.2023","5,065","4,975","5,255","4,965","12,92K","-0,88%"
