"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","5,660","5,670","5,740","5,610","128,16K","0,00%"
"31.08.2023","5,660","5,660","5,700","5,640","228,12K","0,00%"
"30.08.2023","5,660","5,580","5,810","5,580","164,52K","1,80%"
"29.08.2023","5,560","5,460","5,600","5,460","218,94K","2,58%"
"28.08.2023","5,420","5,550","5,560","5,390","110,84K","1,31%"
"25.08.2023","5,350","5,330","5,430","5,330","116,39K","-1,29%"
"24.08.2023","5,420","5,570","5,570","5,390","122,41K","1,12%"
"23.08.2023","5,360","5,390","5,490","5,320","135,37K","0,19%"
"22.08.2023","5,350","5,510","5,520","5,330","126,36K","1,13%"
"21.08.2023","5,290","5,280","5,390","5,260","109,04K","0,76%"
"18.08.2023","5,250","5,220","5,350","5,220","301,12K","-2,23%"
"17.08.2023","5,370","5,450","5,470","5,350","214,39K","-1,47%"
"16.08.2023","5,450","5,670","5,680","5,440","390,31K","-5,55%"
"15.08.2023","5,770","5,720","5,850","5,650","234,91K","0,52%"
"14.08.2023","5,740","5,900","5,990","5,710","566,65K","-1,88%"
"11.08.2023","5,850","5,850","5,850","5,800","261,78K","2,09%"
"10.08.2023","5,730","5,760","5,800","5,720","176,89K","-0,35%"
"09.08.2023","5,750","5,830","5,830","5,740","258,68K","-0,69%"
"08.08.2023","5,790","5,750","5,830","5,750","146,21K","0,70%"
"07.08.2023","5,750","5,820","5,860","5,720","178,51K","-1,54%"
"04.08.2023","5,840","5,930","5,930","5,780","280,49K","-0,17%"
"03.08.2023","5,850","5,900","5,930","5,820","167,24K","-1,18%"
"02.08.2023","5,920","5,850","6,070","5,840","345,02K","2,60%"
"01.08.2023","5,770","5,690","5,790","5,690","544,53K","2,30%"
"31.07.2023","5,640","5,630","5,690","5,620","345,29K","0,53%"
"28.07.2023","5,610","5,750","5,750","5,580","204,30K","-0,53%"
"27.07.2023","5,640","5,650","5,670","5,630","325,26K","0,36%"
"26.07.2023","5,620","5,590","5,730","5,590","189,09K","-0,35%"
"25.07.2023","5,640","5,620","5,650","5,610","334,59K","0,36%"
"24.07.2023","5,620","5,650","5,800","5,610","260,70K","-0,71%"
