"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","6,380","6,380","6,390","6,370","39,57M","0,00%"
"31.08.2023","6,380","6,360","6,390","6,350","64,96M","0,47%"
"30.08.2023","6,350","6,350","6,360","6,330","60,29M","0,00%"
"29.08.2023","6,350","6,320","6,350","6,310","80,33M","0,47%"
"28.08.2023","6,320","6,250","6,320","6,240","79,83M","1,28%"
"25.08.2023","6,240","6,220","6,240","6,210","49,29M","0,32%"
"24.08.2023","6,220","6,180","6,230","6,160","61,98M","0,97%"
"23.08.2023","6,160","6,300","6,310","6,140","184,24M","-1,75%"
"22.08.2023","6,270","6,210","6,280","6,170","105,52M","0,97%"
"21.08.2023","6,210","6,220","6,230","6,190","110,72M","0,49%"
"18.08.2023","6,180","6,100","6,180","6,040","110,51M","1,48%"
"17.08.2023","6,090","6,100","6,120","5,990","110,49M","0,83%"
"16.08.2023","6,040","6,140","6,190","5,950","154,02M","-1,47%"
"15.08.2023","6,130","6,120","6,270","5,420","213,81M","-0,16%"
"14.08.2023","6,140","6,300","6,360","6,090","194,45M","-1,76%"
"11.08.2023","6,250","6,250","6,260","6,210","74,71M","0,16%"
"10.08.2023","6,240","6,170","6,240","6,150","96,33M","1,46%"
"09.08.2023","6,150","6,160","6,190","6,110","136,32M","0,16%"
"08.08.2023","6,140","6,140","6,150","6,010","195,81M","0,00%"
"07.08.2023","6,140","6,200","6,250","6,050","231,38M","0,16%"
"04.08.2023","6,130","6,280","6,360","6,040","314,48M","-2,39%"
"03.08.2023","6,280","6,210","6,280","6,160","169,42M","1,13%"
"02.08.2023","6,210","6,170","6,220","6,110","177,71M","0,81%"
"01.08.2023","6,160","6,090","6,190","6,070","162,54M","0,98%"
"31.07.2023","6,100","6,020","6,100","6,020","127,47M","2,01%"
"28.07.2023","5,980","5,950","5,980","5,930","67,69M","0,50%"
"27.07.2023","5,950","5,920","5,960","5,920","77,41M","0,51%"
"26.07.2023","5,920","5,900","5,930","5,880","87,29M","0,34%"
"25.07.2023","5,900","5,860","5,910","5,850","52,45M","0,68%"
"24.07.2023","5,860","5,820","5,860","5,810","46,08M","1,03%"
"21.07.2023","5,800","5,750","5,810","5,730","52,12M","0,69%"
"20.07.2023","5,760","5,860","5,870","5,750","92,20M","-1,87%"
"19.07.2023","5,870","5,890","5,920","5,850","73,71M","-0,34%"
"18.07.2023","5,890","5,800","5,890","5,790","71,84M","1,55%"
"17.07.2023","5,800","5,760","5,800","5,720","57,65M","0,69%"
"14.07.2023","5,760","5,750","5,760","5,710","26,59M","0,17%"
"13.07.2023","5,750","5,760","5,780","5,700","44,68M","0,00%"
"12.07.2023","5,750","5,700","5,770","5,700","54,62M","0,88%"
"11.07.2023","5,700","5,700","5,700","5,670","30,05M","0,18%"
"10.07.2023","5,690","5,600","5,690","5,600","53,05M","1,97%"
"07.07.2023","5,580","5,570","5,590","5,560","23,23M","0,18%"
"06.07.2023","5,570","5,550","5,580","5,550","30,46M","0,36%"
"05.07.2023","5,550","5,520","5,550","5,510","23,15M","0,73%"
