"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","7,000","7,030","7,100","6,970","209,93K","-0,14%"
"31.08.2023","7,010","6,900","7,020","6,900","194,19K","0,00%"
"30.08.2023","7,010","6,940","7,090","6,940","119,71K","1,01%"
"29.08.2023","6,940","6,780","6,970","6,780","227,21K","2,97%"
"28.08.2023","6,740","6,730","6,890","6,720","199,82K","1,35%"
"25.08.2023","6,650","6,650","6,760","6,630","90,78K","0,00%"
"24.08.2023","6,650","6,840","6,850","6,640","203,23K","-2,49%"
"23.08.2023","6,820","6,770","6,830","6,540","298,57K","1,19%"
"22.08.2023","6,740","6,590","6,760","6,590","213,50K","2,28%"
"21.08.2023","6,590","6,720","6,720","6,530","110,50K","1,23%"
"18.08.2023","6,510","6,400","6,610","6,400","179,19K","-1,21%"
"17.08.2023","6,590","6,780","6,780","6,570","213,64K","-3,51%"
"16.08.2023","6,830","6,750","6,950","6,720","432,87K","-2,15%"
"15.08.2023","6,980","7,110","7,200","6,930","243,74K","-1,69%"
"14.08.2023","7,100","7,210","7,340","7,060","865,58K","-0,28%"
"11.08.2023","7,120","7,120","7,170","7,110","253,54K","0,14%"
"10.08.2023","7,110","7,080","7,190","7,080","300,90K","1,43%"
"09.08.2023","7,010","7,090","7,160","7,010","334,22K","-0,85%"
"08.08.2023","7,070","7,100","7,190","7,060","471,22K","0,71%"
"07.08.2023","7,020","7,120","7,160","7,010","153,04K","-1,40%"
"04.08.2023","7,120","7,010","7,140","7,000","719,15K","1,57%"
"03.08.2023","7,010","6,980","7,050","6,910","252,55K","0,14%"
"02.08.2023","7,000","7,070","7,080","7,000","251,75K","-0,57%"
"01.08.2023","7,040","6,970","7,060","6,940","325,59K","1,00%"
"31.07.2023","6,970","7,050","7,080","6,960","241,07K","-1,13%"
"28.07.2023","7,050","6,950","7,090","6,920","245,10K","1,59%"
"27.07.2023","6,940","6,840","6,990","6,840","184,52K","2,51%"
"26.07.2023","6,770","6,930","6,930","6,740","168,50K","-0,73%"
"25.07.2023","6,820","6,850","6,850","6,750","245,13K","-0,44%"
"24.07.2023","6,850","6,900","6,900","6,670","228,72K","0,74%"
"21.07.2023","6,800","6,900","6,930","6,770","348,65K","-0,73%"
"20.07.2023","6,850","7,040","7,050","6,810","565,44K","-2,70%"
"19.07.2023","7,040","6,980","7,100","6,930","419,17K","1,88%"
"18.07.2023","6,910","6,910","6,980","6,880","655,60K","0,29%"
"17.07.2023","6,890","6,920","6,960","6,880","319,35K","-0,43%"
"14.07.2023","6,920","6,860","6,960","6,810","248,57K","0,29%"
"13.07.2023","6,900","6,960","6,960","6,850","461,34K","0,73%"
"12.07.2023","6,850","6,700","6,940","6,700","575,08K","2,54%"
"11.07.2023","6,680","6,590","6,690","6,590","165,15K","1,37%"
"10.07.2023","6,590","6,550","6,660","6,550","129,86K","-0,90%"
"07.07.2023","6,650","6,520","6,700","6,520","181,24K","0,61%"
"06.07.2023","6,610","6,770","6,770","6,570","378,65K","-1,20%"
"05.07.2023","6,690","6,580","6,760","6,580","226,68K","1,83%"
"04.07.2023","6,570","6,730","6,740","6,560","196,22K","-0,15%"
"03.07.2023","6,580","6,730","6,730","6,530","322,09K","-0,15%"
"30.06.2023","6,590","6,390","6,630","6,390","366,09K","3,94%"
"29.06.2023","6,340","6,510","6,510","6,300","187,71K","0,63%"
"28.06.2023","6,300","6,180","6,390","6,170","99,90K","2,94%"
"27.06.2023","6,120","6,090","6,210","6,060","103,72K","0,33%"
"26.06.2023","6,100","6,040","6,130","5,980","93,16K","0,49%"
"23.06.2023","6,070","6,110","6,140","6,020","103,07K","-0,98%"
"22.06.2023","6,130","6,070","6,150","6,060","157,07K","0,00%"
"21.06.2023","6,130","6,170","6,250","6,090","118,47K","-2,70%"
"20.06.2023","6,300","6,230","6,370","6,230","178,84K","-0,63%"
"19.06.2023","6,340","6,220","6,350","6,200","316,07K","0,48%"
"16.06.2023","6,310","6,250","6,380","6,250","198,91K","0,48%"
"15.06.2023","6,280","6,310","6,360","6,210","259,68K","-0,16%"
"14.06.2023","6,290","6,210","6,300","6,210","170,35K","1,94%"
"13.06.2023","6,170","5,980","6,250","5,980","274,08K","3,70%"
"09.06.2023","5,950","5,980","6,030","5,920","122,58K","0,17%"
"08.06.2023","5,940","5,890","6,200","5,870","142,72K","0,85%"
"07.06.2023","5,890","5,780","5,930","5,780","75,25K","1,90%"
"06.06.2023","5,780","5,780","5,950","5,750","102,19K","-0,34%"
"05.06.2023","5,800","5,750","5,880","5,750","204,27K","0,52%"
"02.06.2023","5,770","5,690","6,010","5,670","155,35K","1,76%"
"01.06.2023","5,670","5,650","5,680","5,610","90,79K","0,27%"
"31.05.2023","5,655","5,635","5,750","5,635","124,36K","-0,26%"
"30.05.2023","5,670","5,650","5,780","5,630","238,54K","0,62%"
"29.05.2023","5,635","5,525","5,670","5,525","236,86K","2,45%"
"26.05.2023","5,500","5,430","5,500","5,415","285,58K","0,92%"
"25.05.2023","5,450","5,355","5,520","5,355","290,23K","2,83%"
"24.05.2023","5,300","5,410","5,410","5,285","121,53K","-2,48%"
"23.05.2023","5,435","5,480","5,480","5,390","103,84K","0,65%"
"22.05.2023","5,400","5,315","5,480","5,315","114,67K","-0,18%"
"19.05.2023","5,410","5,405","5,495","5,395","223,99K","0,09%"
"18.05.2023","5,405","5,240","5,420","5,230","123,63K","2,76%"
"17.05.2023","5,260","5,275","5,335","5,230","116,11K","-0,66%"
"16.05.2023","5,295","5,175","5,300","5,175","122,63K","3,62%"
"15.05.2023","5,110","5,040","5,195","5,040","112,71K","2,30%"
"12.05.2023","4,995","4,945","5,070","4,945","230,79K","0,10%"
"11.05.2023","4,990","4,935","5,000","4,935","152,72K","1,94%"
"10.05.2023","4,895","5,005","5,005","4,875","182,12K","-2,30%"
"08.05.2023","5,010","4,955","5,055","4,955","56,33K","0,40%"
"05.05.2023","4,990","5,000","5,000","4,940","105,24K","0,10%"
"04.05.2023","4,985","5,005","5,070","4,945","137,55K","-1,77%"
"03.05.2023","5,075","5,140","5,175","5,070","140,03K","-1,17%"
"02.05.2023","5,135","5,190","5,215","5,120","441,56K","-1,06%"
"28.04.2023","5,190","5,220","5,345","5,150","204,41K","-2,90%"
"27.04.2023","5,345","5,260","5,345","5,255","163,11K","1,14%"
"26.04.2023","5,285","5,285","5,300","5,240","275,80K","0,00%"
"25.04.2023","5,285","5,300","5,335","5,285","192,61K","-0,47%"
"24.04.2023","5,310","5,290","5,450","5,290","208,71K","-1,03%"
"21.04.2023","5,365","5,390","5,400","5,330","186,87K","-0,37%"
"20.04.2023","5,385","5,370","5,415","5,330","316,88K","-0,55%"
"19.04.2023","5,415","5,370","5,435","5,370","311,16K","0,37%"
"18.04.2023","5,395","5,375","5,500","5,375","522,60K","0,84%"
"17.04.2023","5,350","5,350","5,450","5,350","821,31K","4,59%"
"24.02.2023","5,115","5,100","5,115","5,000","4,87K","2,51%"
"22.02.2023","4,990","5,035","5,040","4,985","14,42K","-1,67%"
"21.02.2023","5,075","5,090","5,090","5,010","32,69K","-1,46%"
"20.02.2023","5,150","5,125","5,155","4,970","9,91K","0,10%"
"17.02.2023","5,145","5,190","5,190","4,990","24,87K","-3,38%"
"16.02.2023","5,325","5,140","5,365","5,140","48,36K","3,60%"
"15.02.2023","5,140","5,125","6,500","5,080","28,66K","0,39%"
"14.02.2023","5,120","5,230","5,250","5,030","17,84K","0,29%"
"13.02.2023","5,105","5,080","5,250","5,070","28,45K","0,59%"
"10.02.2023","5,075","5,110","5,110","4,945","19,34K","-2,12%"
"09.02.2023","5,185","5,240","5,240","5,175","16,12K","-1,05%"
"08.02.2023","5,240","5,095","5,270","5,005","2,41K","4,28%"
"07.02.2023","5,025","5,075","5,075","4,980","3,51K","-1,08%"
"06.02.2023","5,080","5,235","5,235","5,030","17,19K","-1,45%"
"03.02.2023","5,155","5,065","5,155","4,985","3,94K","1,28%"
"02.02.2023","5,090","5,050","5,125","5,020","6,61K","5,60%"
"01.02.2023","4,820","4,800","4,830","4,735","1,62K","3,83%"
"31.01.2023","4,642","4,808","4,808","4,600","10,38K","-2,81%"
"30.01.2023","4,776","4,768","4,804","4,640","17,36K","2,53%"
"27.01.2023","4,658","4,670","4,762","4,620","5,01K","-0,85%"
"26.01.2023","4,698","4,720","4,728","4,588","7,08K","2,62%"
"25.01.2023","4,578","4,770","4,770","4,470","4,10K","-0,95%"
"24.01.2023","4,622","4,548","4,622","4,548","13,65K","-0,73%"
"23.01.2023","4,656","4,516","4,656","4,478","2,49K","3,70%"
"20.01.2023","4,490","4,464","4,506","4,464","2,41K","0,09%"
"19.01.2023","4,486","4,416","4,504","4,416","3,26K","-2,52%"
"18.01.2023","4,602","4,518","4,602","4,480","6,00K","2,59%"
"17.01.2023","4,486","4,620","4,620","4,436","4,68K","-1,10%"
"16.01.2023","4,536","4,500","4,552","4,490","1,86K","0,80%"
"13.01.2023","4,500","4,250","4,500","4,250","6,83K","4,51%"
"12.01.2023","4,306","4,404","4,442","4,294","8,66K","-2,23%"
"11.01.2023","4,404","4,406","4,426","4,300","1,98K","0,09%"
"10.01.2023","4,400","4,472","4,472","4,362","0,42K","1,38%"
"09.01.2023","4,340","4,410","4,442","4,330","1,44K","-1,59%"
"06.01.2023","4,410","4,288","4,512","4,288","2,70K","-1,74%"
"05.01.2023","4,488","4,494","4,494","4,406","1,23K","1,81%"
"04.01.2023","4,408","4,420","4,448","4,314","0,17K","1,47%"
"03.01.2023","4,344","4,362","4,422","4,224","0,40K","0,09%"
