"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","261,46","264,80","264,80","257,00","4,19M","-1,63%"
"31.08.2023","265,80","270,60","276,60","262,46","4,94M","-1,70%"
"30.08.2023","270,40","263,00","277,82","260,80","12,64M","3,68%"
"29.08.2023","260,80","251,50","263,40","250,46","10,28M","4,13%"
"28.08.2023","250,46","245,00","252,40","244,00","7,04M","2,82%"
"25.08.2023","243,60","246,50","248,98","241,86","2,22M","-0,49%"
"24.08.2023","244,80","241,98","248,00","238,20","5,24M","0,96%"
"23.08.2023","242,48","245,10","246,00","237,70","2,64M","-0,79%"
"22.08.2023","244,40","246,00","247,90","242,54","1,82M","-0,02%"
"21.08.2023","244,46","243,00","249,00","242,04","3,12M","0,73%"
"18.08.2023","242,70","237,00","242,76","237,00","1,95M","2,40%"
"17.08.2023","237,02","243,00","243,00","233,02","2,07M","-0,81%"
"16.08.2023","238,96","245,34","247,74","227,00","6,34M","-2,66%"
"15.08.2023","245,50","235,00","249,20","225,04","7,77M","3,16%"
"14.08.2023","237,98","239,30","249,46","231,04","13,32M","1,92%"
"11.08.2023","233,50","223,00","237,72","222,68","16,10M","5,18%"
"10.08.2023","222,00","221,24","223,88","219,70","1,91M","0,70%"
"09.08.2023","220,46","222,00","222,64","219,00","1,62M","-0,23%"
"08.08.2023","220,96","221,80","230,88","217,02","10,41M","0,15%"
"07.08.2023","220,64","220,00","225,60","216,00","5,42M","2,20%"
"04.08.2023","215,90","221,00","223,68","213,00","4,47M","-1,42%"
"03.08.2023","219,00","218,00","221,78","216,50","3,89M","1,15%"
"02.08.2023","216,50","220,02","222,00","211,40","7,92M","-1,37%"
"01.08.2023","219,50","209,20","227,50","208,50","23,22M","5,52%"
"31.07.2023","208,02","190,80","209,88","187,26","17,22M","12,16%"
"28.07.2023","185,46","177,80","186,32","177,26","7,53M","5,16%"
"27.07.2023","176,36","174,80","178,34","173,72","4,02M","1,99%"
"26.07.2023","172,92","172,84","180,82","166,26","13,09M","0,42%"
"25.07.2023","172,20","175,50","175,50","168,74","2,02M","-1,25%"
"24.07.2023","174,38","169,90","176,18","168,76","2,55M","3,09%"
"21.07.2023","169,16","168,10","170,48","166,00","1,31M","0,63%"
"20.07.2023","168,10","173,90","179,88","168,00","5,03M","-2,75%"
"19.07.2023","172,86","163,80","174,88","160,60","7,60M","5,53%"
"18.07.2023","163,80","164,42","165,68","163,00","1,12M","-0,18%"
"17.07.2023","164,10","163,00","165,70","162,62","723,11K","-0,35%"
"14.07.2023","164,68","167,48","167,48","163,70","1,17M","-1,16%"
"13.07.2023","166,62","164,80","168,54","164,14","2,14M","1,54%"
"12.07.2023","164,10","164,30","166,10","162,50","1,34M","-0,12%"
