"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","9,490","9,580","9,580","9,410","180,17K","0,96%"
"31.08.2023","9,400","9,340","9,500","9,200","332,21K","0,97%"
"30.08.2023","9,310","9,220","9,340","9,210","301,61K","1,20%"
"29.08.2023","9,200","8,900","9,200","8,900","355,66K","3,72%"
"28.08.2023","8,870","8,870","9,020","8,870","214,35K","0,68%"
"25.08.2023","8,810","9,050","9,050","8,710","254,75K","-1,45%"
"24.08.2023","8,940","9,060","9,180","8,940","185,59K","-1,00%"
"23.08.2023","9,030","9,050","9,200","8,820","371,89K","-0,22%"
"22.08.2023","9,050","8,920","9,180","8,920","252,25K","2,72%"
"21.08.2023","8,810","8,600","8,920","8,600","219,01K","3,04%"
"18.08.2023","8,550","8,420","8,700","8,420","248,43K","-0,58%"
"17.08.2023","8,600","8,800","8,920","8,580","660,56K","-3,59%"
"16.08.2023","8,920","8,890","9,010","8,860","560,62K","-3,15%"
"15.08.2023","9,210","9,330","9,500","9,140","192,07K","-1,39%"
"14.08.2023","9,340","9,690","9,690","9,270","710,96K","-1,06%"
"11.08.2023","9,440","9,690","9,690","9,420","480,00K","-1,36%"
"10.08.2023","9,570","9,380","9,600","9,380","469,35K","1,70%"
"09.08.2023","9,410","9,500","9,520","9,390","559,76K","0,75%"
"08.08.2023","9,340","9,350","9,530","9,300","252,53K","0,00%"
"07.08.2023","9,340","9,670","9,670","9,320","360,04K","-0,53%"
"04.08.2023","9,390","9,280","9,440","9,240","666,24K","1,40%"
"03.08.2023","9,260","9,240","9,290","9,120","324,88K","-0,43%"
"02.08.2023","9,300","9,390","9,540","9,230","434,31K","-0,75%"
"01.08.2023","9,370","9,350","9,390","9,350","334,18K","0,21%"
"31.07.2023","9,350","9,340","9,410","9,330","291,73K","0,43%"
"28.07.2023","9,310","9,250","9,380","9,210","355,29K","0,98%"
"27.07.2023","9,220","9,090","9,260","9,070","383,97K","4,42%"
"26.07.2023","8,830","9,050","9,050","8,810","319,02K","-2,21%"
"25.07.2023","9,030","8,800","9,080","8,780","606,66K","2,03%"
"24.07.2023","8,850","8,930","9,000","8,840","373,38K","-0,78%"
"21.07.2023","8,920","8,940","9,080","8,860","655,86K","0,11%"
"20.07.2023","8,910","9,260","9,260","8,890","887,88K","-4,60%"
"19.07.2023","9,340","9,340","9,450","9,290","632,31K","0,65%"
"18.07.2023","9,280","9,210","9,320","9,210","342,46K","1,09%"
"17.07.2023","9,180","9,300","9,300","9,030","417,71K","0,11%"
"14.07.2023","9,170","9,100","9,230","9,040","604,34K","1,89%"
"13.07.2023","9,000","8,920","9,110","8,840","543,13K","0,90%"
"12.07.2023","8,920","8,760","8,970","8,760","725,93K","3,36%"
"11.07.2023","8,630","8,650","8,900","8,620","256,15K","-1,26%"
"10.07.2023","8,740","8,770","8,830","8,640","424,03K","-0,23%"
"07.07.2023","8,760","8,630","8,800","8,630","247,25K","1,74%"
"06.07.2023","8,610","8,790","8,820","8,560","278,08K","-2,38%"
"05.07.2023","8,820","8,830","8,880","8,780","654,62K","0,34%"
"04.07.2023","8,790","8,740","8,800","8,700","265,68K","1,38%"
"03.07.2023","8,670","8,820","8,920","8,640","759,41K","-1,70%"
"30.06.2023","8,820","8,570","8,840","8,570","844,76K","4,26%"
"29.06.2023","8,460","8,400","8,550","8,320","944,82K","0,71%"
"28.06.2023","8,400","8,210","8,400","8,200","1,06M","4,22%"
"27.06.2023","8,060","7,920","8,060","7,920","247,05K","0,88%"
"26.06.2023","7,990","8,000","8,140","7,990","272,21K","-0,25%"
"23.06.2023","8,010","7,980","8,280","7,900","233,95K","0,50%"
"22.06.2023","7,970","7,930","8,050","7,900","216,40K","0,50%"
"21.06.2023","7,930","8,090","8,110","7,870","514,55K","-2,58%"
"20.06.2023","8,140","8,110","8,250","8,070","563,08K","-0,25%"
"19.06.2023","8,160","8,150","8,200","8,140","402,62K","-0,61%"
"16.06.2023","8,210","8,190","8,240","8,160","549,49K","-0,12%"
"15.06.2023","8,220","8,260","8,280","8,110","587,44K","-0,84%"
"14.06.2023","8,290","8,080","8,300","8,070","788,31K","0,73%"
"13.06.2023","8,230","8,120","8,300","7,850","1,61M","6,33%"
"09.06.2023","7,740","7,770","7,840","7,720","347,46K","0,39%"
"08.06.2023","7,710","7,600","7,730","7,600","363,36K","0,78%"
"07.06.2023","7,650","7,540","7,700","7,540","382,03K","1,73%"
"06.06.2023","7,520","7,400","7,610","7,370","522,06K","1,62%"
"05.06.2023","7,400","7,460","7,550","7,370","202,98K","-2,12%"
"02.06.2023","7,560","7,430","7,660","7,430","298,20K","0,93%"
"01.06.2023","7,490","7,330","7,490","7,330","410,77K","0,94%"
"31.05.2023","7,420","7,660","7,670","7,405","398,34K","-3,82%"
"30.05.2023","7,715","7,685","7,860","7,630","1,08M","1,65%"
"29.05.2023","7,590","7,455","7,715","7,450","610,08K","2,64%"
"26.05.2023","7,395","7,040","7,445","7,040","623,63K","5,04%"
"25.05.2023","7,040","6,885","7,045","6,885","378,28K","6,18%"
"24.05.2023","6,630","6,850","6,850","6,615","402,59K","-3,56%"
"23.05.2023","6,875","6,780","6,910","6,780","239,99K","-0,07%"
"22.05.2023","6,880","6,725","6,900","6,725","325,65K","0,66%"
"19.05.2023","6,835","6,955","7,100","6,820","555,48K","-1,30%"
"18.05.2023","6,925","6,480","6,975","6,455","481,84K","4,45%"
"17.05.2023","6,630","6,555","6,660","6,555","306,59K","0,23%"
"16.05.2023","6,615","6,475","6,645","6,475","318,18K","3,68%"
"15.05.2023","6,380","6,245","6,415","6,245","286,67K","3,24%"
"12.05.2023","6,180","6,105","6,205","6,105","269,31K","1,81%"
"11.05.2023","6,070","6,090","6,240","6,045","149,96K","0,83%"
"10.05.2023","6,020","6,195","6,195","5,970","337,15K","-3,83%"
"08.05.2023","6,260","6,305","6,330","6,215","54,82K","1,29%"
"05.05.2023","6,180","6,005","6,195","6,005","419,00K","-0,16%"
"04.05.2023","6,190","6,155","6,265","6,075","207,93K","-1,20%"
"03.05.2023","6,265","6,310","6,410","6,255","188,99K","-2,64%"
"02.05.2023","6,435","6,395","6,515","6,365","325,59K","1,58%"
"28.04.2023","6,335","6,195","6,390","6,195","335,20K","0,80%"
"27.04.2023","6,285","6,265","6,310","6,210","244,75K","-2,10%"
"26.04.2023","6,420","6,405","6,425","6,335","542,53K","-0,08%"
"25.04.2023","6,425","6,425","6,580","6,415","321,16K","-1,08%"
"24.04.2023","6,495","6,455","6,565","6,455","392,00K","-0,69%"
"21.04.2023","6,540","6,550","6,605","6,505","312,08K","-1,21%"
"20.04.2023","6,620","6,505","6,640","6,505","579,74K","0,38%"
"19.04.2023","6,595","6,710","6,765","6,580","730,01K","-0,98%"
"18.04.2023","6,660","6,640","6,890","6,635","1,09M","2,30%"
"17.04.2023","6,510","6,490","6,660","6,490","1,62M","5,17%"
"24.02.2023","6,190","6,070","6,340","6,070","23,45K","3,17%"
"22.02.2023","6,000","5,980","6,070","5,860","17,50K","-1,88%"
"21.02.2023","6,115","6,280","6,280","6,005","17,36K","0,25%"
"20.02.2023","6,100","6,005","6,250","5,995","10,59K","-0,57%"
"17.02.2023","6,135","6,305","6,320","6,020","106,76K","-3,39%"
"16.02.2023","6,350","6,250","6,525","6,250","37,87K","2,34%"
"15.02.2023","6,205","6,195","6,350","6,155","40,10K","0,08%"
"14.02.2023","6,200","6,270","6,270","5,985","17,56K","1,47%"
"13.02.2023","6,110","6,190","6,190","6,080","2,22K","0,58%"
