"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","2,562","2,400","2,573","2,390","1,84B","7,69%"
"31.08.2023","2,379","2,370","2,407","2,312","627,98M","0,85%"
"30.08.2023","2,359","2,194","2,378","2,192","884,59M","8,06%"
"29.08.2023","2,183","2,178","2,199","2,106","314,07M","0,65%"
"28.08.2023","2,169","2,159","2,180","2,153","101,85M","0,84%"
"25.08.2023","2,151","2,133","2,165","2,123","124,37M","0,84%"
"24.08.2023","2,133","2,123","2,154","2,090","186,58M","1,47%"
"23.08.2023","2,102","2,132","2,190","2,057","525,25M","-1,45%"
"22.08.2023","2,133","2,125","2,155","2,085","134,66M","0,42%"
"21.08.2023","2,124","2,063","2,129","2,052","161,41M","3,56%"
"18.08.2023","2,051","2,062","2,079","2,033","72,14M","0,54%"
"17.08.2023","2,040","2,003","2,050","1,974","104,13M","2,20%"
"16.08.2023","1,996","2,055","2,065","1,962","137,76M","-2,92%"
"15.08.2023","2,056","2,035","2,084","2,001","80,83M","0,59%"
"14.08.2023","2,044","2,118","2,144","2,031","197,03M","-3,40%"
"11.08.2023","2,116","2,096","2,124","2,071","94,86M","0,67%"
"10.08.2023","2,102","2,062","2,150","2,058","224,96M","2,14%"
"09.08.2023","2,058","2,065","2,098","2,036","107,56M","-0,24%"
"08.08.2023","2,063","2,095","2,095","2,022","136,69M","-1,57%"
"07.08.2023","2,096","2,130","2,170","2,066","169,05M","-0,71%"
"04.08.2023","2,111","2,170","2,195","2,041","359,55M","-2,85%"
"03.08.2023","2,173","2,160","2,180","2,150","140,98M","0,70%"
"02.08.2023","2,158","2,168","2,183","2,138","209,61M","-0,46%"
"01.08.2023","2,168","2,150","2,232","2,115","792,61M","1,45%"
"31.07.2023","2,137","2,030","2,139","2,022","366,80M","6,37%"
"28.07.2023","2,009","2,015","2,030","1,996","116,78M","-0,30%"
"27.07.2023","2,015","2,025","2,086","1,988","423,01M","-0,20%"
"26.07.2023","2,019","1,972","2,055","1,920","401,07M","2,38%"
"25.07.2023","1,972","1,980","1,990","1,942","131,30M","-0,15%"
"24.07.2023","1,975","1,897","1,976","1,892","146,44M","4,39%"
"21.07.2023","1,892","1,870","1,901","1,860","53,52M","0,64%"
"20.07.2023","1,880","1,916","1,919","1,863","131,48M","-1,83%"
"19.07.2023","1,915","1,930","1,943","1,902","111,66M","-0,52%"
"18.07.2023","1,925","1,840","1,943","1,834","277,95M","4,73%"
"17.07.2023","1,838","1,841","1,844","1,830","40,99M","-0,16%"
"14.07.2023","1,841","1,853","1,853","1,835","33,36M","-0,11%"
"13.07.2023","1,843","1,852","1,862","1,839","30,40M","-0,49%"
"12.07.2023","1,852","1,850","1,863","1,834","40,79M","0,33%"
"11.07.2023","1,846","1,850","1,854","1,831","34,29M","0,22%"
"10.07.2023","1,842","1,830","1,852","1,827","50,87M","0,88%"
"07.07.2023","1,826","1,823","1,846","1,809","58,62M","0,55%"
"06.07.2023","1,816","1,817","1,836","1,802","41,80M","0,33%"
"05.07.2023","1,810","1,795","1,816","1,791","43,88M","1,23%"
"04.07.2023","1,788","1,800","1,806","1,788","35,11M","-0,61%"
"03.07.2023","1,799","1,793","1,805","1,787","42,80M","0,33%"
"30.06.2023","1,793","1,811","1,811","1,780","40,64M","-0,77%"
"29.06.2023","1,807","1,800","1,827","1,791","61,50M","0,28%"
"28.06.2023","1,802","1,829","1,838","1,799","94,51M","-1,15%"
"27.06.2023","1,823","1,833","1,846","1,821","46,66M","0,05%"
"26.06.2023","1,822","1,876","1,877","1,765","124,99M","-1,03%"
"23.06.2023","1,841","1,879","1,882","1,816","95,67M","-2,02%"
"22.06.2023","1,879","1,860","1,935","1,857","232,73M","1,02%"
"21.06.2023","1,860","1,856","1,869","1,850","41,94M","0,22%"
"20.06.2023","1,856","1,858","1,859","1,831","50,42M","-0,11%"
"19.06.2023","1,858","1,862","1,866","1,849","49,79M","-0,16%"
"16.06.2023","1,861","1,878","1,878","1,851","42,56M","-0,27%"
"15.06.2023","1,866","1,878","1,878","1,845","77,59M","-0,32%"
"14.06.2023","1,872","1,868","1,879","1,862","59,67M","0,21%"
"13.06.2023","1,868","1,850","1,873","1,844","57,37M","1,52%"
"09.06.2023","1,840","1,870","1,874","1,825","64,94M","-1,18%"
"08.06.2023","1,862","1,812","1,878","1,805","220,05M","2,82%"
"07.06.2023","1,811","1,813","1,826","1,794","120,50M","-0,11%"
"06.06.2023","1,813","1,910","1,915","1,778","829,47M","-5,43%"
"05.06.2023","1,917","1,920","1,939","1,907","90,33M","0,00%"
"02.06.2023","1,917","1,904","1,923","1,902","38,61M","0,68%"
"01.06.2023","1,904","1,941","1,942","1,901","55,56M","-1,45%"
"31.05.2023","1,932","1,923","1,961","1,918","76,61M","0,42%"
"30.05.2023","1,924","1,939","1,948","1,904","88,14M","-1,38%"
"29.05.2023","1,951","1,934","1,969","1,921","131,15M","2,04%"
"26.05.2023","1,912","1,910","1,939","1,900","65,73M","0,42%"
"25.05.2023","1,904","1,930","1,930","1,890","64,12M","-1,35%"
"24.05.2023","1,930","1,941","1,958","1,912","71,12M","-0,52%"
"23.05.2023","1,940","1,888","1,969","1,871","258,75M","3,08%"
"22.05.2023","1,882","1,921","1,921","1,871","89,01M","-1,36%"
"19.05.2023","1,908","1,923","1,930","1,890","65,22M","-0,83%"
"18.05.2023","1,924","1,933","1,952","1,913","94,49M","-0,36%"
"17.05.2023","1,931","1,914","1,946","1,905","135,72M","1,10%"
"16.05.2023","1,910","1,919","1,925","1,898","61,26M","-0,16%"
"15.05.2023","1,913","1,918","1,926","1,891","115,44M","1,00%"
"12.05.2023","1,894","1,880","1,900","1,857","105,64M","0,42%"
"11.05.2023","1,886","1,889","1,979","1,800","588,03M","0,27%"
"10.05.2023","1,881","1,734","1,899","1,707","532,01M","8,54%"
"08.05.2023","1,733","1,774","1,796","1,718","82,85M","-2,75%"
"05.05.2023","1,782","1,816","1,834","1,775","124,06M","-1,49%"
"04.05.2023","1,809","1,790","1,819","1,781","137,25M","0,95%"
"03.05.2023","1,792","1,840","1,869","1,773","448,36M","-1,86%"
