"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","52.140,0","52.320,0","52.360,0","51.840,0","0,62K","0,12%"
"31.08.2023","52.080,0","52.380,0","52.600,0","51.980,0","1,06K","0,19%"
"30.08.2023","51.980,0","52.180,0","52.180,0","51.720,0","0,61K","0,27%"
"29.08.2023","51.840,0","52.640,0","52.780,0","51.520,0","1,48K","-1,11%"
"28.08.2023","52.420,0","51.580,0","52.800,0","51.420,0","1,64K","1,94%"
"25.08.2023","51.420,0","51.320,0","51.780,0","51.320,0","0,47K","-0,31%"
"24.08.2023","51.580,0","51.720,0","51.820,0","51.160,0","0,46K","-0,42%"
"23.08.2023","51.800,0","52.440,0","52.620,0","51.380,0","0,67K","-1,30%"
"22.08.2023","52.480,0","52.620,0","52.740,0","52.140,0","0,60K","0,08%"
"21.08.2023","52.440,0","52.200,0","52.640,0","51.860,0","0,82K","1,12%"
"18.08.2023","51.860,0","52.000,0","52.880,0","51.720,0","1,09K","0,19%"
"17.08.2023","51.760,0","52.560,0","52.560,0","51.240,0","0,94K","-0,23%"
"16.08.2023","51.880,0","52.100,0","54.460,0","51.120,0","5,19K","-0,46%"
"15.08.2023","52.120,0","52.000,0","52.960,0","50.880,0","1,60K","0,08%"
"14.08.2023","52.080,0","53.400,0","53.700,0","51.140,0","1,78K","-1,25%"
"11.08.2023","52.740,0","52.660,0","53.860,0","52.440,0","1,60K","0,76%"
"10.08.2023","52.340,0","51.420,0","53.400,0","51.420,0","1,18K","1,95%"
"09.08.2023","51.340,0","50.820,0","52.720,0","50.820,0","0,90K","1,02%"
"08.08.2023","50.820,0","51.300,0","51.700,0","50.060,0","1,21K","-1,09%"
"07.08.2023","51.380,0","52.280,0","52.800,0","51.360,0","1,25K","0,20%"
"04.08.2023","51.280,0","52.820,0","55.960,0","51.000,0","7,04K","-2,58%"
"03.08.2023","52.640,0","50.760,0","54.080,0","50.700,0","6,13K","3,74%"
"02.08.2023","50.740,0","50.240,0","52.360,0","50.040,0","4,04K","1,12%"
"01.08.2023","50.180,0","50.500,0","50.820,0","50.100,0","0,80K","-0,59%"
"31.07.2023","50.480,0","50.860,0","51.000,0","50.020,0","1,19K","-0,20%"
"28.07.2023","50.580,0","51.620,0","51.820,0","50.120,0","2,06K","-1,60%"
"27.07.2023","51.400,0","50.820,0","51.540,0","49.440,0","6,54K","4,51%"
"26.07.2023","49.180,0","49.280,0","49.320,0","49.160,0","0,26K","-0,12%"
"25.07.2023","49.240,0","49.040,0","49.320,0","49.020,0","0,36K","0,20%"
"24.07.2023","49.140,0","49.000,0","49.200,0","49.000,0","0,28K","-0,12%"
"21.07.2023","49.200,0","48.940,0","49.260,0","48.780,0","0,33K","0,53%"
"20.07.2023","48.940,0","49.760,0","49.760,0","47.000,0","1,53K","-0,89%"
"19.07.2023","49.380,0","49.260,0","49.500,0","49.100,0","0,48K","0,33%"
"18.07.2023","49.220,0","49.080,0","49.320,0","49.040,0","0,39K","0,29%"
"17.07.2023","49.080,0","49.080,0","49.360,0","49.020,0","0,31K","-0,28%"
"14.07.2023","49.220,0","49.220,0","49.380,0","49.100,0","0,29K","0,04%"
"13.07.2023","49.200,0","49.360,0","49.540,0","49.100,0","0,31K","-0,08%"
"12.07.2023","49.240,0","49.220,0","49.900,0","49.000,0","0,82K","0,29%"
"11.07.2023","49.100,0","49.120,0","49.240,0","49.000,0","0,34K","-0,04%"
"10.07.2023","49.120,0","49.060,0","49.280,0","48.920,0","0,28K","0,37%"
"07.07.2023","48.940,0","49.020,0","49.100,0","48.900,0","0,12K","-0,20%"
"06.07.2023","49.040,0","49.280,0","49.800,0","48.920,0","0,40K","-0,12%"
"05.07.2023","49.100,0","48.800,0","49.500,0","48.680,0","0,63K","0,61%"
"04.07.2023","48.800,0","49.000,0","49.080,0","48.360,0","0,38K","-0,41%"
"03.07.2023","49.000,0","49.020,0","49.200,0","48.940,0","0,38K","-0,04%"
"30.06.2023","49.020,0","49.420,0","50.020,0","49.020,0","1,01K","-0,16%"
"29.06.2023","49.100,0","49.200,0","51.360,0","49.000,0","3,22K","-0,20%"
"28.06.2023","49.200,0","49.460,0","49.460,0","49.060,0","0,22K","-0,04%"
"27.06.2023","49.220,0","49.300,0","49.500,0","49.120,0","0,28K","0,37%"
"26.06.2023","49.040,0","49.300,0","49.500,0","48.920,0","0,40K","-0,69%"
"23.06.2023","49.380,0","50.080,0","50.220,0","49.140,0","0,35K","-1,40%"
"22.06.2023","50.080,0","49.840,0","50.500,0","49.420,0","0,52K","1,05%"
"21.06.2023","49.560,0","49.480,0","50.300,0","49.360,0","0,60K","0,24%"
"20.06.2023","49.440,0","49.120,0","50.800,0","49.040,0","0,91K","0,82%"
"19.06.2023","49.040,0","49.840,0","49.840,0","48.800,0","0,40K","-0,81%"
"16.06.2023","49.440,0","49.660,0","49.700,0","49.000,0","0,42K","-0,12%"
"15.06.2023","49.500,0","50.020,0","50.180,0","49.000,0","0,33K","-0,92%"
"14.06.2023","49.960,0","50.160,0","51.160,0","49.060,0","1,28K","2,17%"
"13.06.2023","48.900,0","48.620,0","49.000,0","48.600,0","0,29K","0,70%"
"09.06.2023","48.560,0","48.400,0","49.080,0","48.300,0","0,35K","0,33%"
"08.06.2023","48.400,0","48.340,0","48.600,0","48.320,0","0,21K","-0,08%"
"07.06.2023","48.440,0","48.660,0","49.020,0","48.320,0","0,37K","-0,41%"
"06.06.2023","48.640,0","49.100,0","49.100,0","48.200,0","0,68K","-0,82%"
"05.06.2023","49.040,0","49.700,0","49.700,0","49.020,0","0,31K","-0,57%"
"02.06.2023","49.320,0","49.140,0","49.660,0","49.000,0","0,36K","0,33%"
"01.06.2023","49.160,0","49.980,0","50.060,0","49.160,0","0,34K","-1,05%"
"31.05.2023","49.680,0","49.860,0","49.860,0","49.080,0","0,44K","0,49%"
"30.05.2023","49.440,0","49.380,0","49.700,0","48.660,0","0,75K","0,45%"
"29.05.2023","49.220,0","49.760,0","49.760,0","49.120,0","0,48K","0,24%"
"26.05.2023","49.100,0","49.000,0","49.800,0","49.000,0","0,69K","0,20%"
"25.05.2023","49.000,0","49.900,0","49.940,0","49.000,0","0,38K","-1,41%"
"24.05.2023","49.700,0","49.960,0","50.040,0","49.620,0","0,22K","-0,24%"
"23.05.2023","49.820,0","51.000,0","51.000,0","49.540,0","0,61K","-0,76%"
"22.05.2023","50.200,0","49.420,0","51.300,0","49.360,0","1,39K","2,20%"
"19.05.2023","49.120,0","50.120,0","50.120,0","48.300,0","0,64K","-2,07%"
"18.05.2023","50.160,0","50.240,0","50.580,0","50.040,0","0,28K","-0,28%"
"17.05.2023","50.300,0","50.620,0","50.620,0","50.080,0","0,36K","-0,71%"
"16.05.2023","50.660,0","51.100,0","51.120,0","50.440,0","0,48K","0,16%"
"15.05.2023","50.580,0","51.200,0","51.600,0","50.000,0","0,84K","-1,17%"
"12.05.2023","51.180,0","51.900,0","51.900,0","51.000,0","0,40K","-1,39%"
"11.05.2023","51.900,0","51.720,0","52.460,0","51.020,0","0,86K","1,09%"
"10.05.2023","51.340,0","50.620,0","51.760,0","50.620,0","0,89K","0,35%"
"08.05.2023","51.160,0","50.740,0","52.200,0","50.740,0","0,43K","0,91%"
"05.05.2023","50.700,0","50.000,0","52.580,0","49.820,0","1,90K","1,81%"
"04.05.2023","49.800,0","50.080,0","50.440,0","48.940,0","0,65K","0,36%"
"03.05.2023","49.620,0","50.000,0","51.580,0","48.800,0","1,49K","-1,00%"
"02.05.2023","50.120,0","53.200,0","54.420,0","48.200,0","2,78K","-5,11%"
"28.04.2023","52.820,0","52.740,0","55.600,0","52.660,0","6,42K","0,30%"
"27.04.2023","52.660,0","51.780,0","54.000,0","51.400,0","3,91K","1,62%"
"26.04.2023","51.820,0","51.900,0","52.200,0","51.620,0","0,56K","-0,65%"
"25.04.2023","52.160,0","53.180,0","53.180,0","52.000,0","1,17K","-0,95%"
"24.04.2023","52.660,0","52.200,0","54.900,0","52.200,0","5,76K","1,23%"
"21.04.2023","52.020,0","51.920,0","52.900,0","50.900,0","1,35K","0,19%"
"20.04.2023","51.920,0","52.860,0","52.980,0","51.200,0","1,18K","-1,37%"
"19.04.2023","52.640,0","53.500,0","54.200,0","52.000,0","1,95K","-0,90%"
"18.04.2023","53.120,0","54.300,0","54.560,0","52.940,0","1,94K","-1,74%"
"17.04.2023","54.060,0","53.360,0","55.800,0","53.220,0","5,70K","2,19%"
"14.04.2023","52.900,0","53.860,0","56.400,0","52.140,0","9,20K","-2,00%"
"13.04.2023","53.980,0","62.340,0","64.000,0","53.700,0","23,63K","-15,66%"
"12.04.2023","64.000,0","47.140,0","65.580,0","46.360,0","61,30K","36,69%"
"11.04.2023","46.820,0","47.060,0","47.340,0","46.340,0","0,73K","-0,34%"
"10.04.2023","46.980,0","47.400,0","47.400,0","46.800,0","0,33K","0,00%"
"07.04.2023","46.980,0","46.700,0","47.940,0","46.700,0","1,26K","0,77%"
"06.04.2023","46.620,0","46.420,0","47.060,0","46.380,0","0,45K","0,56%"
"05.04.2023","46.360,0","46.640,0","46.640,0","46.000,0","0,20K","0,17%"
"04.04.2023","46.280,0","46.220,0","46.940,0","46.160,0","0,51K","0,00%"
"03.04.2023","46.280,0","47.080,0","47.080,0","46.080,0","0,51K","-0,60%"
"31.03.2023","46.560,0","47.500,0","47.500,0","46.440,0","0,39K","-0,98%"
"30.03.2023","47.020,0","46.580,0","47.700,0","46.300,0","0,84K","0,94%"
"29.03.2023","46.580,0","46.560,0","46.880,0","46.420,0","0,25K","0,17%"
"28.03.2023","46.500,0","47.180,0","47.180,0","46.300,0","0,31K","-1,15%"
"27.03.2023","47.040,0","46.840,0","47.300,0","46.680,0","0,35K","0,77%"
"24.03.2023","46.680,0","46.440,0","46.880,0","46.440,0","0,15K","0,39%"
"23.03.2023","46.500,0","46.020,0","46.960,0","46.020,0","0,29K","-0,21%"
"22.03.2023","46.600,0","46.820,0","46.820,0","45.940,0","0,30K","-0,43%"
"21.03.2023","46.800,0","46.260,0","47.360,0","46.260,0","0,81K","1,25%"
"20.03.2023","46.220,0","45.960,0","46.900,0","45.700,0","0,74K","0,52%"
"17.03.2023","45.980,0","46.180,0","46.240,0","45.500,0","0,46K","-0,43%"
"16.03.2023","46.180,0","46.800,0","46.800,0","45.000,0","1,08K","-1,45%"
"15.03.2023","46.860,0","47.180,0","47.280,0","46.800,0","0,26K","-0,64%"
"14.03.2023","47.160,0","47.420,0","47.680,0","47.120,0","0,41K","-0,92%"
"13.03.2023","47.600,0","47.440,0","47.880,0","47.160,0","0,42K","0,34%"
"10.03.2023","47.440,0","47.560,0","47.740,0","47.400,0","0,21K","-0,13%"
"09.03.2023","47.500,0","48.180,0","48.180,0","47.400,0","0,17K","-0,59%"
"07.03.2023","47.780,0","47.900,0","48.240,0","47.360,0","0,23K","-0,29%"
"06.03.2023","47.920,0","47.880,0","48.080,0","47.820,0","0,14K","0,38%"
"03.03.2023","47.740,0","47.540,0","47.800,0","47.220,0","0,16K","0,42%"
"02.03.2023","47.540,0","48.040,0","48.040,0","47.440,0","0,28K","-0,59%"
"01.03.2023","47.820,0","47.960,0","48.100,0","47.500,0","0,28K","-0,54%"
"28.02.2023","48.080,0","48.620,0","48.620,0","47.740,0","0,23K","-0,08%"
"27.02.2023","48.120,0","47.780,0","48.400,0","47.780,0","0,18K","0,67%"
"24.02.2023","47.800,0","47.980,0","48.080,0","47.800,0","0,08K","-0,38%"
"22.02.2023","47.980,0","48.480,0","48.480,0","47.980,0","0,08K","-0,70%"
