"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","242,81","242,35","249,11","242,20","850,93K","0,48%"
"31.08.2023","241,64","248,70","251,20","238,60","1,08M","-2,84%"
"30.08.2023","248,70","257,10","258,00","247,19","945,13K","-3,26%"
"29.08.2023","257,08","260,96","263,86","255,25","1,04M","-0,97%"
"28.08.2023","259,60","269,98","271,96","257,37","2,97M","0,23%"
"25.08.2023","259,00","258,00","265,00","257,50","1,12M","0,19%"
"24.08.2023","258,50","257,00","261,00","253,01","588,36K","0,58%"
"23.08.2023","257,00","260,20","265,00","253,70","1,18M","-0,78%"
"22.08.2023","259,01","252,64","262,85","251,43","2,01M","3,26%"
"21.08.2023","250,84","250,74","257,80","249,75","873,72K","0,34%"
"18.08.2023","250,00","253,00","253,97","247,10","459,41K","-0,84%"
"17.08.2023","252,12","252,33","259,65","246,20","612,75K","0,09%"
"16.08.2023","251,90","259,00","265,00","245,00","854,76K","-2,74%"
"15.08.2023","259,00","248,00","269,86","240,00","1,63M","4,02%"
"14.08.2023","249,00","260,00","267,00","237,15","1,46M","-3,68%"
"11.08.2023","258,50","256,47","260,44","255,74","796,03K","0,78%"
"10.08.2023","256,49","257,00","257,43","252,50","756,95K","0,19%"
"09.08.2023","256,00","241,50","262,20","239,78","3,25M","6,76%"
"08.08.2023","239,78","237,11","244,00","230,58","966,94K","1,30%"
"07.08.2023","236,70","231,84","240,80","230,04","1,15M","4,50%"
"04.08.2023","226,50","239,60","246,00","195,00","1,32M","-5,47%"
"03.08.2023","239,60","239,69","240,98","236,20","402,98K","-0,04%"
"02.08.2023","239,69","240,52","241,40","239,12","393,01K","0,01%"
"01.08.2023","239,67","242,50","243,46","238,04","618,71K","-0,14%"
"31.07.2023","240,00","241,14","243,40","235,00","1,17M","0,03%"
"28.07.2023","239,92","242,89","244,78","238,50","473,25K","-0,82%"
"27.07.2023","241,90","235,33","243,99","235,06","2,27M","3,10%"
"26.07.2023","234,62","231,50","235,00","231,21","802,92K","1,88%"
"25.07.2023","230,30","226,60","231,41","226,55","418,06K","1,66%"
"24.07.2023","226,55","228,66","229,00","225,88","251,27K","-0,13%"
"21.07.2023","226,85","228,66","228,86","223,53","274,92K","0,00%"
"20.07.2023","226,85","231,00","231,69","226,10","278,44K","-1,41%"
"19.07.2023","230,10","232,00","235,46","229,00","654,68K","0,25%"
"18.07.2023","229,52","228,13","230,46","227,20","237,66K","0,61%"
"17.07.2023","228,13","229,00","229,50","222,41","295,01K","-0,56%"
"14.07.2023","229,41","231,00","231,00","227,95","184,95K","0,14%"
"13.07.2023","229,08","230,50","231,98","227,27","281,81K","-0,57%"
"12.07.2023","230,40","223,20","234,32","222,56","1,45M","3,55%"
"11.07.2023","222,50","223,33","223,34","221,38","142,41K","-0,13%"
"10.07.2023","222,80","220,99","223,30","218,39","235,01K","1,27%"
"07.07.2023","220,00","217,02","222,22","215,36","335,77K","0,96%"
"06.07.2023","217,90","221,50","222,39","215,40","436,57K","-1,63%"
"05.07.2023","221,50","223,00","223,42","219,80","278,25K","-1,05%"
"04.07.2023","223,84","224,94","224,98","219,60","339,13K","-0,40%"
"03.07.2023","224,74","228,00","230,00","221,02","464,25K","-1,42%"
"30.06.2023","227,97","231,28","235,14","226,86","484,52K","-1,08%"
"29.06.2023","230,46","230,30","234,88","230,00","425,14K","0,25%"
"28.06.2023","229,89","227,19","233,50","227,00","409,67K","1,27%"
