"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2023","3.231,35","3.230,53","3.232,92","3.214,95","","0,10%"
"31.08.2023","3.227,99","3.218,48","3.234,68","3.211,94","","0,48%"
"30.08.2023","3.212,68","3.214,11","3.220,85","3.193,18","","0,04%"
"29.08.2023","3.211,36","3.205,06","3.218,40","3.191,31","","0,40%"
"28.08.2023","3.198,72","3.161,36","3.202,24","3.161,36","","1,31%"
"25.08.2023","3.157,33","3.150,03","3.158,61","3.132,07","","0,64%"
"24.08.2023","3.137,37","3.117,02","3.137,37","3.108,17","","-0,28%"
"23.08.2023","3.146,20","3.180,39","3.184,17","3.113,24","","-0,57%"
"22.08.2023","3.164,25","3.146,42","3.172,30","3.124,19","","0,77%"
"21.08.2023","3.139,93","3.139,29","3.150,61","3.122,37","","0,92%"
"18.08.2023","3.111,22","3.077,78","3.111,22","3.058,01","","1,71%"
"17.08.2023","3.059,02","3.069,81","3.076,31","3.031,73","","0,31%"
"16.08.2023","3.049,46","3.109,46","3.122,34","3.015,57","","-2,11%"
"15.08.2023","3.115,25","3.083,32","3.163,74","3.068,66","","-0,50%"
"14.08.2023","3.131,00","3.186,47","3.225,78","3.117,31","","-0,78%"
"11.08.2023","3.155,51","3.158,59","3.163,47","3.138,04","","0,21%"
"10.08.2023","3.148,86","3.122,06","3.148,86","3.115,85","","1,59%"
"09.08.2023","3.099,52","3.106,03","3.120,25","3.083,77","","0,46%"
"08.08.2023","3.085,31","3.077,63","3.092,54","3.026,72","","0,04%"
"07.08.2023","3.084,08","3.120,54","3.153,60","3.084,08","","-0,27%"
"04.08.2023","3.092,44","3.158,53","3.194,83","3.073,69","","-1,76%"
"03.08.2023","3.147,80","3.111,70","3.150,28","3.094,27","","1,33%"
"02.08.2023","3.106,46","3.096,72","3.123,45","3.080,63","","0,41%"
"01.08.2023","3.093,64","3.085,97","3.114,56","3.055,25","","0,66%"
"31.07.2023","3.073,50","3.026,93","3.073,50","3.026,93","","2,16%"
"28.07.2023","3.008,61","2.986,35","3.008,61","2.978,12","","0,69%"
"27.07.2023","2.987,85","2.975,52","2.992,47","2.975,52","","0,59%"
"26.07.2023","2.970,42","2.974,21","2.982,47","2.954,90","","-0,17%"
"25.07.2023","2.975,36","2.948,87","2.975,36","2.943,74","","1,29%"
"24.07.2023","2.937,47","2.929,23","2.947,17","2.925,10","","0,48%"
"21.07.2023","2.923,54","2.890,45","2.925,54","2.889,78","","0,21%"
"20.07.2023","2.917,48","2.947,08","2.947,29","2.905,02","","-0,88%"
"19.07.2023","2.943,43","2.959,41","2.966,72","2.938,66","","-0,38%"
"18.07.2023","2.954,52","2.923,69","2.955,81","2.922,74","","1,27%"
"17.07.2023","2.917,61","2.889,09","2.917,72","2.880,11","","0,51%"
"14.07.2023","2.902,72","2.882,96","2.902,72","2.874,44","","0,59%"
"13.07.2023","2.885,63","2.899,98","2.912,15","2.873,00","","-0,39%"
"12.07.2023","2.896,83","2.870,61","2.897,28","2.870,61","","1,28%"
"11.07.2023","2.860,33","2.865,64","2.867,36","2.851,01","","0,12%"
"10.07.2023","2.856,76","2.838,85","2.864,32","2.838,52","","0,86%"
"07.07.2023","2.832,51","2.823,89","2.832,82","2.814,38","","0,46%"
